time;watts
0;28,3
1;28,3
2;28,3
3;28,8
4;28,3
5;27,6
6;28,6
7;28,3
8;28,3
9;28,5
10;28,5
11;29,0
12;28,8
13;28,5
14;28,0
15;27,9
16;28,5
17;47,3
18;47,4
19;66,1
20;66,1
21;64,3
22;67,2
23;68,3
24;64,8
25;65,7
26;67,5
27;66,8
28;64,3
29;64,3
30;64,9
31;64,3
32;66,6
33;64,8
34;64,3
35;64,3
36;64,3
37;64,3
38;64,3
39;64,3
40;66,2
41;65,4
42;64,9
43;65,7
44;65,2
45;65,8
46;64,7
47;67,2
48;64,3
49;66,2
50;65,4
51;66,3
52;67,1
53;64,3
54;64,4
55;64,5
56;65,0
57;64,3
58;64,3
59;68,3
60;64,3
61;64,3
62;64,3
63;64,3
64;65,3
65;64,3
66;66,4
67;65,4
68;65,0
69;66,1
70;68,0
71;64,3
72;64,3
73;67,2
74;64,3
75;67,2
76;64,3
77;65,4
78;65,1
79;67,1
80;64,9
81;67,1
82;66,3
83;64,3
84;66,1
85;68,3
86;64,4
87;65,1
88;65,8
89;65,3
90;64,3
91;64,3
92;64,6
93;65,4
94;64,3
95;68,3
96;64,3
97;64,4
98;65,2
99;64,9
100;64,7
101;64,3
102;64,3
103;64,8
104;64,6
105;64,5
106;64,3
107;65,8
108;68,1
109;64,3
110;64,9
111;66,9
112;66,6
113;68,1
114;66,0
115;64,3
116;64,3
117;64,3
118;66,6
119;67,2
120;64,3
121;64,4
122;65,0
123;65,1
124;65,0
125;65,4
126;67,9
127;64,3
128;65,7
129;64,3
130;68,0
131;66,2
132;65,7
133;64,9
134;64,5
135;65,2
136;65,3
137;64,3
138;66,3
139;66,4
140;64,3
141;64,7
142;66,2
143;64,3
144;65,6
145;67,0
146;65,0
147;64,3
148;64,3
149;68,3
150;64,3
151;64,3
152;64,3
153;65,0
154;65,3
155;66,5
156;64,3
157;64,5
158;65,2
159;65,7
160;64,4
161;64,3
162;67,6
163;64,3
164;66,1
165;65,6
166;64,6
167;64,3
168;67,5
169;67,7
170;64,3
171;64,4
172;65,7
173;64,3
174;65,4
175;65,7
176;64,3
177;65,8
178;64,3
179;65,6
180;64,3
181;64,3
182;66,4
183;66,0
184;64,3
185;67,7
186;65,1
187;66,1
188;64,3
189;65,6
190;64,9
191;66,2
192;66,6
193;64,3
194;66,3
195;64,3
196;68,3
197;66,9
198;67,2
199;64,3
200;67,8
201;64,3
202;66,0
203;66,6
204;65,4
205;66,6
206;66,5
207;65,6
208;66,3
209;65,0
210;65,5
211;64,3
212;64,3
213;66,9
214;67,0
215;65,0
216;64,9
217;64,3
218;64,3
219;68,3
220;64,3
221;64,3
222;65,1
223;64,6
224;64,3
225;64,3
226;65,6
227;64,4
228;65,7
229;64,9
230;65,9
231;67,0
232;64,6
233;64,3
234;67,4
235;67,3
236;65,1
237;67,2
238;64,3
239;64,3
240;64,3
241;64,3
242;66,0
243;64,7
244;64,9
245;64,3
246;64,3
247;66,5
248;64,7
249;66,4
250;65,1
251;64,5
252;64,3
253;66,5
254;65,7
255;65,1
256;65,4
257;66,3
258;68,0
259;64,3
260;66,2
261;64,3
262;66,7
263;67,5
264;64,5
265;64,3
266;67,3
267;64,9
268;67,9
269;65,2
270;64,4
271;67,3
272;65,9
273;64,8
274;65,6
275;65,6
276;64,3
277;64,7
278;64,3
279;64,3
280;65,7
281;67,2
282;64,9
283;66,9
284;67,6
285;64,3
286;66,4
287;66,0
288;65,1
289;65,2
290;65,4
291;64,3
292;64,9
293;67,6
294;64,3
295;64,6
296;65,7
297;65,1
298;67,6
299;64,3
300;64,3
301;64,3
302;64,3
303;64,7
304;66,0
305;66,0
306;67,3
307;64,3
308;67,2
309;64,3
310;65,4
311;66,2
312;67,2
313;66,7
314;66,3
315;64,3
316;64,5
317;64,5
318;67,9
319;64,3
320;67,9
321;64,7
322;65,4
323;64,9
324;65,0
325;64,3
326;67,6
327;64,3
328;66,9
329;64,3
330;64,8
331;67,8
332;67,5
333;67,0
334;65,8
335;64,3
336;65,8
337;64,3
338;64,3
339;67,7
340;65,1
341;65,4
342;65,6
343;66,4
344;67,7
345;64,3
346;64,7
347;67,3
348;64,3
349;67,6
350;64,3
351;64,3
352;68,1
353;67,8
354;66,8
355;68,3
356;65,0
357;65,8
358;64,3
359;66,1
360;64,3
361;67,0
362;64,3
363;65,0
364;64,3
365;64,6
366;65,1
367;65,0
368;66,8
369;64,3
370;64,6
371;64,3
372;64,4
373;64,3
374;67,1
375;66,1
376;64,5
377;66,3
378;66,5
379;64,3
380;64,7
381;66,4
382;64,3
383;65,9
384;64,9
385;65,9
386;64,3
387;66,8
388;64,3
389;64,3
390;64,3
391;64,3
392;65,1
393;65,1
394;64,7
395;66,7
396;64,3
397;64,3
398;64,3
399;65,5
400;65,5
401;66,8
402;67,3
403;64,3
404;65,4
405;65,7
406;64,3
407;64,9
408;64,3
409;67,5
410;65,1
411;64,3
412;65,3
413;66,1
414;66,2
415;65,3
416;64,3
417;65,6
418;66,5
419;65,8
420;64,4
421;64,4
422;64,5
423;64,3
424;65,2
425;67,3
426;67,6
427;65,2
428;65,2
429;64,4
430;64,3
431;65,5
432;66,9
433;64,6
434;66,2
435;65,5
436;66,1
437;64,3
438;65,8
439;64,3
440;67,2
441;64,9
442;68,2
443;64,3
444;64,3
445;64,3
446;64,3
447;65,0
448;64,3
449;64,3
450;65,0
451;64,3
452;65,0
453;66,3
454;64,3
455;64,3
456;64,3
457;64,8
458;65,0
459;65,7
460;64,8
461;66,3
462;64,3
463;66,8
464;65,8
