time;watts
0;25,1
1;25,1
2;25,1
3;25,6
4;25,1
5;24,6
6;25,4
7;25,1
8;25,1
9;25,3
10;25,3
11;25,8
12;25,6
13;25,3
14;24,8
15;24,7
16;25,3
17;42,8
18;42,9
19;60,3
20;60,3
21;59,8
22;60,6
23;60,8
24;60,0
25;60,2
26;60,6
27;60,5
28;59,6
29;59,7
30;60,0
31;59,7
32;60,4
33;60,0
34;59,5
35;59,9
36;59,6
37;59,7
38;59,6
39;59,9
40;60,3
41;60,2
42;60,1
43;60,2
44;60,1
45;60,3
46;60,0
47;60,6
48;59,9
49;60,3
50;60,2
51;60,4
52;60,5
53;59,9
54;59,9
55;60,0
56;60,1
57;59,9
58;59,4
59;60,8
60;59,8
61;59,8
62;59,8
63;59,5
64;60,1
65;59,9
66;60,4
67;60,2
68;60,1
69;60,3
70;60,7
71;59,9
72;59,9
73;60,5
74;59,5
75;60,5
76;59,8
77;60,2
78;60,1
79;60,5
80;60,1
81;60,5
82;60,4
83;59,9
84;60,3
85;61,2
86;60,0
87;60,1
88;60,3
89;60,1
90;59,7
91;59,7
92;60,0
93;60,2
94;59,3
95;60,8
96;59,2
97;59,9
98;60,1
99;60,1
100;60,0
101;59,6
102;59,8
103;60,0
104;60,0
105;60,0
106;59,8
107;60,2
108;60,7
109;59,9
110;60,1
111;60,5
112;60,4
113;60,8
114;60,3
115;59,9
116;59,8
117;59,8
118;60,4
119;60,6
120;59,5
121;60,0
122;60,1
123;60,1
124;60,1
125;60,2
126;60,7
127;59,8
128;60,2
129;59,9
130;60,7
131;60,3
132;60,2
133;60,1
134;60,0
135;60,1
136;60,1
137;59,5
138;60,4
139;60,4
140;59,9
141;60,0
142;60,3
143;59,9
144;60,2
145;60,5
146;60,1
147;59,9
148;59,7
149;61,1
150;59,9
151;59,8
152;59,9
153;60,1
154;60,1
155;60,4
156;59,9
157;60,0
158;60,1
159;60,2
160;59,9
161;59,9
162;60,6
163;59,7
164;60,3
165;60,2
166;60,0
167;59,9
168;60,6
169;60,7
170;59,8
171;59,9
172;60,2
173;59,5
174;60,2
175;60,2
176;59,8
177;60,2
178;59,6
179;60,2
180;59,7
181;59,3
182;60,4
183;60,3
184;59,8
185;60,7
186;60,1
187;60,3
188;59,8
189;60,2
190;60,1
191;60,3
192;60,4
193;59,9
194;60,4
195;59,8
196;61,3
197;60,5
198;60,5
199;59,4
200;60,7
201;59,8
202;60,3
203;60,4
204;60,2
205;60,4
206;60,4
207;60,2
208;60,4
209;60,1
210;60,2
211;59,7
212;59,4
213;60,5
214;60,5
215;60,1
216;60,1
217;59,9
218;59,8
219;60,9
220;59,7
221;59,9
222;60,1
223;60,0
224;59,8
225;59,9
226;60,2
227;59,9
228;60,2
229;60,1
230;60,3
231;60,5
232;60,0
233;59,9
234;60,6
235;60,6
236;60,1
237;60,5
238;59,8
239;59,9
240;59,8
241;59,9
242;60,3
243;60,0
244;60,0
245;59,9
246;59,7
247;60,4
248;60,0
249;60,4
250;60,1
251;60,0
252;59,0
253;60,4
254;60,2
255;60,1
256;60,2
257;60,4
258;60,7
259;59,8
260;60,3
261;59,9
262;60,4
263;60,6
264;60,0
265;59,7
266;60,6
267;60,1
268;60,7
269;60,1
270;60,0
271;60,6
272;60,3
273;60,0
274;60,2
275;60,2
276;59,9
277;60,0
278;59,7
279;59,8
280;60,2
281;60,5
282;60,1
283;60,5
284;60,6
285;59,7
286;60,4
287;60,3
288;60,1
289;60,1
290;60,2
291;59,6
292;60,1
293;60,6
294;59,8
295;60,0
296;60,2
297;60,1
298;60,6
299;59,6
300;59,5
301;59,9
302;59,9
303;60,0
304;60,3
305;60,3
306;60,6
307;59,8
308;60,6
309;59,6
310;60,2
311;60,3
312;60,6
313;60,4
314;60,4
315;59,9
316;60,0
317;60,0
318;60,7
319;59,8
320;60,7
321;60,0
322;60,2
323;60,0
324;60,1
325;59,8
326;60,6
327;59,8
328;60,5
329;59,6
330;60,0
331;60,7
332;60,6
333;60,5
334;60,2
335;59,9
336;60,2
337;59,8
338;59,9
339;60,7
340;60,1
341;60,2
342;60,2
343;60,4
344;60,7
345;59,5
346;60,0
347;60,6
348;59,3
349;60,6
350;59,3
351;59,9
352;60,8
353;60,7
354;60,5
355;60,9
356;60,1
357;60,3
358;59,6
359;60,3
360;59,9
361;60,5
362;59,8
363;60,1
364;59,9
365;60,0
366;60,1
367;60,1
368;60,5
369;59,9
370;60,0
371;59,6
372;59,9
373;59,8
374;60,5
375;60,3
376;60,0
377;60,4
378;60,4
379;59,7
380;60,0
381;60,4
382;59,8
383;60,3
384;60,1
385;60,3
386;59,4
387;60,5
388;59,8
389;59,5
390;59,9
391;59,9
392;60,1
393;60,1
394;60,0
395;60,4
396;59,7
397;59,9
398;59,8
399;60,2
400;60,2
401;60,5
402;60,6
403;59,8
404;60,2
405;60,2
406;59,6
407;60,1
408;59,8
409;60,6
410;60,1
411;59,6
412;60,1
413;60,3
414;60,3
415;60,1
416;59,5
417;60,2
418;60,4
419;60,3
420;60,0
421;59,9
422;60,0
423;59,7
424;60,1
425;60,6
426;60,6
427;60,1
428;60,1
429;59,9
430;59,9
431;60,2
432;60,5
433;60,0
434;60,3
435;60,2
436;60,3
437;59,8
438;60,3
439;59,6
440;60,5
441;60,1
442;60,8
443;59,9
444;59,7
445;59,8
446;59,5
447;60,1
448;59,4
449;59,9
450;60,1
451;59,7
452;60,1
453;60,3
454;59,7
455;59,7
456;59,6
457;60,0
458;60,1
459;60,2
460;60,0
461;60,4
462;59,9
463;60,5
464;60,3
465;60,3
466;59,9
467;59,6
468;60,4
469;60,2
470;59,8
471;60,0
472;60,2
473;60,4
474;60,5
475;59,9
476;59,9
477;59,5
478;60,1
479;59,8
480;60,4
481;60,1
482;60,1
483;59,5
484;60,4
485;60,0
486;60,1
487;59,7
488;59,9
489;60,0
490;60,2
491;60,4
492;60,4
493;60,2
494;60,0
495;59,8
496;60,3
497;60,4
498;60,4
499;60,4
500;60,4
501;60,2
502;60,0
503;60,1
504;60,0
505;60,0
506;60,0
507;60,1
508;59,9
509;60,3
510;59,8
511;60,6
512;59,7
513;60,5
514;60,2
515;59,9
516;60,2
517;60,1
518;58,7
519;59,8
520;59,8
521;60,5
522;60,2
523;59,6
524;60,1
525;59,3
526;60,1
527;60,2
528;60,2
529;60,2
530;59,9
531;59,7
532;60,2
533;60,6
534;60,1
535;59,9
536;59,7
537;59,8
538;60,6
539;60,5
540;60,3
541;60,1
542;60,4
543;60,1
544;59,7
545;59,4
546;59,7
547;60,4
548;60,5
549;60,3
550;60,0
551;60,0
552;60,2
553;59,5
554;60,0
555;60,0
556;60,7
557;60,0
558;59,9
559;60,4
560;59,8
561;60,4
562;59,8
563;60,6
564;60,2
565;60,0
566;60,6
567;60,0
568;60,3
569;59,6
570;59,6
571;60,3
572;60,4
573;60,0
574;60,2
575;59,7
576;59,7
577;60,1
578;60,1
579;59,8
580;60,5
581;59,6
582;60,7
583;60,5
584;60,1
585;60,5
586;59,9
587;59,9
588;60,7
589;60,2
590;60,2
591;60,3
592;60,2
593;59,8
594;60,5
595;59,7
596;60,1
597;60,1
598;60,2
599;60,1
600;60,0
601;59,7
602;60,1
603;59,6
604;59,9
605;59,8
606;60,1
607;60,0
608;60,2
609;60,6
610;59,9
611;60,5
612;59,7
613;60,2
614;59,6
615;60,3
616;59,9
617;60,5
618;60,1
619;60,3
620;60,3
621;57,3
622;44,1
623;25,3
624;25,1
625;25,5
626;24,6
627;25,3
628;25,9
629;25,1
630;25,1
631;25,4
632;25,3
633;25,6
634;25,2
635;25,3
636;24,8
637;25,1
638;25,9
639;25,1
640;25,1
