time;watts
0;26,6
1;26,5
2;26,6
3;26,8
4;26,6
5;26,2
6;26,7
7;26,5
8;26,5
9;26,6
10;26,7
11;26,9
12;26,8
13;26,6
14;26,4
15;26,3
16;26,7
17;54,6
18;54,9
19;82,7
20;82,7
21;80,9
22;83,9
23;83,9
24;81,2
25;82,2
26;83,9
27;83,4
28;80,9
29;80,9
30;81,3
31;80,9
32;83,2
33;81,3
34;80,9
35;80,9
36;80,9
37;80,9
38;80,9
39;80,9
40;82,7
41;81,9
42;81,4
43;82,3
44;81,7
45;82,4
46;81,2
47;83,9
48;80,9
49;82,8
50;81,9
51;82,9
52;83,8
53;80,9
54;80,9
55;81,0
56;81,5
57;80,9
58;80,9
59;83,9
60;80,9
61;80,9
62;80,9
63;80,9
64;81,8
65;80,9
66;83,0
67;81,9
68;81,5
69;82,7
70;83,9
71;80,9
72;80,9
73;83,8
74;80,9
75;83,8
76;80,9
77;81,9
78;81,6
79;83,7
80;81,4
81;83,8
82;82,9
83;80,9
84;82,7
85;83,9
86;80,9
87;81,6
88;82,4
89;81,8
90;80,9
91;80,9
92;81,1
93;81,9
94;80,9
95;83,9
96;80,9
97;80,9
98;81,8
99;81,4
100;81,1
101;80,9
102;80,9
103;81,3
104;81,1
105;81,0
106;80,9
107;82,3
108;83,9
109;80,9
110;81,4
111;83,5
112;83,2
113;83,9
114;82,6
115;80,9
116;80,9
117;80,9
118;83,2
119;83,9
120;80,9
121;80,9
122;81,5
123;81,6
124;81,5
125;81,9
126;83,9
127;80,9
128;82,3
129;80,9
130;83,9
131;82,8
132;82,3
133;81,4
134;81,0
135;81,7
136;81,8
137;80,9
138;82,9
139;83,0
140;80,9
141;81,2
142;82,8
143;80,9
144;82,1
145;83,6
146;81,5
147;80,9
148;80,9
149;83,9
150;80,9
151;80,9
152;80,9
153;81,5
154;81,8
155;83,1
156;80,9
157;81,0
158;81,7
159;82,2
160;80,9
161;80,9
162;83,9
163;80,9
164;82,7
165;82,1
166;81,0
167;80,9
168;83,9
169;83,9
170;80,9
171;80,9
172;82,2
173;80,9
174;81,9
175;82,3
176;80,9
177;82,3
178;80,9
179;82,1
180;80,9
181;80,9
182;83,0
183;82,6
184;80,9
185;83,9
186;81,6
187;82,7
188;80,9
189;82,1
190;81,4
191;82,8
192;83,2
193;80,9
194;82,9
195;80,9
196;83,9
197;83,6
198;83,8
199;80,9
200;83,9
201;80,9
202;82,6
203;83,2
204;82,0
205;83,2
206;83,1
207;82,2
208;82,9
209;81,5
210;82,0
211;80,9
212;80,9
213;83,5
214;83,7
215;81,5
216;81,4
217;80,9
218;80,9
219;83,9
220;80,9
221;80,9
222;81,6
223;81,0
224;80,9
225;80,9
226;82,2
227;80,9
228;82,3
229;81,4
230;82,5
231;83,6
232;81,1
233;80,9
234;83,9
235;83,9
236;81,7
237;83,8
238;80,9
239;80,9
240;80,9
241;80,9
242;82,6
243;81,2
244;81,3
245;80,9
246;80,9
247;83,1
248;81,2
249;83,0
250;81,6
251;81,0
252;80,9
253;83,1
254;82,2
255;81,6
256;81,9
257;82,9
258;83,9
259;80,9
260;82,8
261;80,9
262;83,3
263;83,9
264;80,9
265;80,9
266;83,9
267;81,4
268;83,9
269;81,7
270;80,9
271;83,9
272;82,4
273;81,3
274;82,2
275;82,1
276;80,9
277;81,2
278;80,9
279;80,9
280;82,3
281;83,8
282;81,4
283;83,5
284;83,9
285;80,9
286;83,0
287;82,5
288;81,6
289;81,7
290;81,9
291;80,9
292;81,4
293;83,9
294;80,9
295;81,0
296;82,3
297;81,6
298;83,9
299;80,9
300;80,9
301;80,9
302;80,9
303;81,1
304;82,6
305;82,6
306;83,9
307;80,9
308;83,9
309;80,9
310;81,9
311;82,8
312;83,9
313;83,3
314;82,9
315;80,9
316;80,9
317;80,9
318;83,9
319;80,9
320;83,9
321;81,2
322;81,9
323;81,3
324;81,5
325;80,9
326;83,9
327;80,9
328;83,6
329;80,9
330;81,3
331;83,9
332;83,9
333;83,7
334;82,3
335;80,9
336;82,3
337;80,9
338;80,9
339;83,9
340;81,7
341;82,0
342;82,1
343;83,0
344;83,9
345;80,9
346;81,2
347;83,9
348;80,9
349;83,9
350;80,9
351;80,9
352;83,9
353;83,9
354;83,4
355;83,9
356;81,5
357;82,4
358;80,9
359;82,7
360;80,9
361;83,7
362;80,9
363;81,5
364;80,9
365;81,0
366;81,6
367;81,5
368;83,4
369;80,9
370;81,1
371;80,9
372;80,9
373;80,9
374;83,8
375;82,6
376;80,9
377;82,9
378;83,1
379;80,9
380;81,2
381;82,9
382;80,9
383;82,5
384;81,4
385;82,4
386;80,9
387;83,5
388;80,9
389;80,9
390;80,9
391;80,9
392;81,6
393;81,6
394;81,2
395;83,3
396;80,9
397;80,9
398;80,9
399;82,0
400;82,0
401;83,4
402;83,9
403;80,9
404;81,9
405;82,2
406;80,9
407;81,4
408;80,9
409;83,9
410;81,6
411;80,9
412;81,8
413;82,7
414;82,8
415;81,8
416;80,9
417;82,1
418;83,1
419;82,4
420;80,9
421;80,9
422;81,0
423;80,9
424;81,7
425;83,9
426;83,9
427;81,7
428;81,7
429;80,9
430;80,9
431;82,1
432;83,5
433;81,1
434;82,8
435;82,0
436;82,7
437;80,9
438;82,4
439;80,9
440;83,8
441;81,4
442;83,9
443;80,9
444;80,9
445;80,9
446;80,9
447;81,5
448;80,9
449;80,9
450;81,5
451;80,9
452;81,5
453;82,8
454;80,9
455;80,9
456;80,9
457;81,3
458;81,5
459;82,3
460;81,3
461;82,9
462;80,9
463;83,5
464;82,4
465;82,5
466;80,9
467;80,9
468;83,2
469;82,3
470;80,9
471;81,1
472;82,1
473;83,3
474;83,4
475;80,9
476;80,9
477;80,9
478;81,8
479;80,9
480;83,1
481;81,7
482;81,7
483;80,9
484;83,2
485;81,1
486;81,6
487;80,9
488;80,9
489;80,9
490;81,9
491;83,3
492;83,1
493;81,9
494;80,9
495;80,9
496;82,5
497;83,2
498;83,2
499;83,3
500;83,2
501;81,9
502;81,2
503;81,4
504;81,0
505;80,9
506;81,1
507;81,7
508;80,9
509;82,4
510;80,9
511;83,9
512;80,9
513;83,5
514;82,2
515;80,9
516;81,9
517;81,8
518;80,9
519;80,9
520;80,9
521;83,5
522;82,1
523;80,9
524;81,7
525;80,9
526;81,7
527;81,9
528;82,1
529;82,3
530;80,9
531;80,9
532;82,1
533;83,9
534;81,7
535;80,9
536;80,9
537;80,9
538;83,9
539;83,6
540;82,4
541;81,4
542;83,0
543;81,8
544;80,9
545;80,9
546;80,9
547;83,2
548;83,8
549;82,8
550;81,1
551;81,1
552;82,1
553;80,9
554;80,9
555;81,1
556;83,9
557;81,3
558;80,9
559;83,0
560;80,9
561;83,0
562;80,9
563;83,9
564;81,9
565;80,9
566;83,9
567;81,0
568;82,8
569;80,9
570;80,9
571;82,7
572;82,9
573;81,3
574;82,3
575;80,9
576;80,9
577;81,8
578;81,4
579;80,9
580;83,5
581;80,9
582;83,9
583;83,4
584;81,7
585;83,4
586;80,9
587;80,9
588;83,9
589;82,2
590;82,1
591;82,6
592;82,0
593;80,9
594;83,5
595;80,9
596;81,6
597;81,8
598;82,3
599;81,4
600;81,2
601;80,9
602;81,7
603;80,9
604;80,9
605;80,9
606;81,8
607;80,9
608;82,0
609;83,9
610;80,9
611;83,6
612;80,9
613;81,9
614;80,9
615;82,8
616;80,9
617;83,8
618;81,4
619;82,8
620;82,4
621;77,7
622;56,6
623;26,7
624;26,5
625;26,8
626;26,1
627;26,6
628;27,0
629;26,5
630;26,6
631;26,7
632;26,7
633;26,8
634;26,6
635;26,6
636;26,4
637;26,5
638;27,0
639;26,5
640;26,5
