time;watts
0;25,7
1;25,7
2;25,7
3;25,8
4;25,7
5;25,4
6;25,8
7;25,6
8;25,7
9;25,7
10;25,7
11;25,9
12;25,8
13;25,7
14;25,6
15;25,5
16;25,7
17;50,6
18;50,8
19;75,6
20;75,6
21;74,8
22;76,1
23;76,1
24;74,8
25;75,3
26;76,1
27;76,1
28;74,8
29;74,8
30;74,8
31;74,8
32;76,0
33;74,8
34;74,8
35;74,8
36;74,8
37;74,8
38;74,8
39;74,8
40;75,6
41;75,0
42;74,8
43;75,3
44;74,9
45;75,4
46;74,8
47;76,1
48;74,8
49;75,7
50;75,0
51;75,7
52;76,1
53;74,8
54;74,8
55;74,8
56;74,8
57;74,8
58;74,8
59;76,1
60;74,8
61;74,8
62;74,8
63;74,8
64;74,9
65;74,8
66;75,8
67;75,0
68;74,8
69;75,6
70;76,1
71;74,8
72;74,8
73;76,1
74;74,8
75;76,1
76;74,8
77;75,0
78;74,8
79;76,1
80;74,8
81;76,1
82;75,8
83;74,8
84;75,6
85;76,1
86;74,8
87;74,8
88;75,4
89;75,0
90;74,8
91;74,8
92;74,8
93;75,0
94;74,8
95;76,1
96;74,8
97;74,8
98;74,9
99;74,8
100;74,8
101;74,8
102;74,8
103;74,8
104;74,8
105;74,8
106;74,8
107;75,3
108;76,1
109;74,8
110;74,8
111;76,1
112;75,9
113;76,1
114;75,5
115;74,8
116;74,8
117;74,8
118;76,0
119;76,1
120;74,8
121;74,8
122;74,8
123;74,8
124;74,8
125;75,0
126;76,1
127;74,8
128;75,3
129;74,8
130;76,1
131;75,7
132;75,3
133;74,8
134;74,8
135;74,8
136;74,9
137;74,8
138;75,7
139;75,8
140;74,8
141;74,8
142;75,7
143;74,8
144;75,2
145;76,1
146;74,8
147;74,8
148;74,8
149;76,1
150;74,8
151;74,8
152;74,8
153;74,8
154;75,0
155;75,9
156;74,8
157;74,8
158;74,9
159;75,3
160;74,8
161;74,8
162;76,1
163;74,8
164;75,6
165;75,2
166;74,8
167;74,8
168;76,1
169;76,1
170;74,8
171;74,8
172;75,3
173;74,8
174;75,0
175;75,3
176;74,8
177;75,3
178;74,8
179;75,2
180;74,8
181;74,8
182;75,8
183;75,5
184;74,8
185;76,1
186;74,8
187;75,6
188;74,8
189;75,2
190;74,8
191;75,7
192;76,0
193;74,8
194;75,8
195;74,8
196;76,1
197;76,1
198;76,1
199;74,8
200;76,1
201;74,8
202;75,5
203;76,0
204;75,1
205;76,0
206;75,9
207;75,2
208;75,7
209;74,8
210;75,1
211;74,8
212;74,8
213;76,1
214;76,1
215;74,8
216;74,8
217;74,8
218;74,8
219;76,1
220;74,8
221;74,8
222;74,8
223;74,8
224;74,8
225;74,8
226;75,2
227;74,8
228;75,3
229;74,8
230;75,4
231;76,1
232;74,8
233;74,8
234;76,1
235;76,1
236;74,8
237;76,1
238;74,8
239;74,8
240;74,8
241;74,8
242;75,5
243;74,8
244;74,8
245;74,8
246;74,8
247;75,9
248;74,8
249;75,8
250;74,8
251;74,8
252;74,8
253;75,9
254;75,3
255;74,8
256;75,0
257;75,7
258;76,1
259;74,8
260;75,6
261;74,8
262;76,0
263;76,1
264;74,8
265;74,8
266;76,1
267;74,8
268;76,1
269;74,9
270;74,8
271;76,1
272;75,4
273;74,8
274;75,2
275;75,2
276;74,8
277;74,8
278;74,8
279;74,8
280;75,3
281;76,1
282;74,8
283;76,1
284;76,1
285;74,8
286;75,9
287;75,5
288;74,8
289;74,9
290;75,0
291;74,8
292;74,8
293;76,1
294;74,8
295;74,8
296;75,3
297;74,8
298;76,1
299;74,8
300;74,8
301;74,8
302;74,8
303;74,8
304;75,5
