time;watts
0;27,3
1;27,3
2;27,3
3;27,8
4;27,3
5;26,6
6;27,6
7;27,3
8;27,3
9;27,5
10;27,5
11;28,0
12;27,8
13;27,5
14;27,0
15;26,9
16;27,5
17;57,0
18;57,2
19;86,6
20;86,6
21;85,5
22;87,1
23;87,6
24;85,9
25;86,4
26;87,3
27;86,9
28;85,0
29;85,3
30;86,0
31;85,2
32;86,8
33;86,0
34;84,8
35;85,7
36;85,0
37;85,1
38;85,1
39;85,6
40;86,6
41;86,2
42;86,0
43;86,4
44;86,1
45;86,4
46;85,9
47;87,1
48;85,6
49;86,6
50;86,2
51;86,7
52;87,1
53;85,7
54;85,8
55;85,8
56;86,0
57;85,7
58;84,5
59;87,6
60;85,5
61;85,4
62;85,5
63;84,8
64;86,2
65;85,6
66;86,7
67;86,2
68;86,0
69;86,6
70;87,5
71;85,6
72;85,7
73;87,1
74;84,8
75;87,1
76;85,5
77;86,2
78;86,1
79;87,0
80;86,0
81;87,1
82;86,7
83;85,7
84;86,6
85;88,6
86;85,8
87;86,1
88;86,4
89;86,2
90;85,2
91;85,2
92;85,9
93;86,2
94;84,3
95;87,7
96;84,2
97;85,7
98;86,2
99;86,0
100;85,9
101;85,0
102;85,5
103;86,0
104;85,9
105;85,8
106;85,4
107;86,4
108;87,5
109;85,7
110;86,0
111;87,0
112;86,8
113;87,6
114;86,5
115;85,7
116;85,5
117;85,3
118;86,8
119;87,1
120;84,9
121;85,8
122;86,1
123;86,1
124;86,0
125;86,2
126;87,5
127;85,5
128;86,4
129;85,6
130;87,5
131;86,6
132;86,4
133;86,0
134;85,8
135;86,1
136;86,2
137;84,9
138;86,7
139;86,7
140;85,6
141;85,9
142;86,6
143;85,5
144;86,3
145;87,0
146;86,0
147;85,6
148;85,2
149;88,3
150;85,6
151;85,5
152;85,7
153;86,1
154;86,2
155;86,8
156;85,7
157;85,8
158;86,2
159;86,4
160;85,7
161;85,7
162;87,3
163;85,3
164;86,6
165;86,3
166;85,9
167;85,7
168;87,3
169;87,4
170;85,4
171;85,7
172;86,4
173;84,8
174;86,2
175;86,4
176;85,4
177;86,4
178;84,9
179;86,3
180;85,1
181;84,2
182;86,7
183;86,5
184;85,3
185;87,3
186;86,1
187;86,6
188;85,4
189;86,3
190;86,0
191;86,6
192;86,8
193;85,7
194;86,7
195;85,4
196;88,7
197;87,0
198;87,1
199;84,5
200;87,4
201;85,5
