time;watts
0;24,1
1;24,1
2;24,1
3;24,4
4;24,1
5;23,8
6;24,4
7;24,0
8;24,1
9;24,3
10;24,3
11;24,4
12;24,4
13;24,3
14;23,8
15;23,8
16;24,3
17;51,3
18;51,5
19;78,3
20;78,3
21;76,0
22;79,0
23;79,0
24;77,0
25;77,8
26;79,0
27;78,9
28;75,8
29;75,8
30;77,1
31;75,8
32;78,7
33;77,1
34;75,8
35;76,4
36;75,8
37;75,8
38;75,8
39;76,2
40;78,3
41;77,6
42;77,2
43;77,9
44;77,4
45;78,0
46;76,9
47;79,0
48;76,4
49;78,3
50;77,6
51;78,4
52;79,0
53;76,5
54;76,6
55;76,7
56;77,2
57;76,4
58;75,8
59;79,0
60;76,1
61;75,9
62;76,2
63;75,8
64;77,5
65;76,3
66;78,5
67;77,6
68;77,2
69;78,3
70;79,0
71;76,3
72;76,5
73;79,0
74;75,8
75;79,0
76;76,2
77;77,6
78;77,3
79;79,0
80;77,1
81;79,0
82;78,5
83;76,4
84;78,3
85;79,0
86;76,7
87;77,3
88;78,0
89;77,5
90;75,8
91;75,8
92;76,8
93;77,5
94;75,8
95;79,0
96;75,8
97;76,6
98;77,4
99;77,1
100;76,9
101;75,8
102;76,2
103;77,0
104;76,9
105;76,8
106;75,8
107;77,9
108;79,0
109;76,5
110;77,2
111;79,0
112;78,7
113;79,0
114;78,1
115;76,4
116;76,0
117;75,8
118;78,7
119;79,0
120;75,8
121;76,7
122;77,3
123;77,3
124;77,2
125;77,6
126;79,0
127;76,0
128;77,9
129;76,2
130;79,0
131;78,4
132;77,9
133;77,1
134;76,8
135;77,3
136;77,5
137;75,8
138;78,4
139;78,5
140;76,2
141;76,9
142;78,4
143;76,2
144;77,7
145;79,0
146;77,2
147;76,3
148;75,8
149;79,0
150;76,4
151;76,0
152;76,6
153;77,2
154;77,5
155;78,6
156;76,4
157;76,7
158;77,4
159;77,8
160;76,6
161;76,5
162;79,0
163;75,8
164;78,3
165;77,8
166;76,8
167;76,4
168;79,0
169;79,0
170;75,8
171;76,6
172;77,9
173;75,8
174;77,5
175;77,9
176;75,9
177;77,9
178;75,8
179;77,8
180;75,8
181;75,8
182;78,5
183;78,2
184;75,8
185;79,0
186;77,3
187;78,2
188;75,9
189;77,8
190;77,1
191;78,4
192;78,7
193;76,6
194;78,5
195;75,9
196;79,0
197;79,0
198;79,0
199;75,8
200;79,0
201;76,0
202;78,1
203;78,7
204;77,6
205;78,7
206;78,6
207;77,8
208;78,4
209;77,2
210;77,6
211;75,8
212;75,8
213;79,0
214;79,0
215;77,2
216;77,1
217;76,5
218;76,2
219;79,0
220;75,8
221;76,4
222;77,3
223;76,8
224;75,8
225;76,4
226;77,8
227;76,6
228;77,9
229;77,2
230;78,1
231;79,0
232;76,8
233;76,4
234;79,0
235;79,0
236;77,3
237;79,0
238;76,2
239;76,3
240;75,8
241;76,4
242;78,2
243;76,9
244;77,1
245;76,3
246;75,8
247;78,6
248;76,9
249;78,5
250;77,3
251;76,7
252;75,8
253;78,7
254;77,9
255;77,3
256;77,6
257;78,4
258;79,0
259;76,1
260;78,3
261;76,3
262;78,8
263;79,0
264;76,7
265;75,8
266;79,0
267;77,1
268;79,0
269;77,4
270;76,6
271;79,0
272;78,0
273;77,0
274;77,8
275;77,8
276;76,2
277;76,9
278;75,8
279;75,9
280;77,9
281;79,0
282;77,2
283;79,0
284;79,0
285;75,8
286;78,6
287;78,1
288;77,3
289;77,4
290;77,6
291;75,8
292;77,1
293;79,0
294;75,8
295;76,8
296;77,9
297;77,3
298;79,0
299;75,8
300;75,8
301;76,5
302;76,6
303;76,9
304;78,2
305;78,2
306;79,0
307;75,8
308;79,0
309;75,8
310;77,6
311;78,4
312;79,0
313;78,8
314;78,4
315;76,3
316;76,7
317;76,7
318;79,0
319;76,1
320;79,0
321;76,9
322;77,5
323;77,1
324;77,2
325;76,0
326;79,0
327;76,2
328;79,0
329;75,8
330;77,0
331;79,0
332;79,0
333;79,0
334;77,9
335;76,5
336;78,0
337;75,8
338;76,4
339;79,0
340;77,3
341;77,6
342;77,8
343;78,5
344;79,0
345;75,8
346;76,9
347;79,0
348;75,8
349;79,0
350;75,8
351;76,5
352;79,0
353;79,0
354;78,9
355;79,0
