time;watts
0;27,2
1;27,2
2;27,2
3;27,8
4;27,2
5;26,3
6;27,5
7;27,1
8;27,2
9;27,4
10;27,5
11;27,9
12;27,7
13;27,4
14;26,8
15;26,6
16;27,5
17;59,4
18;59,6
19;91,4
20;91,4
21;88,9
22;92,0
23;92,0
24;89,9
25;90,9
26;92,0
27;92,0
28;88,2
29;88,5
30;90,0
31;88,3
32;91,9
33;90,0
34;88,2
35;89,3
36;88,2
37;88,2
38;88,2
39;89,1
40;91,4
41;90,6
42;90,1
43;91,0
44;90,4
45;91,1
46;89,9
47;92,0
48;89,3
49;91,5
50;90,6
51;91,6
52;92,0
53;89,4
54;89,5
55;89,7
56;90,2
57;89,3
58;88,2
59;92,0
60;89,0
61;88,7
62;89,0
63;88,2
64;90,5
65;89,1
66;91,7
67;90,6
68;90,2
69;91,4
70;92,0
71;89,1
72;89,3
73;92,0
74;88,2
75;92,0
76;89,0
77;90,6
78;90,3
79;92,0
80;90,1
81;92,0
82;91,6
83;89,3
84;91,4
85;92,0
86;89,6
87;90,3
88;91,1
89;90,5
90;88,3
91;88,2
92;89,8
93;90,6
94;88,2
95;92,0
96;88,2
97;89,5
98;90,5
99;90,1
100;89,8
101;88,2
102;89,0
103;90,0
104;89,8
105;89,7
106;88,6
107;91,0
108;92,0
109;89,3
110;90,1
111;92,0
112;91,9
113;92,0
114;91,3
115;89,3
116;88,8
117;88,6
118;91,9
119;92,0
120;88,2
121;89,6
122;90,2
123;90,3
124;90,2
125;90,6
126;92,0
127;88,8
128;91,0
129;89,1
130;92,0
131;91,5
132;91,0
133;90,1
134;89,7
135;90,4
136;90,5
137;88,2
138;91,6
139;91,7
140;89,1
141;89,9
142;91,5
143;89,1
144;90,8
145;92,0
146;90,2
147;89,2
148;88,3
149;92,0
150;89,3
151;88,9
152;89,5
153;90,2
154;90,5
155;91,8
156;89,3
157;89,7
158;90,4
159;90,9
160;89,5
161;89,4
162;92,0
163;88,5
164;91,4
165;90,8
166;89,7
167;89,3
168;92,0
169;92,0
170;88,6
171;89,5
172;90,9
173;88,2
174;90,6
175;91,0
176;88,7
177;91,0
178;88,2
179;90,8
180;88,2
181;88,2
182;91,7
183;91,3
184;88,6
185;92,0
186;90,3
187;91,4
188;88,7
189;90,8
190;90,1
191;91,5
192;91,9
193;89,5
194;91,6
195;88,7
196;92,0
197;72,3
198;49,5
199;27,7
200;27,9
201;27,0
202;26,9
203;27,3
204;27,1
205;27,4
206;25,9
207;27,9
208;27,2
209;27,9
210;26,6
211;27,5
212;27,9
213;26,7
214;26,3
215;26,9
216;27,6
