time;watts
0;27,6
1;27,6
2;27,6
3;28,1
4;27,6
5;26,8
6;27,9
7;27,5
8;27,6
9;27,8
10;27,8
11;28,4
12;28,1
13;27,8
14;27,3
15;27,1
16;27,8
17;61,1
18;61,3
19;94,4
20;94,4
21;92,1
22;95,2
23;95,2
24;93,0
25;94,0
26;95,2
27;95,1
28;91,2
29;91,7
30;93,2
31;91,5
32;94,9
33;93,1
34;91,2
35;92,5
36;91,2
37;91,3
38;91,3
39;92,3
40;94,5
41;93,7
42;93,2
43;94,0
44;93,5
45;94,1
46;93,0
47;95,2
48;92,4
49;94,5
50;93,7
51;94,6
52;95,2
53;92,5
54;92,7
55;92,8
56;93,3
57;92,5
58;91,2
59;95,2
60;92,1
61;91,9
62;92,2
63;91,2
64;93,6
65;92,3
66;94,7
67;93,7
68;93,3
69;94,5
70;95,2
71;92,3
72;92,5
73;95,2
74;91,2
75;95,2
76;92,2
77;93,7
78;93,4
79;95,2
80;93,2
81;95,2
82;94,7
83;92,5
84;94,4
85;95,2
86;92,7
87;93,4
88;94,1
89;93,6
90;91,5
91;91,4
92;92,9
93;93,7
94;91,2
95;95,2
96;91,2
97;92,6
98;93,6
99;93,2
100;93,0
101;91,2
102;92,2
103;93,1
104;92,9
105;92,8
106;91,8
107;94,1
108;95,2
109;92,5
110;93,2
111;95,2
112;94,9
113;95,2
114;94,3
115;92,5
116;92,0
117;91,8
118;94,9
119;95,2
120;91,2
121;92,7
122;93,3
123;93,4
124;93,3
125;93,7
126;95,2
127;92,0
128;94,1
129;92,2
130;95,2
131;94,5
132;94,0
133;93,2
134;92,8
135;93,5
136;93,6
137;91,2
138;94,6
139;94,7
140;92,2
141;93,0
142;94,5
143;92,2
144;93,9
145;95,2
146;93,3
147;92,4
148;91,5
149;95,2
150;92,4
151;92,1
152;92,6
153;93,3
154;93,6
155;94,8
156;92,4
157;92,8
158;93,5
159;94,0
160;92,6
161;92,6
162;95,2
163;91,7
164;94,4
165;93,9
166;92,9
167;92,5
168;95,2
169;95,2
170;91,8
171;92,6
172;94,0
173;91,2
174;93,7
175;94,1
176;91,9
177;94,1
178;91,2
179;93,9
180;91,3
181;91,2
182;94,7
183;94,3
184;91,8
185;95,2
186;93,4
187;94,4
188;91,9
189;93,9
190;93,2
191;94,6
192;94,9
193;92,6
194;94,7
195;91,9
196;95,2
197;95,2
198;95,2
199;91,2
200;95,2
201;92,1
202;94,3
203;94,9
204;93,8
205;94,9
206;94,8
207;93,9
208;94,6
209;93,3
210;93,8
211;91,7
212;91,2
213;95,2
214;95,2
215;93,3
216;93,2
217;92,5
218;92,2
219;95,2
220;91,7
221;92,5
222;93,4
223;92,9
224;91,8
225;92,5
226;93,9
227;92,7
228;94,0
229;93,2
230;94,2
231;95,2
232;92,9
233;92,4
234;95,2
235;95,2
236;93,4
237;95,2
238;92,2
239;92,3
240;91,8
241;92,5
242;94,4
243;93,0
244;93,2
245;92,3
246;91,6
247;94,8
248;93,0
249;94,7
250;93,4
251;92,8
252;91,2
253;94,8
254;94,0
255;93,4
256;93,7
257;94,6
258;95,2
259;92,1
260;94,5
261;92,4
262;95,0
263;95,2
264;92,8
265;91,4
266;95,2
267;93,2
268;95,2
269;93,5
270;92,7
271;95,2
272;94,2
273;93,1
274;94,0
275;93,9
276;92,2
277;93,0
278;91,5
279;91,9
280;94,0
281;95,2
282;93,2
283;95,2
284;95,2
285;91,7
286;94,8
287;94,3
288;93,4
289;93,5
290;93,7
291;91,2
292;93,2
293;95,2
294;91,8
295;92,9
296;94,0
297;93,4
298;95,2
299;91,2
300;91,2
301;92,6
302;92,6
303;93,0
304;94,3
305;94,4
306;95,2
307;91,8
308;95,2
309;91,2
310;93,7
311;94,5
312;95,2
313;95,0
314;94,6
315;92,3
316;92,7
317;92,8
318;95,2
319;92,1
320;95,2
321;93,0
322;93,7
323;93,2
324;93,3
325;92,0
326;95,2
327;92,2
328;95,2
329;91,3
330;93,1
331;95,2
332;95,2
333;95,2
334;94,1
335;92,5
336;94,1
337;91,8
338;92,5
339;95,2
340;93,4
341;93,7
342;93,9
343;94,7
344;95,2
345;91,2
346;93,0
347;95,2
348;91,2
349;95,2
350;91,2
351;92,6
352;95,2
353;95,2
354;95,1
355;95,2
356;93,3
357;94,1
358;91,2
359;94,4
360;92,6
361;95,2
362;91,9
363;93,3
364;92,3
365;92,8
366;93,4
367;93,3
368;95,1
369;92,5
370;92,9
371;91,2
372;92,7
373;92,1
374;95,2
375;94,4
376;92,8
377;94,6
378;94,8
379;91,4
380;93,0
381;94,7
382;92,1
383;94,3
384;93,2
385;94,2
386;91,2
387;95,2
388;91,9
389;91,2
390;92,4
391;92,5
392;93,4
393;93,4
394;93,0
395;95,0
396;91,4
397;92,3
398;91,8
399;93,8
400;93,8
401;95,1
402;95,2
403;91,8
404;93,7
405;94,0
406;91,2
407;93,2
408;91,9
409;95,2
410;93,4
411;91,2
412;93,6
413;94,4
414;94,5
415;93,6
416;91,2
417;93,9
418;94,8
419;94,1
420;92,7
421;92,7
422;92,8
423;91,7
424;93,5
425;95,2
426;95,2
427;93,5
428;93,5
429;92,7
430;92,5
431;93,8
432;95,2
433;92,9
434;94,5
435;93,8
436;94,4
437;92,0
438;94,1
439;91,2
440;95,2
441;93,2
442;95,2
443;92,4
444;91,5
445;91,8
446;91,2
447;93,3
448;91,2
449;92,4
450;93,3
451;91,6
452;93,3
453;94,6
454;91,7
455;91,4
456;91,2
457;93,1
458;93,3
459;94,0
460;93,1
461;94,6
462;92,6
463;95,1
464;94,1
465;94,3
466;92,6
467;91,2
468;94,9
469;94,0
470;91,9
471;93,0
472;93,8
473;95,0
474;95,1
475;92,2
476;92,4
477;91,2
478;93,5
479;91,9
480;94,8
481;93,5
482;93,5
483;91,2
484;94,9
485;92,9
486;93,4
