time;watts
0;25,0
1;25,0
2;25,0
3;25,4
4;25,0
5;24,8
6;25,3
7;25,0
8;25,0
9;25,2
10;25,2
11;25,6
12;25,4
13;25,2
14;24,8
15;24,8
16;25,2
17;58,0
18;58,2
19;90,8
20;90,8
21;89,4
22;91,5
23;92,1
24;90,0
25;90,6
26;91,7
27;91,3
28;88,8
29;89,2
30;90,1
31;89,0
32;91,1
33;90,0
34;88,8
35;89,6
36;88,8
37;88,9
38;88,9
39;89,5
40;90,9
41;90,4
42;90,1
43;90,6
44;90,2
45;90,6
46;90,0
47;91,5
48;89,6
49;90,9
50;90,4
51;90,9
52;91,5
53;89,7
54;89,7
55;89,8
56;90,1
57;89,6
58;88,8
59;92,1
60;89,4
61;89,3
62;89,5
63;88,8
64;90,3
65;89,5
66;91,0
67;90,4
68;90,1
69;90,8
70;92,0
71;89,5
72;89,7
73;91,5
74;88,8
75;91,5
76;89,5
77;90,4
78;90,2
79;91,4
80;90,1
81;91,5
82;91,0
83;89,6
84;90,8
85;92,1
86;89,8
87;90,2
88;90,6
89;90,3
90;89,0
91;89,0
92;89,9
93;90,4
94;88,8
95;92,1
96;88,8
97;89,7
98;90,3
99;90,1
100;89,9
101;88,8
102;89,5
103;90,0
104;89,9
105;89,8
106;89,2
107;90,6
108;92,1
109;89,6
110;90,1
111;91,3
112;91,1
113;92,1
114;90,7
115;89,6
116;89,4
117;89,2
118;91,1
119;91,5
120;88,8
121;89,8
122;90,2
123;90,2
124;90,1
125;90,4
126;92,0
127;89,4
128;90,6
129;89,5
130;92,0
131;90,9
132;90,6
133;90,1
134;89,8
135;90,2
136;90,3
137;88,8
138;90,9
139;91,0
140;89,5
141;90,0
142;90,9
143;89,5
144;90,5
145;91,3
146;90,1
147;89,6
148;89,0
149;92,1
150;89,6
151;89,4
152;89,7
153;90,1
154;90,3
155;91,1
156;89,6
157;89,8
158;90,3
159;90,6
160;89,7
161;89,7
162;91,8
163;89,1
164;90,8
165;90,5
166;89,9
167;89,6
168;91,7
169;91,8
170;89,2
171;89,7
172;90,6
173;88,8
174;90,4
175;90,6
176;89,3
177;90,6
178;88,8
179;90,5
180;88,9
181;88,8
182;91,0
183;90,8
184;89,2
185;91,8
186;90,2
187;90,8
188;89,3
189;90,5
190;90,1
191;90,9
192;91,1
193;89,7
194;91,0
195;89,3
196;92,1
197;91,3
198;91,5
199;88,8
200;91,9
201;89,4
202;90,7
203;91,1
204;90,4
205;91,1
206;91,1
207;90,5
208;90,9
209;90,1
210;90,4
211;89,2
212;88,8
213;91,3
214;91,4
215;90,2
216;90,1
217;89,7
218;89,5
219;92,1
220;89,2
221;89,6
222;90,2
223;89,9
224;89,2
225;89,6
226;90,5
227;89,8
228;90,6
229;90,1
230;90,7
231;91,4
232;89,9
233;89,6
234;91,7
235;91,6
236;90,2
237;91,5
238;89,5
239;89,5
240;89,2
241;89,6
242;90,8
243;89,9
244;90,1
245;89,5
246;89,1
247;91,1
248;89,9
249;91,0
250;90,2
251;89,8
252;88,8
253;91,1
254;90,6
255;90,2
256;90,4
257;90,9
