time;watts
0;27,2
1;27,2
2;27,2
3;27,7
4;27,2
5;26,5
6;27,5
7;27,2
8;27,2
9;27,4
10;27,4
11;27,9
12;27,7
13;27,4
14;26,9
15;26,7
16;27,4
17;55,7
18;55,9
19;84,0
20;84,0
21;82,0
22;84,0
23;84,0
24;82,9
25;83,9
26;84,0
27;84,0
28;81,1
29;81,6
30;83,1
31;81,4
32;84,0
33;83,0
34;80,5
35;82,4
36;81,0
37;81,2
38;81,2
39;82,2
40;84,0
41;83,6
42;83,1
43;83,9
44;83,4
45;84,0
46;82,9
47;84,0
48;82,3
49;84,0
50;83,6
51;84,0
52;84,0
53;82,4
54;82,6
55;82,7
56;83,2
57;82,4
58;80,2
59;84,0
60;82,0
61;81,8
62;82,1
63;80,6
64;83,5
65;82,2
66;84,0
67;83,6
68;83,2
69;84,0
70;84,0
71;82,2
72;82,4
73;84,0
74;80,6
75;84,0
76;82,1
77;83,6
78;83,3
79;84,0
80;83,1
81;84,0
82;84,0
83;82,4
84;84,0
85;84,0
86;82,6
87;83,3
88;84,0
89;83,5
90;81,4
91;81,3
92;82,8
93;83,6
94;80,2
95;84,0
96;80,2
97;82,5
98;83,5
99;83,1
100;82,9
101;81,0
102;82,1
103;83,0
104;82,8
105;82,7
106;81,7
107;84,0
108;84,0
109;82,4
110;83,1
111;84,0
112;84,0
113;84,0
114;84,0
115;82,4
116;81,9
117;81,7
118;84,0
119;84,0
120;80,7
121;82,6
122;83,2
123;83,3
124;83,2
125;83,6
126;84,0
127;81,9
128;84,0
129;82,1
130;84,0
131;84,0
132;83,9
133;83,1
134;82,7
135;83,4
136;83,5
137;80,7
138;84,0
139;84,0
140;82,1
141;82,9
142;84,0
143;82,1
144;83,8
145;84,0
146;83,2
147;82,3
148;81,4
149;84,0
150;82,3
151;82,0
152;82,5
153;83,2
154;83,5
155;84,0
156;82,3
157;82,7
158;83,4
159;83,9
160;82,5
161;82,5
162;84,0
163;81,6
164;84,0
165;83,8
166;82,8
167;82,4
168;84,0
169;84,0
170;81,7
171;82,5
172;83,9
173;80,6
174;83,6
175;84,0
176;81,8
177;84,0
178;80,8
179;83,8
180;81,2
181;80,2
182;84,0
183;84,0
184;81,7
185;84,0
186;83,3
187;84,0
188;81,8
189;83,8
190;83,1
191;84,0
192;84,0
193;82,5
194;84,0
195;81,8
196;84,0
197;84,0
198;84,0
199;80,2
200;84,0
201;82,0
202;84,0
203;84,0
204;83,7
205;84,0
206;84,0
207;83,8
208;84,0
209;83,2
210;83,7
211;81,6
212;57,5
213;44,1
214;26,7
215;26,7
216;27,6
217;27,7
218;27,9
219;27,2
220;26,4
221;27,1
222;27,9
223;27,6
224;26,2
225;27,3
226;27,9
227;27,9
228;27,6
229;27,5
230;26,6
231;26,8
