time;watts
0;25,3
1;25,3
2;25,3
3;25,8
4;25,3
5;24,6
6;25,6
7;25,2
8;25,3
9;25,5
10;25,5
11;26,1
12;25,8
13;25,5
14;24,9
15;24,8
16;25,6
17;53,1
18;53,3
19;80,6
20;80,6
21;79,4
22;81,3
23;81,8
24;79,9
25;80,4
26;81,4
27;81,0
28;78,9
29;79,2
30;80,0
31;79,1
32;80,9
33;80,0
34;78,6
35;79,6
36;78,9
37;79,0
38;79,0
39;79,5
40;80,7
41;80,3
42;80,0
43;80,4
44;80,1
45;80,5
46;79,9
47;81,3
48;79,6
49;80,7
50;80,3
51;80,7
52;81,2
53;79,6
54;79,7
55;79,8
56;80,0
57;79,6
58;78,3
59;81,8
60;79,4
61;79,3
62;79,5
63;78,6
64;80,2
65;79,5
66;80,8
67;80,2
68;80,0
69;80,7
70;81,7
71;79,5
72;79,6
73;81,2
74;78,6
75;81,2
76;79,5
77;80,3
78;80,1
79;81,2
80;80,0
81;81,2
82;80,8
83;79,6
84;80,7
85;81,9
86;79,7
87;80,1
88;80,5
89;80,2
90;79,1
91;79,0
92;79,8
93;80,2
94;78,1
95;81,9
96;77,9
97;79,7
98;80,2
99;80,0
100;79,9
101;78,9
102;79,5
103;79,9
104;79,8
105;79,8
106;79,3
107;80,5
108;81,7
109;79,6
110;80,0
111;81,1
112;80,9
113;81,8
114;80,6
115;79,6
116;79,4
117;79,2
118;80,9
119;81,3
120;78,7
121;79,7
122;80,1
123;80,1
124;80,0
125;80,2
126;81,6
127;79,4
128;80,4
129;79,5
130;81,7
131;80,7
132;80,4
133;80,0
134;79,8
135;80,1
136;80,2
137;78,7
138;80,8
139;80,8
140;79,5
141;79,9
142;80,7
143;79,5
144;80,3
145;81,1
146;80,0
147;79,5
148;79,1
149;81,9
150;79,6
151;79,4
152;79,7
153;80,1
154;80,2
155;80,8
156;79,6
157;79,8
158;80,2
159;80,4
160;79,7
161;79,7
162;81,5
163;79,2
164;80,7
165;80,4
166;79,8
167;79,6
168;81,4
169;81,5
170;79,3
171;79,7
172;80,4
173;78,6
174;80,2
175;80,4
176;79,3
177;80,5
178;78,8
179;80,4
180;79,0
181;78,0
182;80,8
183;80,6
184;79,2
185;81,5
186;80,1
187;80,6
188;79,3
189;80,4
190;80,0
191;80,7
192;80,9
193;79,7
194;80,8
195;79,3
196;81,9
197;81,1
198;81,2
199;78,2
200;81,5
201;79,4
202;80,6
203;80,9
204;80,3
205;80,9
206;80,9
207;80,4
208;80,7
209;80,0
210;80,3
211;79,2
212;78,3
213;81,1
214;81,2
215;80,1
216;80,0
217;79,6
218;79,5
219;81,9
220;79,2
221;79,6
222;80,1
223;79,8
224;79,3
225;79,6
226;80,4
227;79,7
228;80,4
229;80,0
230;80,5
231;81,1
232;79,8
233;79,6
234;81,4
235;81,3
236;80,1
237;81,2
238;79,5
239;79,5
240;79,2
241;79,6
242;80,6
243;79,9
244;80,0
245;79,5
246;79,1
247;80,9
248;79,9
249;80,8
250;80,1
251;79,8
252;77,2
253;80,9
254;80,4
255;80,1
256;80,2
257;80,7
258;81,7
259;79,4
260;80,7
261;79,6
262;81,0
263;81,4
264;79,8
265;79,0
266;81,3
267;80,0
268;81,6
269;80,2
270;79,7
271;81,3
272;80,5
273;79,9
274;80,4
275;80,4
276;79,5
277;79,9
278;79,1
279;79,3
280;80,4
281;81,2
282;80,0
283;81,1
284;81,4
285;79,2
286;80,8
287;80,6
288;80,1
289;80,2
290;80,3
291;78,9
292;80,0
293;81,5
294;79,3
295;79,8
296;80,4
297;80,1
298;81,4
299;78,9
300;78,6
301;79,7
302;79,7
303;79,9
304;80,6
305;80,6
306;81,3
307;79,2
308;81,2
309;78,7
310;80,3
311;80,7
312;81,3
313;81,0
314;80,7
315;79,5
316;79,8
317;79,8
318;81,6
319;79,4
320;81,6
321;79,9
322;80,2
323;80,0
324;80,0
325;79,4
326;81,5
327;79,5
328;81,1
329;79,0
330;79,9
331;76,8
332;51,2
333;26,0
334;25,8
335;26,6
336;24,9
337;25,5
338;25,5
339;25,0
340;25,8
341;25,5
342;24,8
343;26,5
344;25,9
345;25,3
346;25,0
347;24,9
348;26,2
349;25,3
350;25,7
