time;watts
0;1,8
1;1,8
2;1,8
3;1,9
4;1,8
5;1,6
6;1,9
7;1,8
8;1,8
9;1,8
10;1,8
11;2,0
12;1,9
13;1,8
14;1,7
15;1,6
16;1,8
17;4,4
18;4,4
19;7,0
20;7,0
21;6,9
22;7,0
23;7,0
24;6,9
25;7,0
26;7,0
27;7,0
28;6,9
29;6,9
30;6,9
31;6,9
32;7,0
33;6,9
34;6,9
35;6,9
36;6,9
37;6,9
38;6,9
39;6,9
40;7,0
41;6,9
42;6,9
43;7,0
44;6,9
45;7,0
46;6,9
47;7,0
48;6,9
49;7,0
50;6,9
51;7,0
52;7,0
53;6,9
54;6,9
55;6,9
56;6,9
57;6,9
58;6,9
59;7,0
60;6,9
61;6,9
62;6,9
63;6,9
64;6,9
65;6,9
66;7,0
67;6,9
68;6,9
69;7,0
70;7,0
71;6,9
72;6,9
73;7,0
74;6,9
75;7,0
76;6,9
77;6,9
78;6,9
79;7,0
80;6,9
81;7,0
82;7,0
83;6,9
84;7,0
85;7,0
86;6,9
87;6,9
88;7,0
89;6,9
90;6,9
91;6,9
92;6,9
93;6,9
94;6,9
95;7,0
96;6,9
97;6,9
98;6,9
99;6,9
100;6,9
101;6,9
102;6,9
103;6,9
104;6,9
105;6,9
106;6,9
107;7,0
108;7,0
109;6,9
110;6,9
111;7,0
112;7,0
113;7,0
114;7,0
115;6,9
116;6,9
117;6,9
118;7,0
119;7,0
120;6,9
121;6,9
122;6,9
123;6,9
124;6,9
125;6,9
126;7,0
127;6,9
128;7,0
129;6,9
130;7,0
131;7,0
132;7,0
133;6,9
134;6,9
135;6,9
136;6,9
137;6,9
138;7,0
139;7,0
140;6,9
141;6,9
142;7,0
143;6,9
144;7,0
145;7,0
146;6,9
147;6,9
148;6,9
149;7,0
150;6,9
151;6,9
152;6,9
153;6,9
154;6,9
155;7,0
156;6,9
157;6,9
158;6,9
159;7,0
160;6,9
161;6,9
162;7,0
163;6,9
164;7,0
165;7,0
166;6,9
167;6,9
168;7,0
169;7,0
170;6,9
171;6,9
172;7,0
173;6,9
174;6,9
175;7,0
176;6,9
177;7,0
178;6,9
179;7,0
180;6,9
181;6,9
182;7,0
183;7,0
184;6,9
185;7,0
186;6,9
187;7,0
188;6,9
189;7,0
190;6,9
191;7,0
192;7,0
193;6,9
194;7,0
195;6,9
196;7,0
197;7,0
198;7,0
199;6,9
200;7,0
201;6,9
202;7,0
203;7,0
204;6,9
205;7,0
206;7,0
207;7,0
208;7,0
209;6,9
210;6,9
211;6,9
212;6,9
213;7,0
214;7,0
215;6,9
216;6,9
217;6,9
218;6,9
219;7,0
220;6,9
221;6,9
222;6,9
223;6,9
224;6,9
225;6,9
226;7,0
227;6,9
228;7,0
229;6,9
230;7,0
231;7,0
232;6,9
233;6,9
234;7,0
235;7,0
236;6,9
237;7,0
238;6,9
239;6,9
240;6,9
241;6,9
242;7,0
243;6,9
244;6,9
245;6,9
246;6,9
247;7,0
248;6,9
249;7,0
250;6,9
251;6,9
252;6,9
253;7,0
254;7,0
255;6,9
256;6,9
257;7,0
258;7,0
259;6,9
260;7,0
261;6,9
262;7,0
263;7,0
264;6,9
265;6,9
266;7,0
267;6,9
268;7,0
269;6,9
270;6,9
271;7,0
272;7,0
273;6,9
274;7,0
275;7,0
276;6,9
277;6,9
278;6,9
279;6,9
280;7,0
281;7,0
282;6,9
283;7,0
284;7,0
285;6,9
286;7,0
287;7,0
288;6,9
289;6,9
290;6,9
291;6,9
292;6,9
293;7,0
294;6,9
295;6,9
296;7,0
297;6,9
298;7,0
299;6,9
300;6,9
301;6,9
302;6,9
303;6,9
304;7,0
305;7,0
306;7,0
307;6,9
308;7,0
309;6,9
310;6,9
311;7,0
312;7,0
313;7,0
314;7,0
315;6,9
316;6,9
317;6,9
318;7,0
319;6,9
320;7,0
321;6,9
322;6,9
323;6,9
324;6,9
325;6,9
326;7,0
327;6,9
328;7,0
329;6,9
330;6,9
331;7,0
332;7,0
333;7,0
334;7,0
335;6,9
336;7,0
337;6,9
338;6,9
339;7,0
340;6,9
341;6,9
342;7,0
343;7,0
344;7,0
345;6,9
346;6,9
347;7,0
348;6,9
349;7,0
350;6,9
351;6,9
352;7,0
353;7,0
354;7,0
355;7,0
356;6,9
357;7,0
358;6,9
359;7,0
360;6,9
361;7,0
362;6,9
363;6,9
364;6,9
365;6,9
366;6,9
367;6,9
368;7,0
369;6,9
370;6,9
371;6,9
372;6,9
373;6,9
374;7,0
375;7,0
376;6,9
377;7,0
378;7,0
379;6,9
380;6,9
381;7,0
382;6,9
383;7,0
384;6,9
385;7,0
386;6,9
387;7,0
388;6,9
389;6,9
390;6,9
391;6,9
392;6,9
393;6,9
394;6,9
395;7,0
396;6,9
397;6,9
398;6,9
399;6,9
400;6,9
401;7,0
402;7,0
403;6,9
404;6,9
405;7,0
406;6,9
407;6,9
408;6,9
409;7,0
410;6,9
411;6,9
412;6,9
413;7,0
414;7,0
415;6,9
416;6,9
417;7,0
418;7,0
419;7,0
420;6,9
421;6,9
422;6,9
423;6,9
424;6,9
425;7,0
426;7,0
427;6,9
428;6,9
429;6,9
430;6,9
431;7,0
432;7,0
433;6,9
434;7,0
435;6,9
436;7,0
437;6,9
438;7,0
439;6,9
440;7,0
441;6,9
442;7,0
443;6,9
444;6,9
445;6,9
446;6,9
447;6,9
448;6,9
449;6,9
450;6,9
451;6,9
452;6,9
453;7,0
454;6,9
455;6,9
456;6,9
457;6,9
458;6,9
459;7,0
460;6,9
461;7,0
462;6,9
463;7,0
464;7,0
465;7,0
466;6,9
467;6,9
468;7,0
469;7,0
470;6,9
471;6,9
472;7,0
473;7,0
474;7,0
475;6,9
476;6,9
477;6,9
478;6,9
479;6,9
480;7,0
481;6,9
482;6,9
483;6,9
484;7,0
485;6,9
486;6,9
487;6,9
488;6,9
489;6,9
490;6,9
491;7,0
492;7,0
493;6,9
494;6,9
495;6,9
496;7,0
497;7,0
498;7,0
499;7,0
500;7,0
501;6,9
502;6,9
503;6,9
504;6,9
505;6,9
506;6,9
507;6,9
508;6,9
509;7,0
510;6,9
511;7,0
512;6,9
513;7,0
514;7,0
515;6,9
516;6,9
517;6,9
518;6,9
519;6,9
520;6,9
521;7,0
522;7,0
523;6,9
524;6,9
525;6,9
526;6,9
527;6,9
528;7,0
529;7,0
530;6,9
531;6,9
532;7,0
533;7,0
534;6,9
535;6,9
536;6,9
537;6,9
538;7,0
539;7,0
540;7,0
541;6,9
542;7,0
543;6,9
544;6,9
545;6,9
546;6,9
547;7,0
548;7,0
549;7,0
550;6,9
551;6,9
552;6,9
553;6,9
554;6,9
555;6,9
556;7,0
557;6,9
558;6,9
559;7,0
560;6,9
561;7,0
562;6,9
563;7,0
564;6,9
565;6,9
566;7,0
567;6,9
568;7,0
569;6,9
570;6,9
571;7,0
572;7,0
573;6,9
574;7,0
575;6,9
576;6,9
577;6,9
578;6,9
579;6,9
580;7,0
581;6,9
582;7,0
583;7,0
584;6,9
585;7,0
586;6,9
587;6,9
588;7,0
589;7,0
590;7,0
591;7,0
592;6,9
593;6,9
594;7,0
595;6,9
596;6,9
597;6,9
598;7,0
599;6,9
600;6,9
601;6,9
602;6,9
603;6,9
604;6,9
605;6,9
606;6,9
607;6,9
608;6,9
609;7,0
610;6,9
611;7,0
612;6,9
613;6,9
614;6,9
615;7,0
616;6,9
617;7,0
618;6,9
619;7,0
620;7,0
621;6,6
622;4,6
623;1,8
624;1,8
625;1,9
626;1,6
627;1,8
628;2,0
629;1,8
630;1,8
631;1,9
632;1,8
633;1,9
634;1,8
635;1,8
636;1,7
637;1,8
638;2,0
639;1,8
640;1,8
