time;watts
0;1,8
1;1,8
2;1,8
3;1,9
4;1,8
5;1,6
6;1,8
7;1,8
8;1,8
9;1,8
10;1,8
11;2,0
12;1,9
13;1,8
14;1,7
15;1,7
16;1,8
17;4,2
18;4,2
19;6,5
20;6,5
21;6,4
22;6,5
23;6,5
24;6,4
25;6,5
26;6,5
27;6,5
28;6,4
29;6,4
30;6,4
31;6,4
32;6,5
33;6,4
34;6,4
35;6,4
36;6,4
37;6,4
38;6,4
39;6,4
40;6,5
41;6,4
42;6,4
43;6,5
44;6,4
45;6,5
46;6,4
47;6,5
48;6,4
49;6,5
50;6,4
51;6,5
52;6,5
53;6,4
54;6,4
55;6,4
56;6,4
57;6,4
58;6,4
59;6,5
60;6,4
61;6,4
62;6,4
63;6,4
64;6,4
65;6,4
66;6,5
67;6,4
68;6,4
69;6,5
70;6,5
71;6,4
72;6,4
73;6,5
74;6,4
75;6,5
76;6,4
77;6,4
78;6,4
79;6,5
80;6,4
81;6,5
82;6,5
83;6,4
84;6,5
85;6,5
86;6,4
87;6,4
88;6,5
89;6,4
90;6,4
91;6,4
92;6,4
93;6,4
94;6,4
95;6,5
96;6,4
97;6,4
98;6,4
99;6,4
100;6,4
101;6,4
102;6,4
103;6,4
104;6,4
105;6,4
106;6,4
107;6,5
108;6,5
109;6,4
110;6,4
111;6,5
112;6,5
113;6,5
114;6,5
115;6,4
116;6,4
117;6,4
118;6,5
119;6,5
120;6,4
121;6,4
122;6,4
123;6,4
124;6,4
125;6,4
126;6,5
127;6,4
128;6,5
129;6,4
130;6,5
131;6,5
132;6,5
133;6,4
134;6,4
135;6,4
136;6,4
137;6,4
138;6,5
139;6,5
140;6,4
141;6,4
142;6,5
143;6,4
144;6,5
145;6,5
146;6,4
147;6,4
148;6,4
149;6,5
150;6,4
151;6,4
152;6,4
153;6,4
154;6,4
155;6,5
156;6,4
157;6,4
158;6,4
159;6,5
160;6,4
161;6,4
162;6,5
163;6,4
164;6,5
165;6,5
166;6,4
167;6,4
168;6,5
169;6,5
170;6,4
171;6,4
172;6,5
173;6,4
174;6,4
175;6,5
176;6,4
177;6,5
178;6,4
179;6,5
180;6,4
181;6,4
182;6,5
183;6,5
184;6,4
185;6,5
186;6,4
187;6,5
188;6,4
189;6,5
190;6,4
191;6,5
192;6,5
193;6,4
194;6,5
195;6,4
196;6,5
197;6,5
198;6,5
199;6,4
200;6,5
201;6,4
202;6,5
203;6,5
204;6,4
205;6,5
206;6,5
207;6,5
208;6,5
209;6,4
210;6,4
211;6,4
212;6,4
213;6,5
214;6,5
215;6,4
216;6,4
217;6,4
218;6,4
219;6,5
220;6,4
221;6,4
222;6,4
223;6,4
224;6,4
225;6,4
226;6,5
227;6,4
228;6,5
229;6,4
230;6,5
231;6,5
232;6,4
233;6,4
234;6,5
235;6,5
236;6,4
237;6,5
238;6,4
239;6,4
240;6,4
241;6,4
242;6,5
243;6,4
244;6,4
245;6,4
246;6,4
247;6,5
248;6,4
249;6,5
250;6,4
251;6,4
252;6,4
253;6,5
254;6,5
255;6,4
256;6,4
257;6,5
258;6,5
259;6,4
260;6,5
261;6,4
262;6,5
263;6,5
264;6,4
265;6,4
266;6,5
267;6,4
268;6,5
269;6,4
270;6,4
271;6,5
272;6,5
273;6,4
274;6,5
275;6,5
276;6,4
277;6,4
278;6,4
279;6,4
280;6,5
281;6,5
282;6,4
283;6,5
284;6,5
285;6,4
286;6,5
287;6,5
288;6,4
289;6,4
290;6,4
291;6,4
292;6,4
293;6,5
294;6,4
295;6,4
296;6,5
297;6,4
298;6,5
299;6,4
300;6,4
301;6,4
302;6,4
303;6,4
304;6,5
305;6,5
306;6,5
307;6,4
308;6,5
309;6,4
310;6,4
311;6,5
312;6,5
313;6,5
314;6,5
315;6,4
316;6,4
317;6,4
318;6,5
319;6,4
320;6,5
321;6,4
322;6,4
323;6,4
324;6,4
325;6,4
326;6,5
327;6,4
328;6,5
329;6,4
330;6,4
331;6,5
332;6,5
333;6,5
334;6,5
335;6,4
336;6,5
337;6,4
338;6,4
339;6,5
340;6,4
341;6,4
342;6,5
343;6,5
344;6,5
345;6,4
346;6,4
347;6,5
348;6,4
349;6,5
350;6,4
351;6,4
352;6,5
353;6,5
354;6,5
355;6,5
356;6,4
357;6,5
358;6,4
359;6,5
360;6,4
361;6,5
362;6,4
363;6,4
364;6,4
365;6,4
366;6,4
367;6,4
368;6,5
369;6,4
370;6,4
371;6,4
372;6,4
373;6,4
374;6,5
375;6,5
376;6,4
377;6,5
378;6,5
379;6,4
380;6,4
381;6,5
382;6,4
383;6,5
384;6,4
385;6,5
386;6,4
387;6,5
388;6,4
389;6,4
390;6,4
391;6,4
392;6,4
393;6,4
394;6,4
395;6,5
396;6,4
397;6,4
398;6,4
399;6,4
400;6,4
401;6,5
402;6,5
403;6,4
404;6,4
405;6,5
406;6,4
407;6,4
408;6,4
409;6,5
410;6,4
411;6,4
412;6,4
413;6,5
414;6,5
415;6,4
416;6,4
417;6,5
418;6,5
419;6,5
420;6,4
421;6,4
422;6,4
423;6,4
424;6,4
425;6,5
426;6,5
427;6,4
428;6,4
429;6,4
430;6,4
431;6,5
432;6,5
433;6,4
434;6,5
435;6,4
436;6,5
437;6,4
438;6,5
439;6,4
440;6,5
441;6,4
442;6,5
443;6,4
444;6,4
445;6,4
446;6,4
447;6,4
448;6,4
449;6,4
450;6,4
451;6,4
452;6,4
453;6,5
454;6,4
455;6,4
456;6,4
457;6,4
458;6,4
459;6,5
460;6,4
461;6,5
462;6,4
463;6,5
464;6,5
465;6,5
466;6,4
467;6,4
468;6,5
469;6,5
470;6,4
471;6,4
472;6,5
473;6,5
474;6,5
475;6,4
476;6,4
477;6,4
478;6,4
479;6,4
480;6,5
481;6,4
482;6,4
483;6,4
484;6,5
485;6,4
486;6,4
487;6,4
488;6,4
489;6,4
490;6,4
491;6,5
492;6,5
493;6,4
494;6,4
495;6,4
496;6,5
497;6,5
498;6,5
499;6,5
500;6,5
501;6,4
502;6,4
503;6,4
504;6,4
505;6,4
506;6,4
507;6,4
508;6,4
509;6,5
510;6,4
511;6,5
512;6,4
513;6,5
514;6,5
515;6,4
516;6,4
517;6,4
518;6,4
519;6,4
520;6,4
521;6,5
522;6,5
523;6,4
524;6,4
525;6,4
526;6,4
527;6,4
528;6,5
529;6,5
530;6,4
531;6,4
532;6,5
533;6,5
534;6,4
535;6,4
536;6,4
537;6,4
538;6,5
539;6,5
540;6,5
541;6,4
542;6,5
543;6,4
544;6,4
545;6,4
546;6,4
547;6,5
548;6,5
549;6,5
550;6,4
551;6,4
552;6,5
553;6,4
554;6,4
555;6,4
556;6,5
557;6,4
558;6,4
559;6,5
560;6,4
561;6,5
562;6,4
563;6,5
564;6,4
565;6,4
566;6,5
567;6,4
568;6,5
569;6,4
570;6,4
571;6,5
572;6,5
573;6,4
574;6,5
575;6,4
576;6,4
577;6,4
578;6,4
579;6,4
580;6,5
581;6,4
582;6,5
583;6,5
584;6,4
585;6,5
586;6,4
587;6,4
588;6,5
589;6,5
590;6,5
591;6,5
592;6,5
593;6,4
594;6,5
595;6,4
596;6,4
597;6,4
598;6,5
599;6,4
600;6,4
601;6,4
602;6,4
603;6,4
604;6,4
605;6,4
606;6,4
607;6,4
608;6,5
609;6,5
610;6,4
611;6,5
612;6,4
613;6,4
614;6,4
615;6,5
616;6,4
617;6,5
618;6,4
619;6,5
620;6,5
621;6,5
622;3,5
623;2,7
624;1,9
625;2,0
626;1,6
627;1,8
628;2,0
629;1,8
630;1,8
631;1,9
632;1,8
633;1,9
634;1,8
635;1,8
636;1,7
637;1,8
638;2,0
639;1,8
640;1,8
641;1,7
