time;watts
0;1,7
1;1,7
2;1,7
3;1,9
4;1,7
5;1,5
6;1,8
7;1,6
8;1,6
9;1,7
10;1,8
11;2,0
12;1,9
13;1,7
14;1,5
15;1,5
16;1,8
17;4,4
18;4,4
19;7,1
20;7,1
21;6,7
22;7,1
23;7,1
24;6,8
25;7,0
26;7,1
27;7,1
28;6,7
29;6,7
30;6,9
31;6,7
32;7,1
33;6,9
34;6,7
35;6,8
36;6,7
37;6,7
38;6,7
39;6,7
40;7,1
41;6,9
42;6,9
43;7,0
44;6,9
45;7,0
46;6,8
47;7,1
48;6,7
49;7,1
50;6,9
51;7,1
52;7,1
53;6,8
54;6,8
55;6,8
56;6,9
57;6,8
58;6,7
59;7,1
60;6,7
61;6,7
62;6,7
63;6,7
64;6,9
65;6,7
66;7,1
67;6,9
68;6,9
69;7,1
70;7,1
71;6,7
72;6,8
73;7,1
74;6,7
75;7,1
76;6,7
77;6,9
78;6,9
79;7,1
80;6,9
81;7,1
82;7,1
83;6,8
84;7,1
85;7,1
86;6,8
87;6,9
88;7,0
89;6,9
90;6,7
91;6,7
92;6,8
93;6,9
94;6,7
95;7,1
96;6,7
97;6,8
98;6,9
99;6,9
100;6,8
101;6,7
102;6,7
103;6,9
104;6,8
105;6,8
106;6,7
107;7,0
108;7,1
109;6,8
110;6,9
111;7,1
112;7,1
113;7,1
114;7,0
115;6,8
116;6,7
117;6,7
118;7,1
119;7,1
120;6,7
121;6,8
122;6,9
123;6,9
124;6,9
125;6,9
126;7,1
127;6,7
128;7,0
129;6,7
130;7,1
131;7,1
132;7,0
133;6,9
134;6,8
135;6,9
136;6,9
137;6,7
138;7,1
139;7,1
140;6,7
141;6,8
142;7,1
143;6,7
144;7,0
145;7,1
146;6,9
147;6,7
148;6,7
149;7,1
150;6,7
151;6,7
152;6,8
153;6,9
154;6,9
155;7,1
156;6,8
157;6,8
158;6,9
159;7,0
160;6,8
161;6,8
162;7,1
163;6,7
164;7,1
165;7,0
166;6,8
167;6,8
168;7,1
169;7,1
170;6,7
171;6,8
172;7,0
173;6,7
174;6,9
175;7,0
176;6,7
177;7,0
178;6,7
179;7,0
180;6,7
181;6,7
182;7,1
183;7,0
184;6,7
185;7,1
186;6,9
187;7,1
188;6,7
189;7,0
190;6,9
191;7,1
192;7,1
193;6,8
194;7,1
195;6,7
196;7,1
197;7,1
198;7,1
199;6,7
200;7,1
201;6,7
202;7,0
203;7,1
204;7,0
205;7,1
206;7,1
207;7,0
208;7,1
209;6,9
210;7,0
211;6,7
212;6,7
213;7,1
214;7,1
215;6,9
216;6,9
217;6,8
218;6,7
219;7,1
220;6,7
221;6,8
222;6,9
223;6,8
224;6,7
225;6,8
226;7,0
227;6,8
228;7,0
229;6,9
230;7,0
231;7,1
232;6,8
233;6,7
234;7,1
235;7,1
236;6,9
237;7,1
238;6,7
239;6,7
240;6,7
241;6,8
242;7,0
243;6,8
244;6,9
245;6,7
246;6,7
247;7,1
248;6,8
249;7,1
250;6,9
251;6,8
252;6,7
253;7,1
254;7,0
255;6,9
256;6,9
257;7,1
258;7,1
259;6,7
260;7,1
261;6,7
262;7,1
263;7,1
264;6,8
265;6,7
266;7,1
267;6,9
268;7,1
269;6,9
270;6,8
271;7,1
272;7,0
273;6,9
274;7,0
275;7,0
276;6,7
277;6,8
278;6,7
279;6,7
280;7,0
281;7,1
282;6,9
283;7,1
284;7,1
285;6,7
286;7,1
287;7,0
288;6,9
289;6,9
290;6,9
291;6,7
292;6,9
293;7,1
294;6,7
295;6,8
296;7,0
297;6,9
298;7,1
299;6,7
300;6,7
301;6,8
302;6,8
303;6,8
304;7,0
305;7,0
306;7,1
307;6,7
308;7,1
309;6,7
310;6,9
311;7,1
312;7,1
313;7,1
314;7,1
315;6,7
316;6,8
317;6,8
318;7,1
319;6,7
320;7,1
321;6,8
322;6,9
323;6,9
324;6,9
325;6,7
326;7,1
327;6,7
328;7,1
329;6,7
330;6,9
331;7,1
332;7,1
333;7,1
334;7,0
335;6,8
336;7,0
337;6,7
338;6,8
339;7,1
340;6,9
341;7,0
342;7,0
343;7,1
344;7,1
345;6,7
346;6,8
347;7,1
348;6,7
349;7,1
350;6,7
351;6,8
352;7,1
353;7,1
354;7,1
355;7,1
356;6,9
357;7,0
358;6,7
359;7,1
360;6,8
361;7,1
362;6,7
363;6,9
364;6,7
365;6,8
366;6,9
367;6,9
368;7,1
369;6,8
370;6,8
371;6,7
372;6,8
373;6,7
374;7,1
375;7,1
376;6,8
377;7,1
378;7,1
379;6,7
380;6,8
381;7,1
382;6,7
383;7,0
384;6,9
385;7,0
386;6,7
387;7,1
388;6,7
389;6,7
390;6,7
391;6,8
392;6,9
393;6,9
394;6,8
395;7,1
396;6,7
397;6,7
398;6,7
399;7,0
400;7,0
401;7,1
402;7,1
403;6,7
404;6,9
405;7,0
406;6,7
407;6,9
408;6,7
409;7,1
410;6,9
411;6,7
412;6,9
413;7,1
414;7,1
415;6,9
416;6,7
417;7,0
418;7,1
419;7,0
420;6,8
421;6,8
422;6,8
423;6,7
424;6,9
425;7,1
426;7,1
427;6,9
428;6,9
429;6,8
430;6,8
431;7,0
432;7,1
433;6,8
434;7,1
435;7,0
436;7,1
437;6,7
438;7,0
439;6,7
440;7,1
441;6,9
442;7,1
443;6,7
444;6,7
445;6,7
446;6,7
447;6,9
448;6,7
449;6,7
450;6,9
451;6,7
452;6,9
453;7,1
454;6,7
455;6,7
456;6,7
457;6,9
458;6,9
459;7,0
460;6,9
461;7,1
462;6,8
463;7,1
464;7,0
465;7,0
466;6,8
467;6,7
468;7,1
469;7,0
470;6,7
471;6,8
472;7,0
473;7,1
474;7,1
475;6,7
476;6,7
477;6,7
478;6,9
479;6,7
480;7,1
481;6,9
482;6,9
483;6,7
484;7,1
485;6,8
486;6,9
487;6,7
488;6,8
489;6,8
490;6,9
491;7,1
492;7,1
493;6,9
494;6,8
495;6,7
496;7,0
497;7,1
498;7,1
499;7,1
500;7,1
501;6,9
502;6,8
503;6,9
504;6,8
505;6,8
506;6,8
507;6,9
508;6,8
509;7,0
510;6,7
