time;watts
0;1,6
1;1,6
2;1,6
3;1,7
4;1,6
5;1,5
6;1,7
7;1,5
8;1,6
9;1,6
10;1,6
11;1,8
12;1,7
13;1,6
14;1,5
15;1,5
16;1,7
17;4,2
18;4,2
19;6,7
20;6,7
21;6,5
22;6,9
23;6,9
24;6,5
25;6,6
26;6,9
27;6,8
28;6,5
29;6,5
30;6,5
31;6,5
32;6,7
33;6,5
34;6,5
35;6,5
36;6,5
37;6,5
38;6,5
39;6,5
40;6,7
41;6,6
42;6,5
43;6,6
44;6,5
45;6,6
46;6,5
47;6,9
48;6,5
49;6,7
50;6,6
51;6,7
52;6,8
53;6,5
54;6,5
55;6,5
56;6,5
57;6,5
58;6,5
59;6,9
60;6,5
61;6,5
62;6,5
63;6,5
64;6,5
65;6,5
66;6,7
67;6,5
68;6,5
69;6,7
70;6,9
71;6,5
72;6,5
73;6,8
74;6,5
75;6,9
76;6,5
77;6,6
78;6,5
79;6,8
80;6,5
81;6,8
82;6,7
83;6,5
84;6,7
85;6,9
86;6,5
87;6,5
88;6,6
89;6,5
90;6,5
91;6,5
92;6,5
93;6,5
94;6,5
95;6,9
96;6,5
97;6,5
98;6,5
99;6,5
100;6,5
101;6,5
102;6,5
103;6,5
104;6,5
105;6,5
106;6,5
107;6,6
108;6,9
109;6,5
110;6,5
111;6,8
112;6,7
113;6,9
114;6,7
115;6,5
116;6,5
117;6,5
118;6,8
119;6,9
120;6,5
121;6,5
122;6,5
123;6,5
124;6,5
125;6,5
126;6,9
127;6,5
128;6,6
129;6,5
130;6,9
131;6,7
132;6,6
133;6,5
134;6,5
135;6,5
136;6,5
137;6,5
138;6,7
139;6,7
140;6,5
141;6,5
142;6,7
143;6,5
144;6,6
145;6,8
146;6,5
147;6,5
148;6,5
149;6,9
150;6,5
151;6,5
152;6,5
153;6,5
154;6,5
155;6,7
156;6,5
157;6,5
158;6,5
159;6,6
160;6,5
161;6,5
162;6,9
163;6,5
164;6,7
165;6,6
166;6,5
167;6,5
168;6,9
169;6,9
170;6,5
171;6,5
172;6,6
173;6,5
174;6,5
175;6,6
176;6,5
177;6,6
178;6,5
179;6,6
180;6,5
181;6,5
182;6,7
183;6,7
184;6,5
185;6,9
186;6,5
187;6,7
188;6,5
189;6,6
190;6,5
191;6,7
192;6,7
193;6,5
194;6,7
195;6,5
196;6,9
197;6,8
198;6,9
199;6,5
200;6,9
201;6,5
202;6,7
203;6,8
204;6,6
205;6,8
206;6,7
207;6,6
208;6,7
209;6,5
210;6,6
211;6,5
212;6,5
213;6,8
214;6,8
215;6,5
216;6,5
217;6,5
218;6,5
219;6,9
220;6,5
221;6,5
222;6,5
223;6,5
224;6,5
225;6,5
226;6,6
227;6,5
228;6,6
229;6,5
230;6,6
231;6,8
232;6,5
233;6,5
234;6,9
235;6,9
236;6,5
237;6,8
238;6,5
239;6,5
240;6,5
241;6,5
242;6,7
243;6,5
244;6,5
245;6,5
246;6,5
247;6,7
248;6,5
249;6,7
250;6,5
251;6,5
252;6,5
253;6,7
254;6,6
255;6,5
256;6,5
257;6,7
258;6,9
259;6,5
260;6,7
261;6,5
262;6,8
263;6,9
264;6,5
265;6,5
266;6,9
267;6,5
268;6,9
269;6,5
270;6,5
271;6,9
272;6,6
273;6,5
274;6,6
275;6,6
276;6,5
277;6,5
278;6,5
279;6,5
280;6,6
281;6,9
282;6,5
283;6,8
284;6,9
285;6,5
286;6,7
287;6,6
288;6,5
289;6,5
290;6,5
291;6,5
292;6,5
293;6,9
294;6,5
295;6,5
296;6,6
297;6,5
298;6,9
299;6,5
300;6,5
301;6,5
302;6,5
303;6,5
304;6,7
305;6,7
306;6,9
307;6,5
308;6,9
309;6,5
310;6,5
311;6,7
312;6,9
313;6,8
314;6,7
315;6,5
316;6,5
317;6,5
318;6,9
319;6,5
320;6,9
321;6,5
322;6,5
323;6,5
324;6,5
325;6,5
326;6,9
327;6,5
328;6,8
329;6,5
330;6,5
331;6,9
332;6,9
333;6,8
334;6,6
335;6,5
336;6,6
337;6,5
338;6,5
339;6,9
340;6,5
341;6,6
342;6,6
343;6,7
344;6,9
345;6,5
346;6,5
347;6,9
348;6,5
349;6,9
350;6,5
351;6,5
352;6,9
353;6,9
354;6,8
355;6,9
356;6,5
357;6,6
358;6,5
359;6,7
360;6,5
361;6,8
362;6,5
363;6,5
364;6,5
365;6,5
366;6,5
367;6,5
368;6,8
369;6,5
370;6,5
371;6,5
372;6,5
373;6,5
374;6,8
375;6,7
376;6,5
377;6,7
378;6,7
379;6,5
380;6,5
381;6,7
382;6,5
383;6,6
384;6,5
385;6,6
386;6,5
387;6,8
388;6,5
389;6,5
390;6,5
391;6,5
392;6,5
393;6,5
394;6,5
395;6,8
396;6,5
397;6,5
398;6,5
399;6,6
400;6,6
401;6,8
402;6,9
403;6,5
404;6,6
405;6,6
406;6,5
407;6,5
408;6,5
409;6,9
410;6,5
411;6,5
412;6,5
413;6,7
414;6,7
415;6,5
416;6,5
417;6,6
418;6,7
419;6,6
420;6,5
421;6,5
422;6,5
423;6,5
424;6,5
425;6,9
426;6,9
427;6,5
428;6,5
429;6,5
430;6,5
431;6,6
432;6,8
433;6,5
434;6,7
435;6,6
436;6,7
437;6,5
438;6,6
439;6,5
440;6,8
441;6,5
442;6,9
443;6,5
444;6,5
445;6,5
446;6,5
447;6,5
448;6,5
449;6,5
450;6,5
451;6,5
452;6,5
453;6,7
454;6,5
455;6,5
