time;watts
0;2,9
1;2,9
2;2,9
3;3,0
4;2,9
5;2,9
6;2,9
7;2,9
8;2,9
9;2,9
10;2,9
11;3,0
12;3,0
13;2,9
14;2,9
15;2,9
16;2,9
17;4,1
18;4,1
19;5,2
20;5,2
21;5,0
22;5,3
23;5,5
24;5,1
25;5,2
26;5,4
27;5,3
28;4,9
29;4,9
30;5,1
31;4,9
32;5,3
33;5,1
34;4,8
35;5,0
36;4,8
37;4,9
38;4,9
39;5,0
40;5,2
41;5,1
42;5,1
43;5,2
44;5,1
45;5,2
46;5,1
47;5,3
48;5,0
49;5,2
50;5,1
51;5,2
52;5,3
53;5,0
54;5,0
55;5,0
56;5,1
57;5,0
58;4,7
59;5,5
60;5,0
61;4,9
62;5,0
63;4,8
64;5,1
65;5,0
66;5,2
67;5,1
68;5,1
69;5,2
70;5,4
71;5,0
72;5,0
73;5,3
74;4,8
75;5,3
76;5,0
77;5,1
78;5,1
79;5,3
80;5,1
81;5,3
82;5,2
83;5,0
84;5,2
85;5,7
86;5,0
87;5,1
88;5,2
89;5,1
90;4,9
91;4,9
92;5,0
93;5,1
94;4,7
95;5,5
96;4,6
97;5,0
98;5,1
99;5,1
100;5,1
101;4,8
102;5,0
103;5,1
104;5,0
105;5,0
106;4,9
107;5,2
108;5,4
109;5,0
110;5,1
111;5,3
112;5,3
113;5,4
114;5,2
115;5,0
116;4,9
117;4,9
118;5,3
119;5,3
120;4,8
121;5,0
122;5,1
123;5,1
124;5,1
125;5,1
126;5,4
127;4,9
128;5,2
129;5,0
130;5,4
131;5,2
132;5,2
133;5,1
134;5,0
135;5,1
136;5,1
137;4,8
138;5,2
139;5,2
140;5,0
141;5,1
142;5,2
143;5,0
144;5,2
145;5,3
146;5,1
147;5,0
148;4,9
149;5,6
150;5,0
151;4,9
152;5,0
153;5,1
154;5,1
155;5,3
156;5,0
157;5,0
158;5,1
159;5,2
160;5,0
161;5,0
162;5,4
163;4,9
164;5,2
165;5,2
166;5,0
167;5,0
168;5,4
169;5,4
170;4,9
171;5,0
172;5,2
173;4,8
174;5,1
175;5,2
176;4,9
177;5,2
178;4,8
179;5,2
180;4,9
181;4,7
182;5,2
183;5,2
184;4,9
185;5,4
186;5,1
187;5,2
188;4,9
189;5,2
190;5,1
191;5,2
192;5,3
193;5,0
194;5,2
195;4,9
196;5,7
197;5,3
198;5,3
199;4,7
200;5,4
201;4,9
202;5,2
203;5,3
204;5,1
205;5,3
206;5,3
207;5,2
208;5,2
209;5,1
210;5,1
211;4,9
212;4,7
213;5,3
214;5,3
215;5,1
216;5,1
217;5,0
218;5,0
219;5,5
220;4,9
221;5,0
222;5,1
223;5,0
224;4,9
225;5,0
226;5,2
227;5,0
228;5,2
229;5,1
230;5,2
231;5,3
232;5,0
233;5,0
234;5,4
235;5,3
236;5,1
237;5,3
238;5,0
239;5,0
240;4,9
241;5,0
242;5,2
243;5,1
244;5,1
245;5,0
246;4,9
247;5,3
248;5,1
249;5,2
250;5,1
251;5,0
252;4,5
253;5,3
254;5,2
255;5,1
256;5,1
257;5,2
258;5,4
259;5,0
260;5,2
261;5,0
262;5,3
263;5,4
264;5,0
265;4,9
266;5,4
267;5,1
268;5,4
269;5,1
270;5,0
271;5,3
272;5,2
273;5,1
274;5,2
275;5,2
276;5,0
277;5,1
278;4,9
279;4,9
280;5,2
281;5,3
282;5,1
283;5,3
284;5,4
285;4,9
286;5,3
287;5,2
288;5,1
289;5,1
290;5,1
291;4,9
292;5,1
293;5,4
294;4,9
295;5,0
296;5,2
297;5,1
298;5,4
299;4,8
300;4,8
301;5,0
302;5,0
303;5,1
304;5,2
305;5,2
306;5,3
307;4,9
308;5,3
309;4,8
310;5,1
311;5,2
312;5,3
313;5,3
314;5,2
315;5,0
316;5,0
317;5,0
318;5,4
319;5,0
320;5,4
321;5,1
322;5,1
323;5,1
324;5,1
325;4,9
326;5,4
327;5,0
328;5,3
329;4,9
330;5,1
331;5,4
332;5,4
333;5,3
334;5,2
335;5,0
336;5,2
337;4,9
338;5,0
339;5,4
340;5,1
341;5,1
342;5,2
343;5,2
344;5,4
345;4,8
346;5,1
347;5,3
348;4,7
349;5,4
350;4,7
351;5,0
352;5,4
353;5,4
354;5,3
355;5,5
356;5,1
357;5,2
358;4,8
359;5,2
360;5,0
361;5,3
362;4,9
363;5,1
364;5,0
365;5,0
366;5,1
367;5,1
368;5,3
369;5,0
370;5,0
371;4,8
372;5,0
373;5,0
374;5,3
375;5,2
376;5,0
377;5,2
378;5,3
379;4,9
380;5,1
381;5,2
382;5,0
383;5,2
384;5,1
385;5,2
386;4,7
387;5,3
388;4,9
389;4,8
390;5,0
391;5,0
392;5,1
393;5,1
394;5,1
395;5,3
396;4,9
397;5,0
398;4,9
399;5,1
400;5,1
401;5,3
402;5,4
403;4,9
404;5,1
405;5,2
406;4,9
407;5,1
408;4,9
409;5,4
410;5,1
411;4,8
412;5,1
413;5,2
414;5,2
415;5,1
416;4,8
417;5,2
418;5,3
419;5,2
420;5,0
421;5,0
422;5,0
423;4,9
424;5,1
425;5,4
426;5,4
427;5,1
428;5,1
429;5,0
430;5,0
431;5,1
432;5,3
433;5,0
434;5,2
435;5,1
436;5,2
437;4,9
438;5,2
439;4,9
440;5,3
441;5,1
442;5,4
443;5,0
444;4,9
445;4,9
446;4,8
447;5,1
448;4,7
449;5,0
450;5,1
451;4,9
452;5,1
453;5,2
454;4,9
455;4,9
456;4,9
457;5,1
458;5,1
459;5,2
460;5,1
461;5,2
462;5,0
463;5,3
464;5,2
465;5,2
466;5,0
467;4,8
468;5,3
469;5,2
470;4,9
471;5,1
472;5,1
473;5,3
474;5,3
475;5,0
476;5,0
477;4,8
478;5,1
479;4,9
480;5,3
481;5,1
482;5,1
483;4,8
484;5,3
485;5,0
486;5,1
487;4,9
488;5,0
489;5,0
490;5,1
491;5,3
492;5,3
493;5,1
494;5,0
495;4,9
496;5,2
497;5,3
498;5,3
499;5,3
500;5,3
501;5,1
502;5,1
503;5,1
504;5,0
505;5,0
506;5,0
507;5,1
508;5,0
509;5,2
510;5,0
511;5,4
512;4,9
513;5,3
514;5,2
515;5,0
516;5,1
517;5,1
518;4,4
519;4,9
520;5,0
521;5,3
522;5,1
523;4,9
524;5,1
525;4,7
526;5,1
527;5,1
528;5,2
529;5,2
530;5,0
531;4,9
532;5,2
533;5,4
534;5,1
535;5,0
536;4,9
537;4,9
538;5,3
539;5,3
540;5,2
541;5,1
542;5,2
543;5,1
544;4,9
545;4,7
546;4,9
547;5,3
548;5,3
549;5,2
550;5,0
551;5,0
552;5,1
553;4,8
554;5,0
555;5,0
556;5,4
557;5,1
558;5,0
559;5,2
560;5,0
561;5,2
562;4,9
563;5,4
564;5,1
565;5,0
566;5,3
567;5,0
568;5,2
569;4,9
570;4,8
571;5,2
572;5,2
573;5,1
574;5,2
575;4,9
576;4,9
577;5,1
578;5,1
579;5,0
580;5,3
581;4,8
582;5,4
583;5,3
584;5,1
585;5,3
586;5,0
587;5,0
588;5,4
589;5,2
590;5,1
591;5,2
592;5,1
593;4,9
594;5,3
595;4,9
596;5,1
597;5,1
598;5,2
599;5,1
600;5,1
601;4,9
602;5,1
603;4,8
604;5,0
605;4,9
606;5,1
607;5,0
608;5,1
609;5,4
610;5,0
611;5,3
612;4,9
613;5,1
614;4,8
615;5,2
616;5,0
617;5,3
618;5,1
619;5,2
620;5,2
621;5,2
622;5,3
623;5,2
624;5,1
625;5,0
626;5,1
627;5,3
628;5,0
629;4,6
630;5,0
631;5,1
632;5,2
633;5,2
634;5,1
635;5,2
636;5,3
637;5,1
638;5,0
639;5,6
640;4,8
641;5,0
642;5,3
643;5,3
644;4,7
645;5,1
646;4,9
647;5,0
648;5,0
649;5,1
650;5,5
651;5,2
652;4,8
653;5,1
654;5,0
655;5,1
656;5,1
657;5,1
658;5,2
659;5,3
660;4,9
661;5,6
662;5,3
663;5,3
664;4,9
665;4,9
666;5,1
667;5,3
668;4,9
669;5,2
670;5,4
671;4,7
672;5,0
673;5,3
674;4,9
675;4,9
676;5,2
677;5,1
678;5,2
679;5,3
680;5,2
681;5,2
682;5,1
683;5,1
684;4,9
685;5,2
686;5,1
687;5,2
688;5,0
689;4,8
690;4,8
691;5,2
692;5,4
693;5,0
694;4,9
695;4,9
696;5,3
697;5,0
698;4,9
699;5,0
700;5,4
701;4,9
702;5,2
703;5,1
704;5,0
705;5,4
706;5,0
707;5,0
708;5,3
709;5,3
710;5,0
711;4,7
712;4,9
713;5,1
714;5,1
715;5,1
716;5,0
717;5,2
718;5,1
719;5,2
720;5,4
721;5,0
722;4,7
723;4,9
724;5,4
725;5,1
726;5,1
727;5,1
728;5,1
729;4,9
730;4,9
731;4,8
732;5,2
733;5,3
734;5,0
735;4,9
736;5,2
737;5,2
738;5,0
739;5,3
740;5,2
741;5,0
742;5,1
743;5,0
744;5,4
745;5,0
746;4,9
747;5,0
748;5,0
749;5,2
750;5,3
751;5,1
752;4,6
753;5,1
754;5,0
755;4,9
756;5,0
757;5,2
758;4,9
759;5,3
760;4,9
761;4,9
762;5,2
763;5,3
764;5,3
765;5,0
766;5,1
767;5,0
768;5,3
769;5,1
770;5,1
771;5,2
772;4,9
773;5,0
774;5,5
775;5,4
776;5,3
777;5,0
778;5,3
779;5,3
780;4,8
781;5,1
782;5,0
783;5,1
784;5,3
785;4,7
786;5,1
787;5,3
788;4,8
789;5,4
790;4,7
791;5,1
792;5,2
793;5,0
794;5,1
795;4,9
796;5,3
797;5,0
798;5,2
799;5,0
800;5,0
801;5,3
802;5,3
803;5,1
804;5,2
805;5,3
806;5,0
807;5,3
808;4,9
809;5,0
810;5,1
811;5,2
812;5,0
813;4,9
814;5,1
815;5,4
816;5,4
817;5,2
818;5,0
819;4,8
820;4,9
821;5,3
822;5,3
823;4,7
824;5,1
825;5,1
826;4,9
827;5,1
828;5,3
829;4,8
830;4,9
831;5,2
832;4,8
833;5,2
834;4,9
835;5,2
836;5,2
837;5,3
838;5,3
839;5,1
840;5,0
841;4,9
842;5,3
843;4,8
844;5,2
845;5,0
846;5,0
847;5,4
848;5,1
849;4,7
850;5,2
851;5,1
852;4,8
853;4,8
854;5,4
855;5,1
856;5,0
857;5,1
858;4,9
859;4,8
860;4,9
861;5,2
862;5,1
863;5,1
864;5,1
865;5,0
866;5,0
867;5,2
868;4,9
869;5,1
870;5,1
871;5,0
872;5,4
873;5,3
874;5,0
875;5,0
876;5,2
877;5,0
878;5,0
879;5,1
880;5,1
881;5,1
882;5,2
883;4,7
884;5,1
885;5,0
886;5,0
887;5,2
888;4,9
889;5,0
890;5,0
891;5,2
892;5,2
893;5,0
894;5,0
895;5,2
896;5,1
897;5,3
898;4,6
899;4,9
900;5,0
901;5,6
902;5,0
903;5,0
904;4,9
905;5,0
906;5,1
907;5,0
908;4,9
909;5,0
910;5,2
911;5,0
912;5,2
913;4,9
914;5,0
915;5,3
916;4,9
917;4,9
918;5,1
919;4,9
920;5,2
921;4,9
922;5,3
923;5,0
924;5,0
925;5,3
926;4,9
927;5,0
928;5,2
929;5,2
930;5,1
931;5,0
932;5,2
933;5,3
934;5,3
935;5,1
936;5,4
937;4,9
938;5,1
939;5,4
940;4,8
941;5,1
942;5,1
943;4,9
944;5,4
945;5,4
946;5,4
947;5,4
948;5,3
949;4,9
