time;watts
0;2,9
1;2,9
2;2,9
3;3,0
4;2,9
5;2,9
6;3,0
7;2,9
8;2,9
9;2,9
10;2,9
11;3,1
12;3,0
13;2,9
14;2,9
15;2,9
16;2,9
17;4,2
18;4,2
19;5,5
20;5,5
21;5,3
22;5,5
23;5,5
24;5,4
25;5,5
26;5,5
27;5,5
28;5,2
29;5,2
30;5,4
31;5,2
32;5,5
33;5,4
34;5,1
35;5,3
36;5,2
37;5,2
38;5,2
39;5,3
40;5,5
41;5,4
42;5,4
43;5,5
44;5,4
45;5,5
46;5,4
47;5,5
48;5,3
49;5,5
50;5,4
51;5,5
52;5,5
53;5,3
54;5,3
55;5,3
56;5,4
57;5,3
58;5,1
59;5,5
60;5,3
61;5,2
62;5,3
63;5,1
64;5,4
65;5,3
66;5,5
67;5,4
68;5,4
69;5,5
70;5,5
71;5,3
72;5,3
73;5,5
74;5,1
75;5,5
76;5,3
77;5,4
78;5,4
79;5,5
80;5,4
81;5,5
82;5,5
83;5,3
84;5,5
85;5,5
86;5,3
87;5,4
88;5,5
89;5,4
90;5,2
91;5,2
92;5,4
93;5,4
94;5,0
95;5,5
96;5,0
97;5,3
98;5,4
99;5,4
100;5,4
101;5,2
102;5,3
103;5,4
104;5,4
105;5,3
106;5,2
107;5,5
108;5,5
109;5,3
110;5,4
111;5,5
112;5,5
113;5,5
114;5,5
115;5,3
116;5,3
117;5,2
118;5,5
119;5,5
120;5,1
121;5,3
122;5,4
123;5,4
124;5,4
125;5,4
126;5,5
127;5,3
128;5,5
129;5,3
130;5,5
131;5,5
132;5,5
133;5,4
134;5,3
135;5,4
136;5,4
137;5,1
138;5,5
139;5,5
140;5,3
141;5,4
142;5,5
143;5,3
144;5,4
145;5,5
146;5,4
147;5,3
148;5,2
149;5,5
150;5,3
151;5,3
152;5,3
153;5,4
154;5,4
155;5,5
156;5,3
157;5,3
158;5,4
159;5,5
160;5,3
161;5,3
162;5,5
163;5,2
164;5,5
165;5,4
166;5,3
167;5,3
168;5,5
169;5,5
170;5,2
171;5,3
172;5,5
173;5,1
174;5,4
175;5,5
176;5,3
177;5,5
178;5,2
179;5,5
180;5,2
181;5,0
182;5,5
183;5,5
184;5,2
185;5,5
186;5,4
187;5,5
188;5,2
189;5,5
190;5,4
191;5,5
192;5,5
193;5,3
194;5,5
195;5,3
196;5,5
197;5,5
198;5,5
199;5,1
200;5,5
201;5,3
202;5,5
203;5,5
204;5,4
205;5,5
206;5,5
207;5,5
208;5,5
209;5,4
210;5,4
211;5,2
212;5,1
213;5,5
214;5,5
215;5,4
216;5,4
217;5,3
218;5,3
219;5,5
220;5,2
221;5,3
222;5,4
223;5,3
224;5,2
225;5,3
226;5,5
227;5,3
228;5,5
229;5,4
230;5,5
231;5,5
232;5,3
233;5,3
234;5,5
235;5,5
236;5,4
237;5,5
238;5,3
239;5,3
240;5,2
241;5,3
242;5,5
243;5,4
244;5,4
245;5,3
246;5,2
247;5,5
248;5,4
249;5,5
250;5,4
251;5,3
252;4,9
253;5,5
254;5,5
255;5,4
256;5,4
257;5,5
258;5,5
259;5,3
260;5,5
261;5,3
262;5,5
263;5,5
264;5,3
265;5,2
266;5,5
267;5,4
268;5,5
269;5,4
270;5,3
271;5,5
272;5,5
273;5,4
274;5,5
275;5,4
276;5,3
277;5,4
278;5,2
279;5,3
280;5,5
281;5,5
282;5,4
283;5,5
284;5,5
285;5,2
286;5,5
287;5,5
288;5,4
289;5,4
290;5,4
291;5,2
292;5,4
293;5,5
294;5,2
295;5,3
296;5,5
297;5,4
298;5,5
299;5,2
300;5,1
301;5,3
302;5,3
303;5,4
304;5,5
305;5,5
306;5,5
307;5,2
308;5,5
309;5,1
310;5,4
311;5,5
312;5,5
313;5,5
314;5,5
315;5,3
316;5,3
317;5,3
318;5,5
319;5,3
320;5,5
321;5,4
322;5,4
323;5,4
324;5,4
325;5,3
326;5,5
327;5,3
328;5,5
329;5,2
330;5,4
331;5,5
332;5,5
333;5,5
334;5,5
335;5,3
336;5,5
337;5,2
338;5,3
339;5,5
340;5,4
341;5,4
342;5,4
343;5,5
344;5,5
345;5,1
346;5,4
347;5,5
348;5,1
349;5,5
350;5,0
351;5,3
352;5,5
353;5,5
354;5,5
355;5,5
356;5,4
357;5,5
358;5,2
359;5,5
360;5,3
361;5,5
362;5,2
363;5,4
364;5,3
365;5,3
366;5,4
367;5,4
368;5,5
369;5,3
370;5,4
371;5,2
372;5,3
373;5,3
374;5,5
375;5,5
376;5,3
377;5,5
378;5,5
379;5,2
380;5,4
381;5,5
382;5,3
383;5,5
384;5,4
385;5,5
386;5,1
387;5,5
388;5,3
389;5,1
390;5,3
391;5,3
392;5,4
393;5,4
394;5,4
395;5,5
396;5,2
397;5,3
398;5,2
399;5,4
400;5,4
401;5,5
402;5,5
403;5,2
404;5,4
405;5,5
406;5,2
407;5,4
408;5,3
409;5,5
410;5,4
411;5,2
412;5,4
413;5,5
414;5,5
415;5,4
416;5,1
417;5,4
418;5,5
419;5,5
420;5,3
421;5,3
422;5,3
423;5,2
424;5,4
425;5,5
426;5,5
427;5,4
428;5,4
429;5,3
430;5,3
431;5,4
432;5,5
433;5,4
434;5,5
435;5,4
436;5,5
437;5,3
438;5,5
439;5,2
440;5,5
441;5,4
442;5,5
443;5,3
444;5,2
445;5,2
446;5,1
447;5,4
448;5,1
449;5,3
450;5,4
451;5,2
452;5,4
453;5,5
454;5,2
455;5,2
456;5,2
457;5,4
458;5,4
459;5,5
460;5,4
461;5,5
462;5,3
463;5,5
464;5,5
465;5,5
466;5,3
467;5,2
468;5,5
469;5,5
470;5,2
471;5,4
472;5,4
473;5,5
474;5,5
475;5,3
476;5,3
477;5,1
478;5,4
479;5,3
480;5,5
481;5,4
482;5,4
483;5,1
484;5,5
485;5,4
486;5,4
487;5,2
488;5,3
489;5,3
490;5,4
491;5,5
492;5,5
493;5,4
494;5,3
495;5,3
496;5,5
497;5,5
498;5,5
499;5,5
500;5,5
501;5,4
502;5,4
503;5,4
504;5,3
505;5,3
506;5,4
507;5,4
508;5,3
509;5,5
510;5,3
511;5,5
512;5,2
513;5,5
514;5,5
515;5,3
516;5,4
517;5,4
518;4,8
519;5,2
520;5,3
521;5,5
522;5,4
523;5,2
524;5,4
525;5,0
526;5,4
527;5,4
528;5,4
529;5,5
530;5,3
531;5,2
532;5,4
533;5,5
534;5,4
535;5,3
536;5,2
537;5,2
538;5,5
539;5,5
540;5,5
541;5,4
542;5,5
543;5,4
544;5,2
545;5,1
546;5,2
547;5,5
548;5,5
549;5,5
550;5,4
551;5,3
552;5,4
553;5,1
554;5,3
555;5,4
556;5,5
557;5,4
558;5,3
559;5,5
560;5,3
561;5,5
562;5,2
563;5,5
564;5,4
565;5,3
566;5,5
567;5,3
568;5,5
569;5,2
570;5,2
571;5,5
572;5,5
573;5,4
574;5,5
575;5,2
576;5,2
577;5,4
578;5,4
579;5,3
580;5,5
581;5,2
582;5,5
583;5,5
584;5,4
585;5,5
586;5,3
587;5,3
588;5,5
589;5,5
590;5,4
591;5,5
592;5,4
593;5,3
594;5,5
595;5,2
596;5,4
597;5,4
598;5,5
599;5,4
600;5,4
601;5,2
602;5,4
603;5,2
604;5,3
605;5,3
606;5,4
607;5,3
608;5,4
609;5,5
610;5,3
611;5,5
612;5,2
613;5,4
614;5,2
615;5,5
616;5,3
617;5,5
618;5,4
619;5,5
620;5,5
621;5,5
622;5,5
623;5,5
624;5,1
625;4,2
626;2,9
627;3,0
628;3,1
629;2,9
630;2,9
631;3,0
632;2,9
633;3,0
634;2,9
635;2,9
636;2,9
637;2,9
638;3,1
639;2,9
640;2,9
641;2,9
642;3,0
643;2,9
