time;watts
0;2,9
1;2,9
2;2,9
3;3,0
4;2,9
5;2,9
6;3,0
7;2,9
8;2,9
9;2,9
10;2,9
11;3,0
12;3,0
13;2,9
14;2,9
15;2,9
16;2,9
17;3,9
18;3,9
19;4,8
20;4,8
21;4,5
22;5,0
23;5,1
24;4,7
25;4,8
26;5,0
27;4,9
28;4,4
29;4,5
30;4,7
31;4,5
32;4,9
33;4,7
34;4,4
35;4,6
36;4,4
37;4,5
38;4,5
39;4,6
40;4,8
41;4,7
42;4,7
43;4,8
44;4,7
45;4,8
46;4,7
47;4,9
48;4,6
49;4,8
50;4,7
51;4,8
52;4,9
53;4,6
54;4,6
55;4,6
56;4,7
57;4,6
58;4,3
59;5,1
60;4,6
61;4,5
62;4,6
63;4,4
64;4,7
65;4,6
66;4,9
67;4,7
68;4,7
69;4,8
70;5,0
71;4,6
72;4,6
73;4,9
74;4,4
75;4,9
76;4,6
77;4,7
78;4,7
79;4,9
80;4,7
81;4,9
82;4,8
83;4,6
84;4,8
85;5,3
86;4,6
87;4,7
88;4,8
89;4,7
90;4,5
91;4,5
92;4,6
93;4,7
94;4,3
95;5,1
96;4,3
97;4,6
98;4,7
99;4,7
100;4,7
101;4,4
102;4,6
103;4,7
104;4,6
105;4,6
106;4,5
107;4,8
108;5,0
109;4,6
110;4,7
111;4,9
112;4,9
113;5,1
114;4,8
115;4,6
116;4,5
117;4,5
118;4,9
119;4,9
120;4,4
121;4,6
122;4,7
123;4,7
124;4,7
125;4,7
126;5,0
127;4,5
128;4,8
129;4,6
130;5,0
131;4,8
132;4,8
133;4,7
134;4,6
135;4,7
136;4,7
137;4,4
138;4,8
139;4,8
140;4,6
141;4,7
142;4,8
143;4,6
144;4,8
145;4,9
146;4,7
147;4,6
148;4,5
149;5,2
150;4,6
151;4,5
152;4,6
153;4,7
154;4,7
155;4,9
156;4,6
157;4,6
158;4,7
159;4,8
160;4,6
161;4,6
162;5,0
163;4,5
164;4,8
165;4,8
166;4,6
167;4,6
168;5,0
169;5,0
170;4,5
171;4,6
172;4,8
173;4,4
174;4,7
175;4,8
176;4,5
177;4,8
178;4,4
179;4,8
180;4,5
181;4,3
182;4,8
183;4,8
184;4,5
185;5,0
186;4,7
187;4,8
188;4,5
189;4,8
190;4,7
191;4,8
192;4,9
193;4,6
194;4,8
195;4,5
196;5,3
197;4,9
198;4,9
199;4,3
200;5,0
201;4,5
202;4,8
203;4,9
204;4,7
205;4,9
206;4,9
207;4,8
208;4,8
209;4,7
210;4,7
211;4,5
212;4,3
213;4,9
214;4,9
215;4,7
216;4,7
217;4,6
218;4,6
219;5,1
220;4,5
221;4,6
222;4,7
223;4,6
224;4,5
225;4,6
226;4,8
227;4,6
228;4,8
229;4,7
230;4,8
231;4,9
232;4,6
233;4,6
234;5,0
235;5,0
236;4,7
237;4,9
238;4,6
239;4,6
240;4,5
241;4,6
242;4,8
243;4,7
244;4,7
245;4,6
246;4,5
247;4,9
248;4,7
249;4,8
250;4,7
251;4,6
252;4,3
253;4,9
254;4,8
255;4,7
256;4,7
257;4,8
258;5,0
259;4,6
260;4,8
261;4,6
262;4,9
263;5,0
264;4,6
265;4,5
266;5,0
267;4,7
268;5,0
269;4,7
270;4,6
271;5,0
272;4,8
273;4,7
274;4,8
275;4,8
276;4,6
277;4,7
278;4,5
279;4,5
280;4,8
281;4,9
282;4,7
283;4,9
284;5,0
285;4,5
286;4,9
287;4,8
288;4,7
289;4,7
290;4,7
291;4,4
292;4,7
293;5,0
294;4,5
295;4,6
296;4,8
297;4,7
298;5,0
299;4,4
300;4,4
301;4,6
302;4,6
303;4,7
304;4,8
305;4,8
306;5,0
307;4,5
308;4,9
309;4,4
310;4,7
311;4,8
312;4,9
313;4,9
314;4,8
315;4,6
316;4,6
317;4,6
318;5,0
319;4,5
320;5,0
321;4,7
322;4,7
323;4,7
324;4,7
325;4,5
326;5,0
327;4,6
328;4,9
329;4,5
330;4,7
331;5,0
332;5,0
333;4,9
334;4,8
335;4,6
336;4,8
337;4,5
338;4,6
339;5,0
340;4,7
341;4,7
342;4,8
343;4,8
344;5,0
345;4,4
346;4,7
347;5,0
348;4,3
349;5,0
350;4,3
351;4,6
352;5,1
353;5,0
354;4,9
355;5,1
356;4,7
357;4,8
358;4,4
359;4,8
360;4,6
361;4,9
362;4,5
363;4,7
364;4,6
365;4,6
366;4,7
367;4,7
368;4,9
369;4,6
370;4,6
371;4,4
372;4,6
373;4,6
374;4,9
375;4,8
376;4,6
377;4,8
378;4,9
379;4,5
380;4,7
381;4,8
382;4,5
383;4,8
384;4,7
385;4,8
386;4,3
387;4,9
388;4,5
389;4,4
390;4,6
391;4,6
392;4,7
393;4,7
394;4,7
395;4,9
396;4,5
397;4,6
398;4,5
399;4,7
400;4,7
401;4,9
402;5,0
403;4,5
404;4,7
405;4,8
406;4,4
407;4,7
408;4,5
409;5,0
410;4,7
411;4,4
412;4,7
413;4,8
414;4,8
415;4,7
416;4,4
417;4,8
418;4,9
419;4,8
420;4,6
421;4,6
422;4,6
423;4,5
424;4,7
425;5,0
426;5,0
427;4,7
428;4,7
429;4,6
430;4,6
431;4,8
432;4,9
433;4,6
434;4,8
435;4,7
436;4,8
437;4,5
438;4,8
439;4,4
440;4,9
441;4,7
442;5,1
443;4,6
444;4,5
445;4,5
446;4,4
447;4,7
448;4,3
449;4,6
450;4,7
451;4,5
452;4,7
453;4,8
454;4,5
455;4,5
456;4,5
457;4,7
458;4,7
459;4,8
460;4,7
461;4,8
462;4,6
463;4,9
464;4,8
465;4,8
466;4,6
467;4,4
468;4,9
469;4,8
470;4,5
471;4,7
472;4,7
473;4,9
474;4,9
475;4,6
476;4,6
477;4,4
478;4,7
479;4,5
480;4,9
481;4,7
482;4,7
483;4,4
484;4,9
485;4,6
486;4,7
487;4,5
488;4,6
489;4,6
490;4,7
491;4,9
492;4,9
493;4,7
494;4,6
495;4,5
496;4,8
497;4,9
498;4,9
499;4,9
500;4,9
501;4,7
502;4,7
503;4,7
504;4,6
505;4,6
506;4,6
507;4,7
508;4,6
509;4,8
510;4,6
511;5,0
512;4,5
513;4,9
514;4,8
515;4,6
516;4,7
517;4,7
518;4,3
519;4,5
520;4,5
521;4,9
522;4,8
523;4,4
524;4,7
525;4,3
526;4,7
527;4,7
528;4,8
529;4,8
530;4,6
531;4,5
532;4,8
533;5,0
534;4,7
535;4,6
536;4,5
537;4,5
538;4,9
539;4,9
540;4,8
541;4,7
542;4,9
543;4,7
544;4,5
545;4,3
546;4,5
547;4,9
548;4,9
549;4,8
550;4,6
551;4,6
552;4,7
553;4,4
554;4,6
555;4,6
556;5,0
557;4,7
558;4,6
559;4,9
560;4,6
561;4,9
562;4,5
563;5,0
564;4,7
565;4,6
566;4,9
567;4,6
568;4,8
569;4,5
570;4,4
571;4,8
572;4,8
573;4,7
574;4,8
575;4,5
576;4,5
577;4,7
578;4,7
579;4,6
580;4,9
581;4,4
582;5,0
583;4,9
584;4,7
585;4,9
586;4,6
587;4,6
588;5,0
589;4,8
590;4,8
591;4,8
592;4,7
593;4,5
594;4,9
595;4,5
596;4,7
597;4,7
598;4,8
599;4,7
600;4,7
601;4,5
602;4,7
603;4,4
604;4,6
605;4,5
606;4,7
607;4,6
608;4,7
609;5,0
610;4,6
611;4,9
612;4,5
613;4,7
614;4,4
615;4,8
616;4,6
617;4,9
618;4,7
619;4,8
620;4,8
621;4,8
622;4,9
623;4,9
624;4,7
625;4,6
626;4,7
627;4,9
628;4,6
629;4,3
630;4,6
631;4,7
632;4,8
633;4,8
634;4,7
635;4,8
636;4,9
637;4,7
638;4,6
639;5,2
640;4,4
641;4,6
642;5,0
643;5,0
644;4,3
645;4,7
646;4,5
647;4,6
648;4,6
649;4,7
650;5,1
651;4,8
652;4,4
653;4,7
654;4,6
655;4,7
656;4,7
657;4,7
658;4,8
659;4,9
660;4,5
661;5,2
662;4,9
663;4,9
664;4,5
665;4,5
666;4,7
667;4,9
668;4,5
669;4,8
670;5,0
671;4,3
672;4,6
673;4,9
674;4,5
675;4,5
676;4,8
677;4,7
678;4,8
679;5,0
680;4,8
681;4,8
682;4,7
683;4,7
684;4,5
685;4,8
686;4,7
687;4,8
688;4,6
689;4,4
690;4,4
691;4,8
692;5,0
693;4,6
694;4,5
695;4,5
696;4,9
697;4,6
698;4,5
699;4,6
700;5,0
701;4,5
702;4,8
703;4,7
704;4,6
705;5,0
706;4,6
707;4,6
708;4,9
709;4,9
710;4,6
711;4,3
712;4,5
713;4,7
714;4,7
715;4,7
716;4,6
717;4,8
718;4,7
719;4,8
720;5,0
721;4,6
722;4,3
723;4,5
724;5,0
725;4,7
726;4,7
727;4,8
728;4,7
729;4,5
730;4,5
731;4,4
732;4,8
733;4,9
734;4,7
735;3,8
736;2,9
737;2,9
738;2,9
739;2,9
740;2,9
741;3,0
742;2,9
743;3,0
744;3,0
745;2,9
746;2,9
747;2,9
748;2,9
749;3,0
750;2,9
751;3,0
752;3,0
753;2,9
