time;watts
0;3,0
1;3,0
2;3,0
3;3,0
4;3,0
5;2,9
6;3,0
7;3,0
8;3,0
9;3,0
10;3,0
11;3,0
12;3,0
13;3,0
14;2,9
15;2,9
16;3,0
17;4,1
18;4,1
19;5,1
20;5,1
21;4,8
22;5,2
23;5,4
24;5,0
25;5,1
26;5,3
27;5,2
28;4,7
29;4,8
30;5,0
31;4,8
32;5,2
33;5,0
34;4,7
35;4,9
36;4,7
37;4,8
38;4,8
39;4,9
40;5,1
41;5,0
42;5,0
43;5,1
44;5,0
45;5,1
46;5,0
47;5,2
48;4,9
49;5,1
50;5,0
51;5,1
52;5,2
53;4,9
54;4,9
55;4,9
56;5,0
57;4,9
58;4,6
59;5,4
60;4,9
61;4,8
62;4,9
63;4,7
64;5,0
65;4,9
66;5,2
67;5,0
68;5,0
69;5,1
70;5,3
71;4,9
72;4,9
73;5,2
74;4,7
75;5,2
76;4,9
77;5,0
78;5,0
79;5,2
80;5,0
81;5,2
82;5,1
83;4,9
84;5,1
85;5,6
86;4,9
87;5,0
88;5,1
89;5,0
90;4,8
91;4,8
92;4,9
93;5,0
94;4,6
95;5,4
96;4,5
97;4,9
98;5,0
99;5,0
100;5,0
101;4,7
102;4,9
103;5,0
104;4,9
105;4,9
106;4,8
107;5,1
108;5,3
109;4,9
110;5,0
111;5,2
112;5,2
113;5,4
114;5,1
115;4,9
116;4,8
117;4,8
118;5,2
119;5,2
120;4,7
121;4,9
122;5,0
123;5,0
124;5,0
125;5,0
126;5,3
127;4,8
128;5,1
129;4,9
130;5,3
131;5,1
132;5,1
133;5,0
134;4,9
135;5,0
136;5,0
137;4,7
138;5,1
139;5,1
140;4,9
141;5,0
142;5,1
143;4,9
144;5,1
145;5,2
146;5,0
147;4,9
148;4,8
149;5,5
150;4,9
151;4,8
152;4,9
153;5,0
154;5,0
155;5,2
156;4,9
157;4,9
158;5,0
159;5,1
160;4,9
161;4,9
162;5,3
163;4,8
164;5,1
165;5,1
166;4,9
167;4,9
168;5,3
169;5,3
170;4,8
171;4,9
172;5,1
173;4,7
174;5,0
175;5,1
176;4,8
177;5,1
178;4,7
179;5,1
180;4,8
181;4,6
182;5,1
183;5,1
184;4,8
185;5,3
186;5,0
187;5,1
188;4,8
189;5,1
190;5,0
191;5,1
192;5,2
193;4,9
194;5,1
195;4,8
196;5,6
197;5,2
198;5,2
199;4,6
200;5,3
201;4,8
202;5,1
203;5,2
204;5,0
205;5,2
206;5,2
207;5,1
208;5,1
209;5,0
210;5,0
211;4,8
212;4,6
213;5,2
214;5,2
215;5,0
216;5,0
217;4,9
218;4,9
219;5,4
220;4,8
221;4,9
222;5,0
223;4,9
224;4,8
225;4,9
226;5,1
227;4,9
228;5,1
229;5,0
230;5,1
231;5,2
232;4,9
233;4,9
234;5,3
235;5,3
236;5,0
237;5,2
238;4,9
239;4,9
240;4,8
241;4,9
242;5,1
243;5,0
244;5,0
245;4,9
246;4,8
247;5,2
248;5,0
249;5,1
250;5,0
251;4,9
252;4,4
253;5,2
254;5,1
255;5,0
256;5,0
257;5,1
258;5,3
259;4,9
260;5,1
261;4,9
262;5,2
263;5,3
264;4,9
265;4,8
266;5,3
267;5,0
268;5,3
269;5,0
270;4,9
271;5,2
272;5,1
273;5,0
274;5,1
275;5,1
276;4,9
277;5,0
278;4,8
279;4,8
280;5,1
281;5,2
282;5,0
283;5,2
284;5,3
285;4,8
286;5,2
287;5,1
288;5,0
289;5,0
290;5,0
291;4,8
292;5,0
293;5,3
294;4,8
295;4,9
296;5,1
297;5,0
298;5,3
299;4,7
300;4,7
301;4,9
302;4,9
303;5,0
304;5,1
305;5,1
306;5,3
307;4,8
308;5,2
309;4,7
310;5,0
311;5,1
312;5,2
313;5,2
314;5,1
315;4,9
316;4,9
317;4,9
318;5,3
319;4,8
320;5,3
321;5,0
322;5,0
323;5,0
324;5,0
325;4,8
326;5,3
327;4,9
328;5,2
329;4,8
330;5,0
331;5,3
332;5,3
333;5,2
334;5,1
335;4,9
336;5,1
337;4,8
338;4,9
339;5,3
340;5,0
341;5,0
342;5,1
343;5,1
344;5,3
345;4,7
346;5,0
347;5,2
348;4,6
349;5,3
350;4,6
351;4,9
352;5,3
353;5,3
354;5,2
355;5,4
356;5,0
357;5,1
358;4,7
359;5,1
360;4,9
361;5,2
362;4,8
363;5,0
364;4,9
365;4,9
366;5,0
367;5,0
368;5,2
369;4,9
370;4,9
371;4,7
372;4,9
373;4,9
374;5,2
375;5,1
376;4,9
377;5,1
378;5,2
379;4,8
380;5,0
381;5,1
382;4,9
383;5,1
384;5,0
385;5,1
386;4,6
387;5,2
388;4,8
389;4,7
390;4,9
391;4,9
392;5,0
393;5,0
394;5,0
395;5,2
396;4,8
397;4,9
398;4,8
399;5,0
400;5,0
401;5,2
402;5,3
403;4,8
404;5,0
405;5,1
406;4,8
407;5,0
408;4,8
409;5,3
410;5,0
411;4,7
412;5,0
413;5,1
414;5,1
415;5,0
416;4,7
417;5,1
418;5,2
419;5,1
420;4,9
421;4,9
422;4,9
423;4,8
424;5,0
425;5,3
426;5,3
427;5,0
428;5,0
429;4,9
430;4,9
431;5,0
432;5,2
433;4,9
434;5,1
435;5,0
436;5,1
437;4,8
438;5,1
439;4,8
440;5,2
441;5,0
442;5,4
443;4,9
444;4,8
445;4,8
446;4,7
447;5,0
448;4,6
449;4,9
450;5,0
451;4,8
452;5,0
453;5,1
454;4,8
455;4,8
456;4,8
457;5,0
458;5,0
459;5,1
460;5,0
461;5,1
462;4,9
463;5,2
464;5,1
465;5,1
466;4,9
467;4,7
468;5,2
469;5,1
470;4,8
471;5,0
472;5,0
473;5,2
474;5,2
475;4,9
476;4,9
477;4,7
478;5,0
479;4,8
480;5,2
481;5,0
482;5,0
483;4,7
484;5,2
485;4,9
486;5,0
487;4,8
488;4,9
489;4,9
490;5,0
491;5,2
492;5,2
493;5,0
494;4,9
495;4,8
496;5,1
497;5,2
498;5,2
499;5,2
500;5,2
501;5,0
502;5,0
503;5,0
504;4,9
505;4,9
506;4,9
507;5,0
508;4,9
509;5,1
510;4,9
511;5,3
512;4,8
513;5,2
514;5,1
515;4,9
516;5,0
517;5,0
518;4,4
519;4,8
520;4,9
521;5,2
522;5,0
523;4,7
524;5,0
525;4,6
526;5,0
527;5,0
528;5,1
529;5,1
530;4,9
531;4,8
532;5,1
533;5,3
534;5,0
535;4,9
536;4,8
537;4,8
538;5,2
539;5,2
540;5,1
541;5,0
542;5,2
543;5,0
544;4,8
545;4,6
546;4,8
547;5,2
548;5,2
549;5,1
550;4,9
551;4,9
