time;watts
0;27,4
1;27,3
2;27,4
3;28,1
4;27,4
5;26,9
6;27,8
7;27,3
8;27,3
9;27,6
10;27,7
11;28,5
12;28,1
13;27,6
14;26,9
15;26,9
16;27,7
17;46,8
18;47,0
19;66,0
20;66,0
21;64,2
22;66,9
23;67,1
24;64,9
25;65,6
26;67,1
27;66,5
28;63,8
29;63,9
30;65,0
31;63,8
32;66,3
33;65,0
34;63,8
35;64,5
36;63,8
37;63,8
38;63,8
39;64,3
40;66,0
41;65,4
42;65,1
43;65,7
44;65,3
45;65,7
46;64,9
47;66,9
48;64,5
49;66,1
50;65,4
51;66,1
52;66,8
53;64,5
54;64,6
55;64,7
56;65,1
57;64,5
58;63,8
59;67,1
60;64,2
61;64,0
62;64,3
63;63,8
64;65,3
65;64,4
66;66,2
67;65,4
68;65,1
69;66,0
70;67,1
71;64,4
72;64,5
73;66,8
74;63,8
75;66,8
76;64,3
77;65,4
78;65,2
79;66,7
80;65,1
81;66,8
82;66,2
83;64,5
84;66,0
85;67,1
86;64,7
87;65,2
88;65,7
89;65,4
90;63,8
91;63,8
92;64,8
93;65,4
94;63,8
95;67,1
96;63,8
97;64,6
98;65,3
99;65,1
100;64,9
101;63,8
102;64,3
103;65,0
104;64,8
105;64,8
106;64,0
107;65,7
108;67,1
109;64,5
110;65,1
111;66,6
112;66,3
113;67,1
114;65,9
115;64,5
116;64,2
117;64,0
118;66,3
119;66,8
120;63,8
121;64,7
122;65,2
123;65,2
124;65,1
125;65,4
126;67,1
127;64,2
128;65,7
129;64,3
130;67,1
131;66,1
132;65,7
133;65,0
134;64,8
135;65,2
136;65,3
137;63,8
138;66,1
139;66,2
140;64,3
141;64,9
142;66,1
143;64,3
144;65,5
145;66,6
146;65,1
147;64,4
148;63,8
149;67,1
150;64,5
151;64,2
152;64,6
153;65,1
154;65,4
155;66,3
156;64,5
157;64,8
158;65,3
159;65,6
160;64,6
161;64,6
162;67,1
163;63,9
164;66,0
165;65,6
166;64,8
167;64,5
168;67,1
169;67,1
170;64,0
171;64,6
172;65,7
173;63,8
174;65,4
175;65,7
176;64,1
177;65,7
178;63,8
179;65,6
180;63,8
181;63,8
182;66,2
183;65,9
184;64,0
185;67,1
186;65,2
187;66,0
188;64,0
189;65,6
190;65,0
191;66,1
192;66,3
193;64,6
194;66,2
195;64,1
196;67,1
197;66,6
198;66,8
199;63,8
200;67,1
201;64,2
202;65,9
203;66,4
204;65,5
205;66,4
206;66,3
207;65,6
208;66,1
209;65,1
210;65,5
211;63,9
212;63,8
213;66,6
214;66,7
215;65,2
216;65,1
217;64,5
218;64,3
219;67,1
220;63,9
221;64,5
222;65,2
223;64,8
224;64,0
225;64,5
226;65,6
227;64,6
228;65,7
229;65,1
230;65,8
231;66,7
232;64,8
233;64,4
234;67,0
235;66,9
236;65,2
237;66,8
238;64,3
239;64,4
240;64,0
241;64,5
242;65,9
243;64,9
244;65,0
245;64,3
246;63,8
247;66,3
248;64,9
249;66,2
250;65,2
251;64,7
252;63,8
253;66,3
254;65,7
255;65,2
256;65,4
257;66,1
258;67,1
259;64,2
260;66,0
261;64,4
262;66,4
263;67,1
264;64,7
265;63,8
266;66,9
267;65,1
268;67,1
269;65,3
270;64,7
271;66,9
272;65,8
273;65,0
274;65,6
275;65,6
276;64,3
277;64,9
278;63,8
279;64,1
280;65,7
281;66,8
282;65,1
283;66,6
284;67,1
285;63,9
286;66,2
287;65,9
288;65,2
289;65,3
290;65,4
291;63,8
292;65,1
293;67,1
294;64,0
295;64,8
296;65,7
297;65,2
298;67,1
299;63,8
300;63,8
301;64,6
302;64,6
303;64,9
304;65,9
305;65,9
306;66,9
307;64,0
308;66,8
309;63,8
310;65,4
311;66,1
312;66,8
313;66,4
314;66,1
315;64,4
316;64,7
317;64,7
318;67,1
319;64,2
320;67,1
321;64,9
322;65,4
323;65,0
324;65,1
325;64,1
326;67,1
327;64,3
328;66,6
329;63,8
330;65,0
331;67,1
332;67,1
333;66,7
334;65,7
335;64,6
336;65,7
337;64,0
338;64,5
339;67,1
340;65,2
341;65,5
342;65,6
343;66,2
344;67,1
345;63,8
346;64,9
347;66,9
348;63,8
349;67,1
350;63,8
351;64,6
352;67,1
353;67,1
354;66,5
355;67,1
356;65,1
357;65,8
358;63,8
359;66,0
360;64,6
361;66,7
362;64,0
363;65,1
364;64,4
365;64,8
366;65,2
367;65,1
368;66,5
369;64,5
370;64,8
371;63,8
372;64,7
373;64,2
374;66,8
375;65,9
376;64,7
377;66,1
378;66,3
379;63,8
380;64,9
381;66,2
382;64,2
383;65,9
384;65,0
385;65,8
386;63,8
387;66,5
388;64,1
389;63,8
390;64,5
391;64,5
392;65,2
393;65,2
394;64,9
395;66,4
396;63,8
397;64,4
398;64,0
399;65,5
400;65,5
401;66,5
402;66,9
403;64,0
404;65,4
405;65,6
406;63,8
407;65,0
408;64,1
409;67,1
410;65,2
411;63,8
412;65,3
413;66,0
414;66,1
415;65,3
416;63,8
417;65,6
418;66,3
419;65,7
420;64,7
421;64,6
422;64,7
423;63,9
424;65,3
425;66,9
426;67,1
427;65,3
428;65,3
429;64,6
430;64,5
431;65,5
432;66,6
433;64,8
434;66,0
435;65,5
436;66,0
437;64,1
438;65,8
439;63,8
440;66,8
441;65,1
442;67,1
443;64,4
444;63,8
445;64,0
446;63,8
447;65,1
448;63,8
449;64,5
450;65,1
451;63,9
452;65,1
453;66,1
454;63,9
455;63,8
456;63,8
457;65,0
458;65,1
459;65,7
460;65,0
461;66,1
462;64,6
463;66,5
464;65,8
465;65,9
466;64,6
467;63,8
468;66,3
469;65,7
470;64,0
471;64,9
472;65,5
473;66,4
474;66,5
475;64,3
476;64,4
477;63,8
478;65,3
479;64,1
480;66,3
481;65,2
482;65,3
483;63,8
484;66,4
485;64,8
486;65,2
487;63,8
488;64,5
489;64,7
490;65,4
491;66,4
492;66,3
493;65,4
494;64,7
495;64,1
496;65,9
497;66,3
498;66,3
499;66,4
500;66,4
501;65,4
502;64,9
503;65,1
504;64,8
505;64,7
506;64,8
507;65,3
508;64,6
509;65,8
510;64,3
511;67,0
512;63,8
513;66,6
514;65,6
515;64,4
