time;watts
0;25,3
1;25,3
2;25,3
3;25,9
4;25,3
5;24,6
6;25,6
7;25,2
8;25,2
9;25,5
10;25,6
11;26,3
12;25,9
13;25,5
14;24,9
15;24,6
16;25,6
17;42,5
18;42,6
19;59,4
20;59,4
21;58,7
22;59,7
23;60,0
24;59,0
25;59,3
26;59,8
27;59,6
28;58,5
29;58,6
30;59,0
31;58,6
32;59,5
33;59,0
34;58,3
35;58,8
36;58,5
37;58,5
38;58,5
39;58,8
40;59,4
41;59,2
42;59,1
43;59,3
44;59,1
45;59,3
46;59,0
47;59,7
48;58,8
49;59,4
50;59,2
51;59,4
52;59,7
53;58,9
54;58,9
55;58,9
56;59,1
57;58,8
58;58,2
59;60,0
60;58,8
61;58,7
62;58,8
63;58,3
64;59,2
65;58,8
66;59,5
67;59,2
68;59,1
69;59,4
70;59,9
71;58,8
72;58,9
73;59,7
74;58,3
75;59,7
76;58,8
77;59,2
78;59,1
79;59,7
80;59,1
81;59,7
82;59,4
83;58,8
84;59,4
85;60,6
86;58,9
87;59,1
88;59,3
89;59,2
90;58,6
91;58,6
92;59,0
93;59,2
94;58,0
95;60,1
96;58,0
97;58,9
98;59,1
99;59,0
100;59,0
101;58,5
102;58,8
103;59,0
104;59,0
105;58,9
106;58,7
107;59,3
108;59,9
109;58,8
110;59,1
111;59,6
112;59,5
113;60,0
114;59,3
115;58,8
116;58,7
117;58,6
118;59,5
119;59,7
120;58,4
121;58,9
122;59,1
123;59,1
124;59,1
125;59,2
126;59,9
127;58,7
128;59,3
129;58,8
130;59,9
131;59,4
132;59,3
133;59,0
134;58,9
135;59,1
136;59,1
137;58,4
138;59,4
139;59,5
140;58,8
141;59,0
142;59,4
143;58,8
144;59,2
145;59,6
146;59,1
147;58,8
148;58,6
149;60,4
150;58,8
151;58,7
152;58,9
153;59,1
154;59,2
155;59,5
156;58,8
157;58,9
158;59,1
159;59,3
160;58,9
161;58,9
162;59,8
163;58,6
164;59,4
165;59,2
166;59,0
167;58,8
168;59,8
169;59,8
170;58,7
171;58,9
172;59,3
173;58,3
174;59,2
175;59,3
176;58,7
177;59,3
178;58,4
179;59,2
180;58,5
181;58,0
182;59,5
183;59,4
184;58,6
185;59,8
186;59,1
187;59,4
188;58,7
189;59,2
190;59,0
191;59,4
192;59,5
193;58,9
194;59,5
195;58,7
196;60,7
197;59,6
198;59,7
199;58,1
200;59,8
201;58,7
202;59,3
203;59,5
204;59,2
205;59,5
206;59,5
207;59,3
208;59,4
209;59,1
210;59,2
211;58,6
212;58,1
213;59,6
214;59,6
215;59,1
216;59,1
217;58,9
218;58,8
219;60,2
220;58,6
221;58,8
222;59,1
223;59,0
224;58,7
225;58,8
226;59,3
227;58,9
228;59,3
229;59,1
230;59,3
231;59,6
232;59,0
233;58,8
234;59,8
235;59,7
236;59,1
237;59,7
238;58,8
239;58,8
240;58,6
241;58,8
242;59,4
243;59,0
244;59,0
245;58,8
246;58,6
247;59,5
248;59,0
249;59,5
250;59,1
251;58,9
252;57,6
253;59,5
254;59,3
255;59,1
256;59,2
257;59,4
258;59,9
259;58,7
260;59,4
261;58,8
262;59,5
263;59,8
264;58,9
265;58,5
266;59,7
267;59,0
268;59,9
269;59,1
270;58,9
271;59,7
272;59,3
273;59,0
274;59,3
275;59,2
276;58,8
277;59,0
278;58,6
279;58,7
280;59,3
281;59,7
282;59,1
283;59,6
284;59,8
285;58,6
286;59,5
287;59,3
288;59,1
