time;watts
0;27,8
1;27,8
2;27,8
3;28,4
4;27,8
5;26,9
6;28,1
7;27,7
8;27,7
9;28,0
10;28,1
11;28,7
12;28,4
13;28,0
14;27,4
15;27,2
16;28,1
17;47,6
18;47,7
19;67,1
20;67,1
21;64,8
22;67,1
23;67,1
24;65,8
25;66,8
26;67,1
27;67,1
28;64,8
29;64,8
30;65,9
31;64,8
32;67,1
33;65,9
34;64,8
35;65,2
36;64,8
37;64,8
38;64,8
39;65,0
40;67,1
41;66,5
42;66,0
43;66,9
44;66,3
45;67,0
46;65,8
47;67,1
48;65,1
49;67,1
50;66,5
51;67,1
52;67,1
53;65,3
54;65,4
55;65,5
56;66,1
57;65,2
58;64,8
59;67,1
60;64,8
61;64,8
62;64,9
63;64,8
64;66,4
65;65,0
66;67,1
67;66,5
68;66,1
69;67,1
70;67,1
71;65,0
72;65,2
73;67,1
74;64,8
75;67,1
76;64,9
77;66,5
78;66,2
79;67,1
80;66,0
81;67,1
82;67,1
83;65,2
84;67,1
85;67,1
86;65,5
87;66,2
88;67,0
89;66,4
90;64,8
91;64,8
92;65,7
93;66,5
94;64,8
95;67,1
96;64,8
97;65,4
98;66,4
99;66,0
100;65,7
101;64,8
102;64,9
103;65,9
104;65,7
105;65,6
106;64,8
107;66,9
108;67,1
109;65,2
110;66,0
111;67,1
112;67,1
113;67,1
114;67,1
115;65,2
116;64,8
117;64,8
118;67,1
119;67,1
120;64,8
121;65,5
122;66,1
123;66,2
124;66,1
125;66,5
126;67,1
127;64,8
128;66,9
129;64,9
130;67,1
131;67,1
132;66,9
133;66,0
134;65,6
135;66,3
136;66,4
137;64,8
138;67,1
139;67,1
140;64,9
141;65,8
142;67,1
143;64,9
144;66,7
145;67,1
146;66,1
147;65,1
148;64,8
149;67,1
150;65,1
151;64,8
152;65,4
153;66,1
154;66,4
155;67,1
156;65,2
157;65,6
158;66,3
159;66,8
160;65,4
161;65,3
162;67,1
163;64,8
164;67,1
165;66,7
166;65,6
167;65,2
168;67,1
169;67,1
170;64,8
171;65,4
172;66,9
173;64,8
174;66,5
175;66,9
176;64,8
177;66,9
178;64,8
179;66,8
180;64,8
181;64,8
182;67,1
183;67,1
184;64,8
185;67,1
186;66,2
187;67,1
188;64,8
189;66,8
190;66,0
191;67,1
192;67,1
193;65,4
194;67,1
195;64,8
196;67,1
197;67,1
198;67,1
199;64,8
200;67,1
201;64,8
202;67,1
203;67,1
204;66,6
205;67,1
206;67,1
207;66,8
208;67,1
209;66,1
210;66,6
211;64,8
212;64,8
213;67,1
214;67,1
215;66,1
216;66,0
217;65,2
218;64,9
219;67,1
220;64,8
221;65,2
222;66,2
223;65,6
224;64,8
225;65,2
226;66,8
227;65,4
228;66,9
229;66,0
230;67,1
231;67,1
232;65,6
233;65,1
234;67,1
235;67,1
236;66,3
237;67,1
238;64,9
239;65,0
240;64,8
241;65,2
242;67,1
243;65,7
244;65,9
245;65,0
246;64,8
247;67,1
248;65,7
249;67,1
250;66,2
251;65,5
252;64,8
253;67,1
254;66,9
255;66,2
256;66,5
257;67,1
258;67,1
259;64,8
260;67,1
261;65,1
262;67,1
263;67,1
264;65,5
265;64,8
266;67,1
267;66,0
268;67,1
269;66,4
270;65,4
271;67,1
272;67,0
273;65,9
274;66,8
275;66,7
276;64,9
277;65,8
278;64,8
279;64,8
