time;watts
0;26,6
1;26,6
2;26,7
3;27,0
4;26,6
5;26,1
6;26,8
7;26,6
8;26,6
9;26,7
10;26,8
11;27,1
12;27,0
13;26,7
14;26,4
15;26,3
16;26,8
17;54,9
18;55,2
19;83,2
20;83,2
21;80,9
22;84,3
23;85,1
24;81,9
25;82,8
26;84,6
27;83,9
28;80,0
29;80,5
30;82,0
31;80,4
32;83,6
33;82,0
34;79,5
35;81,3
36;80,0
37;80,2
38;80,1
39;81,1
40;83,2
41;82,5
42;82,1
43;82,8
44;82,3
45;82,9
46;81,8
47;84,3
48;81,2
49;83,3
50;82,5
51;83,3
52;84,2
53;81,4
54;81,5
55;81,6
56;82,1
57;81,3
58;78,9
59;85,1
60;81,0
61;80,7
62;81,0
63;79,6
64;82,4
65;81,1
66;83,5
67;82,5
68;82,1
69;83,2
70;85,1
71;81,1
72;81,3
73;84,2
74;79,6
75;84,2
76;81,1
77;82,5
78;82,2
79;84,1
80;82,0
81;84,2
82;83,4
83;81,3
84;83,2
85;85,1
86;81,5
87;82,2
88;82,9
89;82,4
90;80,3
91;80,3
92;81,7
93;82,5
94;78,8
95;85,1
96;78,8
97;81,5
98;82,3
99;82,0
100;81,8
101;80,0
102;81,0
103;81,9
104;81,7
105;81,6
106;80,7
107;82,9
108;85,1
109;81,3
110;82,1
111;84,0
112;83,6
113;85,1
114;83,1
115;81,3
116;80,9
117;80,6
118;83,7
119;84,3
120;79,7
121;81,6
122;82,2
123;82,2
124;82,1
125;82,5
126;85,0
127;80,9
128;82,8
129;81,1
130;85,1
131;83,3
132;82,8
133;82,0
134;81,6
135;82,2
136;82,4
137;79,6
138;83,4
139;83,4
140;81,1
141;81,8
142;83,3
143;81,1
144;82,6
145;84,0
146;82,1
147;81,2
148;80,3
149;85,1
150;81,3
151;80,9
152;81,4
153;82,1
154;82,4
155;83,5
156;81,3
157;81,6
158;82,3
159;82,8
160;81,5
161;81,4
162;84,7
163;80,5
164;83,2
165;82,7
166;81,7
167;81,3
168;84,6
169;84,8
170;80,7
171;81,5
172;82,8
173;79,5
174;82,4
175;82,8
176;80,8
177;82,9
178;79,8
179;82,7
180;80,2
181;78,8
182;83,4
183;83,1
184;80,6
185;84,7
186;82,2
187;83,2
188;80,7
189;82,7
190;82,0
191;83,3
192;83,6
193;81,4
194;83,4
195;80,7
196;85,1
197;84,0
198;84,2
199;78,8
200;84,8
201;80,9
202;83,1
203;83,7
204;82,5
205;83,7
206;83,6
207;82,7
208;83,4
209;82,1
210;82,6
211;80,6
212;78,9
213;84,0
214;84,1
215;82,1
216;82,0
217;81,3
218;81,1
219;85,1
220;80,6
221;81,3
222;82,2
223;81,7
224;80,7
225;81,3
226;82,7
227;81,5
228;82,8
229;82,1
230;83,0
231;84,1
232;81,7
233;81,2
234;84,5
235;84,4
236;82,2
237;84,2
238;81,1
239;81,1
240;80,6
241;81,3
242;83,1
243;81,8
244;82,0
245;81,1
246;80,4
247;83,6
248;81,8
249;83,4
250;82,2
251;81,6
252;78,8
253;83,6
254;82,8
255;82,2
256;82,5
257;83,3
258;85,0
259;80,9
260;83,2
261;81,2
262;83,8
263;84,6
264;81,6
265;80,2
266;84,4
267;82,0
268;85,0
269;82,3
270;81,5
271;84,3
272;82,9
273;81,9
274;82,7
275;82,7
276;81,1
277;81,8
278;80,3
279;80,7
280;82,8
281;84,2
282;82,0
283;83,9
284;84,6
285;80,6
286;83,5
287;83,1
288;82,2
289;82,3
290;82,5
291;80,1
292;82,0
293;84,7
294;80,7
295;81,7
296;82,8
297;82,2
298;84,6
299;80,0
300;79,5
301;81,4
302;81,5
303;81,8
304;83,1
305;83,1
306;84,4
307;80,6
308;84,3
309;79,7
310;82,5
311;83,3
312;84,3
313;83,8
314;83,3
315;81,2
316;81,6
317;81,6
318;84,9
319;80,9
320;84,9
321;81,8
322;82,4
323;82,0
324;82,1
325;80,9
326;84,6
327;81,1
328;84,0
329;80,1
330;81,9
331;84,8
332;84,6
333;84,1
334;82,9
335;81,4
336;82,9
337;80,7
338;81,3
339;84,7
340;82,2
341;82,5
342;82,7
343;83,5
344;84,8
345;79,3
346;81,8
347;84,3
348;78,8
349;84,7
350;78,8
351;81,4
352;85,1
353;84,8
354;83,9
355;85,1
356;82,1
357;82,9
358;80,0
359;83,2
360;81,4
361;84,1
362;80,7
363;82,1
364;81,2
365;81,7
366;82,2
367;82,1
368;83,9
369;81,4
370;81,7
371;79,8
372;81,5
373;80,9
374;84,2
375;83,1
376;81,6
377;83,3
378;83,6
379;80,2
380;81,8
381;83,4
382;80,9
383;83,0
384;82,0
385;83,0
386;79,1
387;83,9
388;80,8
389;79,3
390;81,3
391;81,4
392;82,2
393;82,2
394;81,8
395;83,7
396;80,3
397;81,1
398;80,6
399;82,6
400;82,6
401;83,9
402;84,4
403;80,6
404;82,5
405;82,8
406;80,1
407;82,0
408;80,8
409;84,6
410;82,2
411;80,0
412;82,4
413;83,2
414;83,3
415;82,4
416;79,3
417;82,7
418;83,6
419;82,9
420;81,5
421;81,5
422;81,6
423;80,5
424;82,3
425;84,4
426;84,7
427;82,3
428;82,3
429;81,5
430;81,4
431;82,6
432;83,9
433;81,7
434;83,3
435;82,6
436;83,2
437;80,8
438;82,9
439;80,1
440;84,2
441;82,0
442;85,1
443;81,2
444;80,4
445;80,6
446;79,4
447;82,1
448;79,1
449;81,3
450;82,1
451;80,5
452;82,1
453;83,3
454;80,5
455;80,3
456;80,1
457;81,9
458;82,1
459;82,8
460;81,9
461;83,4
462;81,4
463;83,9
464;82,9
465;83,0
466;81,4
467;80,0
468;83,6
