time;watts
0;25,4
1;25,3
2;25,4
3;25,6
4;25,4
5;25,0
6;25,5
7;25,3
8;25,3
9;25,4
10;25,5
11;25,7
12;25,6
13;25,4
14;25,2
15;25,1
16;25,5
17;50,4
18;50,6
19;75,4
20;75,4
21;74,8
22;75,4
23;75,4
24;74,9
25;75,4
26;75,4
27;75,4
28;74,8
29;74,8
30;75,0
31;74,8
32;75,4
33;75,0
34;74,8
35;74,8
36;74,8
37;74,8
38;74,8
39;74,8
40;75,4
41;75,3
42;75,0
43;75,4
44;75,1
45;75,4
46;74,9
47;75,4
48;74,8
49;75,4
50;75,3
51;75,4
52;75,4
53;74,8
54;74,8
55;74,8
56;75,0
57;74,8
58;74,8
59;75,4
60;74,8
61;74,8
62;74,8
63;74,8
64;75,2
65;74,8
66;75,4
67;75,2
68;75,0
69;75,4
70;75,4
71;74,8
72;74,8
73;75,4
74;74,8
75;75,4
76;74,8
77;75,3
78;75,1
79;75,4
80;75,0
81;75,4
82;75,4
83;74,8
84;75,4
85;75,4
86;74,8
87;75,1
88;75,4
89;75,2
90;74,8
91;74,8
92;74,8
93;75,2
94;74,8
95;75,4
96;74,8
97;74,8
98;75,2
99;75,0
100;74,9
101;74,8
102;74,8
103;75,0
104;74,9
105;74,8
106;74,8
107;75,4
108;75,4
109;74,8
110;75,0
111;75,4
112;75,4
113;75,4
114;75,4
115;74,8
116;74,8
117;74,8
118;75,4
119;75,4
120;74,8
121;74,8
122;75,1
123;75,1
124;75,0
125;75,2
126;75,4
127;74,8
128;75,4
129;74,8
130;75,4
131;75,4
132;75,4
133;75,0
134;74,8
135;75,1
136;75,2
137;74,8
138;75,4
139;75,4
140;74,8
141;74,9
142;75,4
143;74,8
144;75,3
145;75,4
146;75,0
147;74,8
148;74,8
149;75,4
150;74,8
151;74,8
152;74,8
153;75,1
154;75,2
155;75,4
156;74,8
157;74,8
158;75,2
159;75,4
160;74,8
161;74,8
162;75,4
163;74,8
164;75,4
165;75,4
166;74,8
167;74,8
168;75,4
169;75,4
170;74,8
171;74,8
172;75,4
173;74,8
174;75,2
175;75,4
176;74,8
177;75,4
178;74,8
179;75,4
180;74,8
181;74,8
182;75,4
183;75,4
184;74,8
185;75,4
186;75,1
187;75,4
188;74,8
189;75,4
190;75,0
191;75,4
192;75,4
193;74,8
194;75,4
195;74,8
196;75,4
197;75,4
198;75,4
199;74,8
200;75,4
201;74,8
202;75,4
203;75,4
204;75,3
205;75,4
206;75,4
207;75,4
208;75,4
209;75,0
210;75,3
211;74,8
212;74,8
213;75,4
214;75,4
215;75,1
216;75,0
217;74,8
218;74,8
219;75,4
220;74,8
221;74,8
222;75,1
223;74,8
224;74,8
225;74,8
226;75,4
227;74,8
228;75,4
229;75,0
230;75,4
231;75,4
232;74,8
233;74,8
234;75,4
235;75,4
236;75,1
237;75,4
238;74,8
239;74,8
240;74,8
241;74,8
242;75,4
243;74,9
244;75,0
245;74,8
246;74,8
247;75,4
248;74,9
249;75,4
250;75,1
251;74,8
252;74,8
253;75,4
254;75,4
255;75,1
256;75,2
257;75,4
258;75,4
259;74,8
260;75,4
261;74,8
262;75,4
263;75,4
264;74,8
265;74,8
266;75,4
267;75,0
268;75,4
269;75,2
270;74,8
271;75,4
272;75,4
273;74,9
274;75,4
275;75,4
276;74,8
277;74,9
278;74,8
279;74,8
280;75,4
281;75,4
282;75,0
283;75,4
284;75,4
285;74,8
286;75,4
287;75,4
288;75,1
289;75,2
290;75,3
291;74,8
292;75,0
293;75,4
294;74,8
295;74,8
296;75,4
297;75,1
298;75,4
299;74,8
300;74,8
301;74,8
302;74,8
303;74,9
304;75,4
305;75,4
306;75,4
307;74,8
308;75,4
309;74,8
310;75,3
311;75,4
312;75,4
313;75,4
314;75,4
315;74,8
316;74,8
317;74,8
318;75,4
319;74,8
320;75,4
321;74,9
322;75,2
323;75,0
324;75,0
325;74,8
326;75,4
327;74,8
328;75,4
329;74,8
330;75,0
331;75,4
332;75,4
333;75,4
334;75,4
335;74,8
336;75,4
337;74,8
338;74,8
339;75,4
340;75,1
341;75,3
342;75,3
343;75,4
344;75,4
345;74,8
346;74,9
347;75,4
348;74,8
349;75,4
350;74,8
351;74,8
352;75,4
353;75,4
354;75,4
355;75,4
356;75,1
357;75,4
358;74,8
359;75,4
360;74,8
361;75,4
362;74,8
363;75,0
364;74,8
365;74,8
366;75,1
367;75,1
368;75,4
369;74,8
370;74,8
371;74,8
372;74,8
373;74,8
374;75,4
375;75,4
376;74,8
377;75,4
378;75,4
379;74,8
380;74,9
381;75,4
382;74,8
383;75,4
384;75,0
385;75,4
386;74,8
387;75,4
388;74,8
389;74,8
390;74,8
391;74,8
392;75,1
393;75,1
394;74,9
395;75,4
396;74,8
397;74,8
398;74,8
399;75,3
400;75,3
401;75,4
402;75,4
403;74,8
404;75,3
405;75,4
406;74,8
407;75,0
408;74,8
409;75,4
410;75,1
411;74,8
412;75,2
413;75,4
414;75,4
415;75,2
416;74,8
417;75,3
418;75,4
419;75,4
420;74,8
421;74,8
422;74,8
423;74,8
424;75,1
425;75,4
426;75,4
427;75,1
428;75,1
429;74,8
430;74,8
431;75,3
432;75,4
433;74,8
434;75,4
435;75,3
436;75,4
437;74,8
438;75,4
439;74,8
440;75,4
441;75,0
442;75,4
443;74,8
444;74,8
445;74,8
446;74,8
447;75,1
448;74,8
449;74,8
450;75,1
451;74,8
452;75,1
453;75,4
454;74,8
455;74,8
456;74,8
457;75,0
458;75,1
459;75,4
460;75,0
461;75,4
462;74,8
463;75,4
464;75,4
465;75,4
466;74,8
467;74,8
468;75,4
469;75,4
470;74,8
471;74,9
472;75,3
473;75,4
474;75,4
475;74,8
476;74,8
477;74,8
478;75,2
479;74,8
480;75,4
481;75,1
482;75,1
483;74,8
484;75,4
485;74,9
486;75,1
487;74,8
488;74,8
489;74,8
490;75,3
491;75,4
492;75,4
493;75,2
494;74,8
495;74,8
496;75,4
497;75,4
498;75,4
499;75,4
500;75,4
501;75,2
502;74,9
503;75,0
504;74,8
505;74,8
506;74,9
507;75,2
508;74,8
509;75,4
510;74,8
511;75,4
512;74,8
513;75,4
514;75,4
515;74,8
516;75,2
517;75,2
518;74,8
519;74,8
520;74,8
521;75,4
522;75,3
523;74,8
524;75,2
525;74,8
526;75,2
527;75,3
528;75,3
529;75,4
530;74,8
531;74,8
532;75,3
533;75,4
534;75,2
535;74,8
536;74,8
537;74,8
538;75,4
539;75,4
540;75,4
541;75,0
542;75,4
543;75,2
544;74,8
545;74,8
546;74,8
547;75,4
548;75,4
549;75,4
550;74,8
551;74,8
552;75,3
553;74,8
554;74,8
555;74,9
556;75,4
557;75,0
558;74,8
559;75,4
560;74,8
561;75,4
562;74,8
563;75,4
564;75,3
565;74,8
566;75,4
567;74,8
568;75,4
569;74,8
570;74,8
571;75,4
572;75,4
573;75,0
574;75,4
575;74,8
576;74,8
577;75,2
578;75,0
579;74,8
580;75,4
581;74,8
582;75,4
583;75,4
584;75,1
585;75,4
586;74,8
587;74,8
588;75,4
589;75,4
590;75,3
591;75,4
592;75,3
593;74,8
594;75,4
595;74,8
596;75,1
597;75,2
598;75,4
599;75,0
600;74,9
601;74,8
602;75,2
603;74,8
604;74,8
605;74,8
606;75,2
607;74,8
608;75,3
609;75,4
610;74,8
611;75,4
612;74,8
613;75,3
614;74,8
615;75,4
616;74,8
617;75,4
618;75,0
619;75,4
620;75,4
621;71,2
622;52,3
623;25,5
624;25,3
625;25,6
626;24,9
627;25,4
628;25,8
629;25,3
630;25,4
631;25,5
632;25,5
633;25,6
634;25,4
635;25,4
636;25,2
637;25,3
638;25,8
639;25,3
640;25,3
