time;watts
0;26,1
1;26,1
2;26,1
3;26,7
4;26,1
5;25,2
6;26,4
7;26,0
8;26,1
9;26,3
10;26,4
11;27,0
12;26,6
13;26,3
14;25,7
15;25,5
16;26,4
17;56,1
18;56,3
19;85,9
20;85,9
21;84,5
22;86,6
23;87,3
24;85,1
25;85,7
26;86,8
27;86,4
28;83,9
29;84,3
30;85,2
31;84,1
32;86,2
33;85,1
34;83,6
35;84,7
36;83,9
37;84,0
38;84,0
39;84,6
40;86,0
41;85,5
42;85,2
43;85,7
44;85,3
45;85,7
46;85,1
47;86,6
48;84,7
49;86,0
50;85,5
51;86,0
52;86,6
53;84,8
54;84,8
55;84,9
56;85,2
57;84,7
58;83,2
59;87,3
60;84,5
61;84,4
62;84,6
63;83,6
64;85,4
65;84,6
66;86,1
67;85,5
68;85,2
69;85,9
70;87,1
71;84,6
72;84,8
73;86,6
74;83,6
75;86,6
76;84,6
77;85,5
78;85,3
79;86,5
80;85,2
81;86,6
82;86,1
83;84,7
84;85,9
85;88,0
86;84,9
87;85,3
88;85,7
89;85,4
90;84,1
91;84,1
92;85,0
93;85,5
94;83,0
95;87,4
96;82,8
97;84,8
98;85,4
99;85,2
100;85,0
101;83,9
102;84,6
103;85,1
104;85,0
105;84,9
106;84,3
107;85,7
108;87,2
109;84,7
110;85,2
111;86,4
112;86,2
113;87,2
114;85,8
115;84,7
116;84,5
117;84,3
118;86,2
119;86,6
120;83,7
121;84,9
122;85,3
123;85,3
124;85,2
125;85,5
126;87,1
127;84,5
128;85,7
129;84,6
130;87,1
131;86,0
132;85,7
133;85,2
134;84,9
135;85,3
136;85,4
137;83,7
138;86,0
139;86,1
140;84,6
141;85,1
142;86,0
143;84,6
144;85,6
145;86,4
146;85,2
147;84,7
148;84,1
149;88,0
150;84,7
151;84,5
152;84,8
153;85,2
154;85,4
155;86,2
156;84,7
157;84,9
158;85,4
159;85,7
160;84,8
161;84,8
162;86,9
163;84,2
164;85,9
165;85,6
166;85,0
167;84,7
168;86,8
169;86,9
170;84,3
171;84,8
172;85,7
173;83,6
174;85,5
175;85,7
176;84,4
177;85,7
178;83,8
179;85,6
180;84,0
181;82,9
182;86,1
183;85,9
184;84,3
185;86,9
186;85,3
187;85,9
188;84,4
189;85,6
190;85,2
191;86,0
192;86,2
193;84,8
194;86,1
195;84,4
196;88,0
197;86,4
198;86,6
199;83,2
200;87,0
201;84,5
202;85,8
203;86,2
204;85,5
205;86,2
206;86,2
207;85,6
208;86,0
209;85,2
210;85,5
211;84,3
212;83,2
213;86,4
214;86,5
215;85,3
216;85,2
217;84,8
218;84,6
219;87,7
220;84,3
221;84,7
222;85,3
223;85,0
224;84,3
225;84,7
226;85,6
227;84,9
228;85,7
229;85,2
230;85,8
231;86,5
232;85,0
233;84,7
234;86,8
235;86,7
236;85,3
237;86,6
238;84,6
239;84,6
240;84,3
241;84,7
242;85,9
243;85,0
244;85,2
245;84,6
246;84,2
247;86,2
248;85,0
249;86,1
250;85,3
251;84,9
252;82,0
253;86,2
254;85,7
255;85,3
256;85,5
257;86,0
258;87,1
259;84,5
260;86,0
261;84,7
262;86,3
263;86,8
264;84,9
265;84,0
266;86,7
267;85,2
268;87,0
269;85,4
270;84,9
271;86,6
272;85,8
273;85,1
274;85,6
275;85,6
276;84,6
277;85,1
278;84,1
279;84,4
280;85,7
281;86,6
282;85,2
283;86,4
284;86,8
285;84,3
286;86,1
287;85,8
288;85,3
289;85,4
290;85,5
291;84,0
292;85,2
293;86,9
294;84,3
295;85,0
296;85,7
297;85,3
298;86,8
299;83,9
300;83,6
301;84,8
302;84,8
303;85,0
304;85,9
305;85,9
306;86,7
307;84,3
308;86,6
309;83,7
310;85,5
311;86,0
312;86,6
313;86,3
314;86,0
315;84,7
316;84,9
317;84,9
318;87,0
319;84,5
320;87,0
321;85,0
322;85,5
323;85,2
324;85,2
325;84,4
326;86,9
327;84,6
328;86,4
329;84,0
330;85,1
331;87,0
332;86,8
333;86,5
334;85,7
335;84,8
336;85,7
337;84,3
338;84,7
339;86,9
340;85,3
341;85,5
342;85,6
343;86,1
344;86,9
345;83,4
346;85,1
347;86,6
348;83,1
349;86,9
350;83,1
351;84,8
352;87,2
353;87,0
354;86,4
355;87,5
356;85,3
357;85,8
358;83,9
359;85,9
360;84,8
361;86,5
362;84,4
363;85,2
364;84,7
365;85,0
366;85,3
367;85,2
368;86,4
369;84,8
370;85,0
371;83,8
372;84,9
373;84,5
374;86,6
375;85,9
376;84,9
377;86,0
378;86,2
379;84,1
380;85,0
381;86,1
382;84,5
383;85,8
384;85,2
385;85,8
386;83,3
387;86,4
388;84,4
389;83,5
390;84,7
391;84,8
392;85,3
393;85,3
394;85,1
395;86,3
396;84,1
397;84,6
398;84,3
399;85,5
400;85,5
401;86,3
402;86,7
403;84,3
404;85,5
405;85,7
406;84,0
407;85,2
408;84,4
409;86,8
410;85,3
411;83,9
412;85,4
413;85,9
414;86,0
415;85,4
416;83,5
417;85,6
418;86,2
419;85,7
420;84,9
421;84,8
422;84,9
423;84,3
424;85,4
425;86,7
426;86,9
427;85,4
428;85,4
429;84,9
430;84,8
431;85,6
432;86,4
433;85,0
434;86,0
435;85,5
436;85,9
437;84,4
438;85,7
439;84,0
440;86,6
441;85,2
442;87,2
443;84,7
444;84,1
445;84,3
446;83,5
447;85,2
448;83,4
449;84,7
450;85,3
451;84,2
452;85,3
453;86,0
454;84,2
455;84,1
456;84,0
457;85,1
458;85,2
459;85,7
460;85,1
461;86,0
462;84,8
463;86,4
464;85,7
465;85,8
466;84,8
467;83,9
468;86,2
469;85,7
470;84,4
471;85,0
472;85,6
473;86,3
474;86,3
475;84,6
476;84,7
477;83,5
478;85,4
479;84,4
480;86,2
481;85,3
482;85,3
483;83,4
484;86,2
485;85,0
486;85,3
487;84,1
488;84,8
489;84,9
490;85,5
491;86,3
492;86,1
493;85,5
494;84,9
495;84,4
496;85,8
497;86,2
498;86,2
499;86,3
500;86,2
501;85,5
502;85,1
503;85,2
504;85,0
505;84,9
506;85,0
507;85,4
508;84,8
509;85,8
510;84,6
511;86,7
512;84,1
513;86,4
514;85,7
515;84,7
516;85,5
517;85,4
518;81,3
519;84,3
520;84,5
521;86,4
522;85,6
523;83,9
524;85,4
525;83,0
526;85,4
527;85,5
528;85,6
529;85,7
530;84,7
531;84,2
532;85,6
533;86,7
534;85,4
535;84,7
536;84,1
537;84,3
538;86,6
539;86,5
540;85,7
541;85,2
542;86,1
543;85,4
544;84,2
545;83,2
546;84,1
547;86,2
548;86,6
549;86,0
550;85,0
551;85,0
552;85,6
553;83,5
554;84,9
555;85,0
556;87,0
557;85,1
558;84,7
559;86,1
560;84,5
561;86,1
562;84,3
563;86,9
564;85,5
565;84,9
566;86,6
567;85,0
568;86,0
569;84,0
570;83,9
571;85,9
572;86,0
573;85,1
574;85,7
575;84,2
576;84,3
577;85,4
578;85,2
579;84,6
580;86,4
581;83,9
582;87,0
583;86,3
584;85,3
585;86,4
586;84,6
587;84,7
588;87,1
589;85,6
590;85,6
591;85,9
592;85,6
593;84,5
594;86,4
595;84,3
596;85,3
597;85,4
598;85,7
599;85,2
600;85,1
601;84,2
602;85,4
603;83,8
604;84,6
605;84,4
606;85,4
607;84,9
608;85,6
609;86,7
610;84,9
611;86,5
612;84,1
613;85,5
614;83,9
615;86,0
616;84,6
617;86,6
618;85,2
619;86,0
620;85,8
621;80,7
622;58,3
623;26,3
624;26,0
625;26,6
626;25,2
627;26,3
628;27,0
629;26,1
630;26,1
631;26,5
632;26,4
633;26,6
634;26,2
635;26,3
636;25,7
637;26,1
638;27,0
639;26,1
640;26,1
