time;watts
0;25,3
1;25,3
2;25,4
3;25,7
4;25,3
5;24,8
6;25,5
7;25,3
8;25,3
9;25,4
10;25,5
11;25,8
12;25,7
13;25,4
14;25,1
15;25,0
16;25,5
17;52,2
18;52,4
19;79,0
20;79,0
21;76,9
22;80,0
23;80,9
24;77,8
25;78,6
26;80,3
27;79,6
28;76,9
29;76,9
30;77,9
31;76,9
32;79,4
33;77,9
34;76,9
35;77,3
36;76,9
37;76,9
38;76,9
39;77,1
40;79,0
41;78,4
42;78,0
43;78,6
44;78,2
45;78,7
46;77,8
47;80,0
48;77,2
49;79,1
50;78,4
51;79,1
52;79,9
53;77,3
54;77,5
55;77,6
56;78,0
57;77,3
58;76,9
59;80,9
60;77,0
61;76,9
62;77,1
63;76,9
64;78,3
65;77,1
66;79,3
67;78,3
68;78,0
69;79,0
70;80,7
71;77,1
72;77,3
73;79,9
74;76,9
75;79,9
76;77,1
77;78,4
78;78,1
79;79,8
80;78,0
81;79,9
82;79,2
83;77,3
84;79,0
85;80,9
86;77,5
87;78,1
88;78,7
89;78,3
90;76,9
91;76,9
92;77,7
93;78,3
94;76,9
95;80,9
96;76,9
97;77,4
98;78,2
99;77,9
100;77,7
101;76,9
102;77,1
103;77,9
104;77,7
105;77,6
106;76,9
107;78,7
108;80,8
109;77,3
110;78,0
111;79,7
112;79,4
113;80,8
114;78,9
115;77,3
116;76,9
117;76,9
118;79,4
119;80,0
120;76,9
121;77,5
122;78,1
123;78,1
124;78,0
125;78,3
126;80,6
127;76,9
128;78,7
129;77,1
130;80,7
131;79,1
132;78,6
133;77,9
134;77,6
135;78,1
136;78,3
137;76,9
138;79,2
139;79,2
140;77,1
141;77,8
142;79,1
143;77,1
144;78,5
145;79,7
146;78,0
147;77,2
148;76,9
149;80,9
150;77,2
151;76,9
152;77,4
153;78,0
154;78,3
155;79,3
156;77,3
157;77,6
158;78,2
159;78,6
160;77,4
161;77,4
162;80,3
163;76,9
164;79,0
165;78,5
166;77,6
167;77,3
168;80,2
169;80,5
170;76,9
171;77,4
172;78,6
173;76,9
174;78,3
175;78,7
176;76,9
177;78,7
178;76,9
179;78,6
180;76,9
181;76,9
182;79,2
183;78,9
184;76,9
185;80,4
186;78,1
187;79,0
188;76,9
189;78,6
190;77,9
191;79,1
192;79,4
193;77,4
194;79,2
195;76,9
196;80,9
197;79,7
198;79,9
199;76,9
200;80,5
201;76,9
202;78,9
203;79,5
204;78,4
205;79,4
206;79,3
207;78,6
208;79,2
209;78,0
210;78,4
211;76,9
212;76,9
213;79,7
214;79,8
215;78,1
216;77,9
217;77,3
218;77,1
219;80,9
220;76,9
221;77,3
222;78,1
223;77,6
224;76,9
225;77,3
226;78,6
227;77,5
228;78,6
229;78,0
230;78,8
231;79,8
232;77,6
233;77,2
234;80,2
235;80,1
236;78,1
237;79,9
238;77,1
239;77,1
240;76,9
241;77,3
242;78,9
243;77,7
244;77,9
245;77,1
246;76,9
247;79,3
248;77,7
249;79,2
250;78,1
251;77,6
252;76,9
253;79,4
254;78,6
255;78,1
256;78,3
257;79,1
258;80,7
259;77,0
260;79,0
261;77,2
262;79,5
263;80,3
264;77,6
265;76,9
266;80,1
267;77,9
268;80,6
269;78,2
270;77,5
271;80,0
272;78,8
273;77,8
274;78,6
275;78,5
276;77,1
277;77,7
278;76,9
279;76,9
280;78,7
281;79,9
282;78,0
283;79,7
284;80,3
285;76,9
286;79,3
287;78,9
288;78,1
