time;watts
0;27,4
1;27,4
2;27,4
3;27,9
4;27,4
5;26,9
6;27,7
7;27,3
8;27,4
9;27,6
10;27,6
11;28,2
12;27,9
13;27,6
14;27,1
15;26,9
16;27,6
17;59,5
18;59,7
19;91,4
20;91,4
21;88,8
22;92,1
23;92,1
24;89,8
25;90,9
26;92,1
27;92,1
28;88,8
29;88,8
30;89,9
31;88,8
32;92,0
33;89,9
34;88,8
35;89,1
36;88,8
37;88,8
38;88,8
39;88,8
40;91,5
41;90,6
42;90,0
43;90,9
44;90,3
45;91,1
46;89,7
47;92,1
48;89,0
49;91,6
50;90,6
51;91,6
52;92,1
53;89,1
54;89,3
55;89,5
56;90,1
57;89,1
58;88,8
59;92,1
60;88,8
61;88,8
62;88,8
63;88,8
64;90,4
65;88,9
66;91,8
67;90,5
68;90,1
69;91,5
70;92,1
71;88,9
72;89,1
73;92,1
74;88,8
75;92,1
76;88,8
77;90,6
78;90,3
79;92,1
80;90,0
81;92,1
82;91,7
83;89,1
84;91,4
85;92,1
86;89,4
87;90,2
88;91,1
89;90,5
90;88,8
91;88,8
92;89,6
93;90,5
94;88,8
95;92,1
96;88,8
97;89,3
98;90,4
99;90,0
100;89,7
101;88,8
102;88,8
103;89,9
104;89,6
105;89,5
106;88,8
107;91,0
108;92,1
109;89,1
110;90,0
111;92,1
112;92,0
113;92,1
114;91,3
115;89,0
116;88,8
117;88,8
118;92,0
119;92,1
120;88,8
121;89,4
122;90,1
123;90,2
124;90,0
125;90,5
126;92,1
127;88,8
128;91,0
129;88,8
130;92,1
131;91,6
132;91,0
133;89,9
134;89,5
135;90,3
136;90,4
137;88,8
138;91,7
139;91,7
140;88,8
141;89,7
142;91,6
143;88,8
144;90,8
145;92,1
146;90,0
147;89,0
148;88,8
149;92,1
150;89,0
151;88,8
152;89,3
153;90,1
154;90,5
155;91,9
156;89,0
157;89,5
158;90,3
159;90,9
160;89,3
161;89,2
162;92,1
163;88,8
164;91,5
165;90,8
166;89,6
167;89,1
168;92,1
169;92,1
170;88,8
171;89,3
172;90,9
173;88,8
174;90,5
175;91,0
176;88,8
177;91,0
178;88,8
179;90,8
180;88,8
181;88,8
182;91,8
183;91,3
184;88,8
185;92,1
186;90,2
187;91,4
188;88,8
189;90,8
190;89,9
191;91,6
192;92,0
193;89,3
194;91,7
195;88,8
196;92,1
197;72,4
198;49,6
199;27,9
200;28,3
201;27,2
202;27,1
203;27,5
204;27,3
205;27,6
206;26,9
207;28,7
208;27,4
209;28,5
210;26,9
211;27,7
212;29,4
213;27,0
214;26,9
215;27,2
216;27,8
