time;watts
0;25,4
1;25,3
2;25,4
3;26,2
4;25,4
5;24,9
6;25,8
7;25,2
8;25,3
9;25,6
10;25,7
11;26,6
12;26,1
13;25,6
14;24,9
15;24,9
16;25,7
17;57,3
18;57,6
19;89,0
20;89,0
21;87,8
22;89,6
23;90,1
24;88,2
25;88,7
26;89,8
27;89,4
28;87,8
29;87,8
30;88,3
31;87,8
32;89,2
33;88,3
34;87,8
35;87,9
36;87,8
37;87,8
38;87,8
39;87,8
40;89,0
41;88,6
42;88,3
43;88,7
44;88,4
45;88,8
46;88,2
47;89,6
48;87,8
49;89,0
50;88,6
51;89,1
52;89,6
53;87,9
54;88,0
55;88,1
56;88,3
57;87,9
58;87,8
59;90,1
60;87,8
61;87,8
62;87,8
63;87,8
64;88,5
65;87,8
66;89,2
67;88,6
68;88,3
69;89,0
70;90,1
71;87,8
72;87,9
73;89,6
74;87,8
75;89,6
76;87,8
77;88,6
78;88,4
79;89,5
80;88,3
81;89,6
82;89,1
83;87,9
84;89,0
85;90,1
86;88,0
87;88,4
88;88,8
89;88,5
90;87,8
91;87,8
92;88,1
93;88,5
94;87,8
95;90,1
96;87,8
97;88,0
98;88,5
99;88,3
100;88,2
101;87,8
102;87,8
103;88,2
104;88,1
105;88,1
106;87,8
107;88,8
108;90,1
109;87,9
110;88,3
111;89,4
112;89,2
113;90,1
114;88,9
115;87,9
116;87,8
117;87,8
118;89,3
119;89,6
120;87,8
121;88,0
122;88,4
123;88,4
124;88,3
125;88,6
126;90,0
127;87,8
128;88,8
129;87,8
130;90,1
131;89,0
132;88,8
133;88,3
134;88,1
135;88,4
136;88,5
137;87,8
138;89,1
139;89,1
140;87,8
141;88,2
142;89,0
143;87,8
144;88,7
145;89,5
146;88,3
147;87,8
148;87,8
149;90,1
150;87,8
151;87,8
152;88,0
153;88,4
154;88,5
155;89,2
156;87,9
157;88,1
158;88,5
159;88,7
160;88,0
161;87,9
162;89,8
163;87,8
164;89,0
165;88,7
166;88,1
167;87,9
168;89,8
169;89,9
170;87,8
171;88,0
172;88,7
173;87,8
174;88,5
175;88,8
176;87,8
177;88,8
178;87,8
179;88,7
180;87,8
181;87,8
182;89,1
183;88,9
184;87,8
185;89,9
186;88,4
187;89,0
188;87,8
189;88,7
190;88,3
191;89,1
192;89,2
193;88,0
194;89,1
195;87,8
196;90,1
197;89,4
198;89,6
199;87,8
200;89,9
201;87,8
202;88,9
203;89,3
204;88,6
205;89,3
206;89,2
207;88,7
208;89,1
209;88,3
210;88,6
211;87,8
212;87,8
213;89,4
214;89,5
215;88,4
216;88,3
217;87,9
218;87,8
219;90,1
220;87,8
221;87,9
222;88,4
223;88,1
224;87,8
225;87,9
226;88,7
227;88,0
228;88,7
229;88,3
230;88,9
231;89,5
232;88,1
233;87,8
234;89,7
235;89,7
236;88,4
237;89,6
238;87,8
239;87,8
240;87,8
241;87,9
242;88,9
243;55,2
244;44,0
245;25,4
246;24,9
247;24,9
248;24,9
249;26,8
250;26,5
251;26,0
252;26,8
253;25,5
254;26,1
255;25,8
256;25,3
257;26,8
258;26,8
259;24,9
260;25,1
261;25,9
262;26,3
