time;watts
0;27,8
1;27,8
2;27,8
3;28,5
4;27,8
5;26,7
6;28,2
7;27,7
8;27,7
9;28,0
10;28,1
11;28,8
12;28,4
13;28,0
14;27,3
15;27,1
16;28,1
17;61,3
18;61,6
19;94,6
20;94,6
21;92,8
22;96,3
23;97,2
24;92,8
25;94,0
26;96,7
27;95,6
28;92,8
29;92,8
30;92,9
31;92,8
32;95,3
33;92,8
34;92,8
35;92,8
36;92,8
37;92,8
38;92,8
39;92,8
40;94,7
41;93,7
42;93,0
43;94,1
44;93,3
45;94,2
46;92,8
47;96,3
48;92,8
49;94,8
50;93,6
51;94,9
52;96,1
53;92,8
54;92,8
55;92,8
56;93,0
57;92,8
58;92,8
59;97,2
60;92,8
61;92,8
62;92,8
63;92,8
64;93,5
65;92,8
66;95,1
67;93,6
68;93,0
69;94,7
70;97,2
71;92,8
72;92,8
73;96,2
74;92,8
75;96,2
76;92,8
77;93,6
78;93,3
79;96,0
80;93,0
81;96,1
82;95,0
83;92,8
84;94,7
85;97,2
86;92,8
87;93,1
88;94,2
89;93,5
90;92,8
91;92,8
92;92,8
93;93,6
94;92,8
95;97,2
96;92,8
97;92,8
98;93,4
99;92,9
100;92,8
101;92,8
102;92,8
103;92,8
104;92,8
105;92,8
106;92,8
107;94,2
108;97,2
109;92,8
110;93,0
111;95,8
112;95,3
113;97,2
114;94,5
115;92,8
116;92,8
117;92,8
118;95,3
119;96,3
120;92,8
121;92,8
122;93,1
123;93,2
124;93,0
125;93,6
126;97,2
127;92,8
128;94,1
129;92,8
130;97,2
131;94,8
132;94,1
133;92,9
134;92,8
135;93,3
136;93,5
137;92,8
138;94,9
139;95,0
140;92,8
141;92,8
142;94,8
143;92,8
144;93,9
145;95,9
146;93,0
147;92,8
148;92,8
149;97,2
150;92,8
151;92,8
152;92,8
153;93,1
154;93,5
155;95,2
156;92,8
157;92,8
158;93,4
159;94,0
160;92,8
161;92,8
162;96,8
163;92,8
164;94,7
165;93,9
166;92,8
167;92,8
168;96,7
169;97,0
170;92,8
171;92,8
172;94,1
173;92,8
174;93,6
175;94,1
176;92,8
177;94,2
178;92,8
179;93,9
180;92,8
181;92,8
182;95,0
183;94,5
184;92,8
185;96,9
186;93,2
187;94,6
188;92,8
189;93,9
190;92,9
191;94,8
192;95,3
193;92,8
194;95,0
195;92,8
196;97,2
197;95,8
198;96,2
199;92,8
200;97,0
201;92,8
202;94,5
203;95,4
204;93,7
205;95,4
206;95,2
207;94,0
208;94,9
209;93,0
210;93,7
211;92,8
212;92,8
213;95,8
214;96,0
215;93,1
216;92,9
217;92,8
218;92,8
219;97,2
220;92,8
221;92,8
222;93,2
223;92,8
224;92,8
225;92,8
226;94,0
227;92,8
228;94,1
229;93,0
230;94,4
231;95,9
232;92,8
233;92,8
234;96,6
235;96,4
236;93,3
237;96,2
238;92,8
239;92,8
240;92,8
241;92,8
242;94,6
243;92,8
244;92,9
245;92,8
246;92,8
247;95,2
248;92,8
249;95,0
250;93,2
251;92,8
252;92,8
253;95,3
254;94,1
255;93,2
256;93,6
257;94,9
258;97,2
259;92,8
260;94,7
261;92,8
262;95,5
263;96,7
264;92,8
265;92,8
266;96,4
267;92,9
268;97,2
269;93,4
270;92,8
271;96,3
272;94,3
273;92,8
274;94,0
275;93,9
276;92,8
277;92,8
278;92,8
279;92,8
