time;watts
0;25,1
1;25,1
2;25,1
3;25,7
4;25,1
5;24,6
6;25,4
7;25,0
8;25,0
9;25,3
10;25,4
11;26,1
12;25,7
13;25,3
14;24,7
15;24,6
16;25,4
17;57,6
18;57,8
19;89,9
20;89,9
21;88,5
22;90,6
23;90,6
24;89,1
25;89,7
26;90,6
27;90,3
28;88,0
29;88,3
30;89,2
31;88,2
32;90,2
33;89,1
34;87,9
35;88,7
36;87,9
37;88,0
38;88,0
39;88,6
40;89,9
41;89,5
42;89,2
43;89,7
44;89,3
45;89,7
46;89,1
47;90,6
48;88,7
49;90,0
50;89,5
51;90,0
52;90,5
53;88,8
54;88,9
55;88,9
56;89,2
57;88,7
58;87,9
59;90,6
60;88,5
61;88,4
62;88,6
63;87,9
64;89,4
65;88,6
66;90,1
67;89,5
68;89,2
69;89,9
70;90,6
71;88,6
72;88,8
73;90,5
74;87,9
75;90,6
76;88,6
77;89,5
78;89,3
79;90,5
80;89,2
81;90,5
82;90,1
83;88,7
84;89,9
85;90,6
86;88,9
87;89,3
88;89,7
89;89,4
90;88,2
91;88,1
92;89,0
93;89,5
94;87,9
95;90,6
96;87,9
97;88,8
98;89,4
99;89,2
100;89,0
101;87,9
102;88,6
103;89,1
104;89,0
105;88,9
106;88,4
107;89,7
108;90,6
109;88,8
110;89,2
111;90,4
112;90,2
113;90,6
114;89,8
115;88,7
116;88,5
117;88,3
118;90,2
119;90,6
120;87,9
121;88,9
122;89,3
123;89,3
124;89,2
125;89,5
126;90,6
127;88,5
128;89,7
129;88,6
130;90,6
131;90,0
132;89,7
133;89,2
134;88,9
135;89,3
136;89,4
137;87,9
138;90,0
139;90,1
140;88,6
141;89,1
142;90,0
143;88,6
144;89,6
145;90,4
146;89,2
147;88,7
148;88,2
149;90,6
150;88,7
151;88,5
152;88,8
153;89,2
154;89,4
155;90,1
156;88,7
157;88,9
158;89,4
159;89,7
160;88,8
161;88,8
162;90,6
163;88,3
164;89,9
165;89,6
166;89,0
167;88,7
168;90,6
169;90,6
170;88,4
171;88,8
172;89,7
173;87,9
174;89,5
175;89,7
176;88,4
177;89,7
178;87,9
179;89,6
180;88,1
181;87,9
182;90,1
183;89,8
184;88,3
185;90,6
186;89,3
187;89,9
188;88,4
189;89,6
190;89,2
191;90,0
192;90,2
193;88,8
194;90,1
195;88,4
196;90,6
197;90,4
198;90,6
199;87,9
200;90,6
201;88,5
202;89,8
203;90,2
204;89,5
205;90,2
206;90,1
207;89,6
208;90,0
209;89,2
210;89,5
211;88,3
212;87,9
213;90,4
214;90,5
215;89,3
216;89,2
217;88,8
218;88,6
219;90,6
220;88,3
221;88,7
222;89,3
223;89,0
224;88,4
225;88,7
226;89,6
227;88,9
228;89,7
229;89,2
230;89,8
231;90,5
232;89,0
233;88,7
234;90,6
235;90,6
236;89,3
237;90,5
238;88,6
239;88,6
240;88,3
241;88,7
242;89,9
243;89,0
244;89,2
245;88,6
246;88,2
247;90,1
248;89,0
249;90,1
250;89,3
251;88,9
252;87,9
253;90,2
254;89,7
255;89,3
256;89,5
257;90,0
258;90,6
259;88,5
260;89,9
261;88,7
262;90,3
263;90,6
264;88,9
265;88,1
266;90,6
267;89,2
268;90,6
269;89,4
270;88,9
271;90,6
272;89,8
273;89,1
274;89,6
275;89,6
276;88,6
277;89,1
278;88,1
279;88,4
280;89,7
281;90,6
282;89,2
283;90,4
284;90,6
285;88,3
286;90,1
287;89,8
288;89,3
289;89,4
290;89,5
291;88,0
292;89,2
293;90,6
294;88,4
295;89,0
296;89,7
297;89,3
298;90,6
299;88,0
300;87,9
301;88,8
302;88,8
303;89,0
304;89,9
305;89,9
306;90,6
307;88,3
308;90,6
309;87,9
310;89,5
311;90,0
312;90,6
313;90,3
314;90,0
315;88,7
316;88,9
317;88,9
318;90,6
319;88,5
320;90,6
321;89,0
322;89,5
323;89,2
324;89,2
325;88,5
326;90,6
327;88,6
328;90,4
329;88,0
330;89,1
331;90,6
332;90,6
333;90,5
334;89,7
335;88,8
336;89,7
337;88,4
338;88,7
339;90,6
340;89,3
341;89,5
342;89,6
343;90,1
344;90,6
345;87,9
346;89,1
347;90,6
348;87,9
349;90,6
350;87,9
351;88,8
352;90,6
353;90,6
354;90,3
355;90,6
356;89,3
357;89,7
358;87,9
359;89,9
360;88,8
361;90,5
362;88,4
363;89,2
364;88,7
365;89,0
366;89,3
367;89,2
368;90,3
369;88,8
370;89,0
371;87,9
372;88,9
373;88,5
374;90,5
375;89,9
376;88,9
377;90,0
378;90,2
379;88,1
380;89,1
381;90,1
382;88,5
383;89,8
384;89,2
385;89,8
386;87,9
387;90,4
388;88,4
389;87,9
390;88,7
391;88,8
392;89,3
393;89,3
394;89,1
395;90,3
396;88,1
397;88,6
398;88,3
399;89,5
400;89,5
401;90,3
402;90,6
403;88,3
404;89,5
405;89,6
406;88,0
407;89,2
408;88,4
409;90,6
410;89,3
411;87,9
412;89,4
413;89,9
414;90,0
415;89,4
416;87,9
417;89,6
418;90,2
419;89,7
420;88,9
421;88,9
422;88,9
423;88,3
424;89,4
425;90,6
426;90,6
427;89,4
428;89,4
429;88,9
430;88,8
431;89,6
432;90,4
433;89,0
434;90,0
435;89,5
436;89,9
437;88,5
438;89,7
439;88,0
440;90,5
441;89,2
442;90,6
443;88,7
444;88,2
445;88,3
446;87,9
447;89,2
448;87,9
449;88,7
450;89,3
451;88,2
452;89,3
453;90,0
454;88,3
455;88,1
456;88,0
457;89,1
458;89,2
459;89,7
460;89,1
461;90,0
462;88,8
463;90,3
464;89,7
465;89,8
466;88,8
467;87,9
468;90,2
469;89,7
470;88,4
471;89,0
472;89,6
473;90,2
474;90,3
475;88,6
476;88,7
477;87,9
478;89,4
479;88,4
480;90,2
481;89,3
482;89,3
483;87,9
484;90,2
485;89,0
486;89,3
487;88,1
488;88,8
489;88,9
490;89,5
491;90,3
492;90,1
493;89,5
494;88,9
495;88,4
496;89,8
497;90,2
498;90,2
499;90,2
500;90,2
501;89,5
502;89,1
503;89,2
504;89,0
505;88,9
506;89,0
507;89,4
508;88,8
509;89,7
510;88,6
511;90,6
512;88,2
513;90,4
514;89,6
515;88,7
516;89,5
517;89,4
518;87,9
519;88,3
520;88,5
521;90,4
522;89,6
523;88,0
524;89,4
525;87,9
526;89,4
527;89,5
528;89,6
529;89,7
530;88,7
531;88,3
532;89,6
533;90,6
534;89,4
535;88,7
536;88,1
537;88,3
538;90,6
539;90,4
540;89,7
541;89,2
542;90,1
543;89,4
544;88,3
545;87,9
546;88,1
547;90,2
548;90,6
549;90,0
550;89,0
551;89,0
552;89,6
553;87,9
554;88,9
555;89,0
556;90,6
557;89,1
558;88,7
559;90,1
560;88,5
561;90,1
562;88,3
563;90,6
564;89,5
565;88,9
566;90,6
567;89,0
568;90,0
569;88,0
570;87,9
571;89,9
572;90,0
573;89,1
574;89,7
575;88,2
576;88,3
577;89,4
578;89,2
579;88,6
580;90,3
581;87,9
582;90,6
583;90,3
584;89,3
585;90,3
586;88,6
587;88,7
588;90,6
589;89,6
590;89,6
591;89,9
592;89,6
593;88,5
594;90,4
595;88,3
596;89,3
597;89,4
598;89,7
599;89,2
600;89,1
601;88,2
602;89,4
603;87,9
604;88,6
605;88,4
606;89,4
607;88,9
608;89,6
609;90,6
610;88,9
611;90,5
612;88,2
613;89,5
614;87,9
615;90,0
616;88,6
617;90,6
618;89,2
619;90,0
620;89,7
621;84,3
622;60,0
623;25,4
624;25,0
625;25,7
626;24,6
627;25,3
628;26,1
629;25,1
630;25,1
631;25,5
632;25,4
633;25,7
634;25,3
635;25,3
636;24,6
637;25,1
638;26,1
639;25,0
640;25,1
