time;watts
0;27,4
1;27,4
2;27,4
3;27,9
4;27,4
5;26,9
6;27,7
7;27,4
8;27,4
9;27,6
10;27,6
11;28,1
12;27,8
13;27,6
14;27,1
15;27,0
16;27,6
17;56,3
18;56,5
19;85,1
20;85,1
21;83,0
22;85,1
23;85,1
24;83,9
25;84,7
26;85,1
27;85,1
28;82,2
29;82,7
30;84,0
31;82,5
32;85,1
33;84,0
34;81,8
35;83,4
36;82,2
37;82,3
38;82,3
39;83,2
40;85,1
41;84,5
42;84,1
43;84,7
44;84,3
45;84,8
46;83,9
47;85,1
48;83,3
49;85,1
50;84,5
51;85,1
52;85,1
53;83,4
54;83,5
55;83,7
56;84,1
57;83,4
58;81,8
59;85,1
60;83,1
61;82,8
62;83,1
63;81,8
64;84,4
65;83,2
66;85,1
67;84,4
68;84,1
69;85,1
70;85,1
71;83,2
72;83,4
73;85,1
74;81,8
75;85,1
76;83,2
77;84,5
78;84,2
79;85,1
80;84,1
81;85,1
82;85,1
83;83,4
84;85,1
85;85,1
86;83,6
87;84,2
88;84,8
89;84,4
90;82,5
91;82,4
92;83,8
93;84,4
94;81,8
95;85,1
96;81,8
97;83,5
98;84,3
99;84,0
100;83,8
101;82,1
102;83,1
103;83,9
104;83,8
105;83,7
106;82,8
107;84,8
108;85,1
109;83,4
110;84,1
111;85,1
112;85,1
113;85,1
114;85,0
115;83,4
116;83,0
117;82,8
118;85,1
119;85,1
120;81,9
121;83,6
122;84,2
123;84,2
124;84,1
125;84,4
126;85,1
127;83,0
128;84,8
129;83,2
130;85,1
131;85,1
132;84,8
133;84,0
134;83,7
135;84,2
136;84,4
137;81,9
138;85,1
139;85,1
140;83,2
141;83,9
142;85,1
143;83,2
144;84,6
145;85,1
146;84,1
147;83,3
148;82,5
149;85,1
150;83,3
151;83,0
152;83,5
153;84,1
154;84,4
155;85,1
156;83,4
157;83,7
158;84,3
159;84,7
160;83,5
161;83,5
162;85,1
163;82,7
164;85,1
165;84,6
166;83,7
167;83,4
168;85,1
169;85,1
170;82,8
171;83,5
172;84,7
173;81,8
174;84,4
175;84,8
176;82,9
177;84,8
178;82,0
179;84,7
180;82,4
181;81,8
182;85,1
183;85,0
184;82,7
185;85,1
186;84,2
187;85,1
188;82,8
189;84,7
190;84,0
191;85,1
192;85,1
193;83,5
194;85,1
195;82,9
196;85,1
197;85,1
198;85,1
199;81,8
200;85,1
201;83,0
202;85,0
203;85,1
204;84,5
205;85,1
206;85,1
207;84,7
208;85,1
209;84,1
210;84,5
211;74,3
212;51,2
213;27,2
214;26,9
215;27,2
216;27,7
217;27,8
218;28,1
219;27,4
220;26,9
221;27,3
222;28,1
223;27,7
224;26,9
225;27,5
226;28,2
227;28,6
228;27,8
229;27,7
230;26,9
