time;watts
0;25,1
1;25,1
2;25,1
3;25,6
4;25,1
5;24,8
6;25,4
7;25,1
8;25,1
9;25,3
10;25,3
11;25,8
12;25,6
13;25,3
14;24,8
15;24,8
16;25,3
17;52,0
18;52,2
19;78,8
20;78,8
21;77,7
22;79,4
23;79,9
24;78,1
25;78,6
26;79,5
27;79,1
28;77,2
29;77,5
30;78,2
31;77,4
32;79,0
33;78,2
34;77,0
35;77,8
36;77,2
37;77,3
38;77,3
39;77,8
40;78,8
41;78,5
42;78,2
43;78,6
44;78,3
45;78,6
46;78,1
47;79,3
48;77,8
49;78,8
50;78,4
51;78,9
52;79,3
53;77,9
54;77,9
55;78,0
56;78,2
57;77,9
58;76,7
59;79,9
60;77,7
61;77,6
62;77,7
63;77,0
64;78,4
65;77,8
66;78,9
67;78,4
68;78,2
69;78,8
70;79,7
71;77,8
72;77,9
73;79,3
74;77,0
75;79,3
76;77,7
77;78,5
78;78,3
79;79,3
80;78,2
81;79,3
82;78,9
83;77,8
84;78,8
85;80,0
86;78,0
87;78,3
88;78,6
89;78,4
90;77,4
91;77,3
92;78,1
93;78,4
94;76,5
95;80,0
96;76,3
97;77,9
98;78,4
99;78,2
100;78,1
101;77,2
102;77,7
103;78,2
104;78,1
105;78,0
106;77,5
107;78,6
108;79,8
109;77,9
110;78,2
111;79,2
112;79,0
113;79,8
114;78,7
115;77,8
116;77,6
117;77,5
118;79,0
119;79,3
120;77,0
121;78,0
122;78,3
123;78,3
124;78,2
125;78,4
126;79,7
127;77,6
128;78,6
129;77,7
130;79,7
131;78,8
132;78,6
133;78,2
134;78,0
135;78,3
136;78,4
137;77,0
138;78,9
139;78,9
140;77,7
141;78,1
142;78,8
143;77,7
144;78,5
145;79,2
146;78,2
147;77,8
148;77,4
149;80,0
150;77,8
151;77,6
152;77,9
153;78,3
154;78,4
155;79,0
156;77,8
157;78,0
158;78,4
159;78,6
160;77,9
161;77,9
162;79,5
163;77,5
164;78,8
165;78,5
166;78,0
167;77,8
168;79,5
169;79,6
170;77,5
171;77,9
172;78,6
173;77,0
174;78,4
175;78,6
176;77,6
177;78,6
178;77,1
179;78,5
180;77,3
181;76,4
182;78,9
183;78,7
184;77,5
185;79,6
186;78,3
187;78,8
188;77,6
189;78,5
190;78,2
191;78,9
192;79,0
193;77,9
194;78,9
195;77,6
196;80,0
197;79,2
198;79,3
199;76,6
200;79,6
201;77,6
202;78,7
203;79,0
204;78,5
205;79,0
206;79,0
207;78,6
208;78,9
209;78,2
210;78,5
211;77,5
212;76,6
213;79,2
214;79,3
215;78,3
216;78,2
217;77,9
218;77,7
219;80,0
220;77,5
221;77,9
222;78,3
223;78,0
224;77,5
225;77,9
226;78,6
227;77,9
228;78,6
229;78,2
230;78,7
231;79,2
232;78,1
233;77,8
234;79,5
235;79,4
236;78,3
237;79,3
238;77,7
239;77,8
240;77,5
241;77,8
242;78,8
243;78,1
244;78,2
245;77,8
246;77,4
247;79,0
248;78,1
249;78,9
250;78,3
251;78,0
252;76,2
253;79,0
254;78,6
255;78,3
256;78,4
257;78,9
258;79,7
259;77,7
260;78,8
261;77,8
262;79,1
263;79,5
264;78,0
265;77,3
266;79,4
267;78,2
268;79,7
269;78,4
270;78,0
271;79,4
272;78,7
273;78,1
274;78,6
275;78,5
276;77,7
277;78,1
278;77,4
279;77,6
280;78,6
281;79,3
282;78,2
283;79,2
284;79,5
285;77,5
286;79,0
287;78,7
288;78,3
289;78,4
290;78,4
291;77,2
292;78,2
293;79,5
294;77,5
295;78,0
296;78,6
297;78,3
298;79,5
299;77,2
300;76,9
301;77,9
302;77,9
303;78,1
304;78,7
305;78,8
306;79,4
307;77,5
308;79,3
309;77,1
310;78,4
311;78,9
312;79,3
313;79,1
314;78,9
315;77,8
316;78,0
317;78,0
318;79,7
319;77,7
320;79,7
321;78,1
322;78,4
323;78,2
324;78,2
325;77,6
326;79,5
327;77,7
328;79,2
329;77,3
330;74,2
331;49,5
332;25,1
333;25,4
334;25,4
335;26,2
336;24,8
337;25,3
338;25,3
339;24,8
340;25,6
341;25,3
342;24,8
343;26,2
344;25,6
345;25,1
346;24,8
347;24,8
348;25,9
349;25,1
