time;watts
0;28,3
1;28,3
2;28,3
3;29,0
4;28,3
5;27,4
6;28,7
7;28,2
8;28,2
9;28,5
10;28,6
11;29,4
12;29,0
13;28,5
14;27,8
15;27,5
16;28,6
17;61,4
18;61,6
19;94,2
20;94,2
21;91,6
22;95,5
23;96,1
24;92,7
25;93,8
26;95,9
27;95,0
28;90,6
29;91,2
30;92,8
31;91,0
32;94,8
33;92,8
34;90,0
35;92,1
36;90,6
37;90,8
38;90,7
39;91,8
40;94,3
41;93,5
42;92,9
43;93,8
44;93,2
45;93,9
46;92,7
47;95,5
48;92,0
49;94,3
50;93,4
51;94,4
52;95,4
53;92,1
54;92,3
55;92,4
56;93,0
57;92,1
58;89,3
59;96,1
60;91,7
61;91,4
62;91,8
63;90,0
64;93,3
65;91,9
66;94,6
67;93,4
68;93,0
69;94,3
70;96,1
71;91,9
72;92,1
73;95,4
74;90,1
75;95,4
76;91,8
77;93,4
78;93,1
79;95,3
80;92,9
81;95,4
82;94,5
83;92,1
84;94,2
85;96,1
86;92,3
87;93,1
88;93,9
89;93,3
90;91,0
91;90,9
92;92,5
93;93,4
94;88,9
95;96,1
96;88,6
97;92,3
98;93,3
99;92,9
100;92,6
101;90,5
102;91,8
103;92,8
104;92,6
105;92,4
106;91,4
107;93,9
108;96,1
109;92,1
110;92,9
111;95,1
112;94,8
113;96,1
114;94,1
115;92,0
116;91,6
117;91,3
118;94,8
119;95,5
120;90,2
121;92,4
122;93,0
123;93,1
124;92,9
125;93,4
126;96,1
127;91,6
128;93,8
129;91,8
130;96,1
131;94,4
132;93,8
133;92,9
134;92,4
135;93,2
136;93,3
137;90,2
138;94,5
139;94,5
140;91,8
141;92,7
142;94,4
143;91,8
144;93,6
145;95,2
146;93,0
147;91,9
148;91,0
149;96,1
150;92,0
151;91,6
152;92,2
153;93,0
154;93,3
155;94,7
156;92,0
157;92,4
158;93,2
159;93,8
160;92,3
161;92,2
162;95,9
163;91,2
164;94,3
165;93,6
166;92,5
167;92,1
168;95,8
169;96,1
170;91,3
171;92,3
172;93,8
173;90,0
174;93,4
175;93,8
176;91,5
177;93,9
178;90,4
179;93,7
180;90,8
181;88,7
182;94,5
183;94,1
184;91,3
185;96,0
186;93,1
187;94,2
188;91,4
189;93,7
190;92,9
191;94,4
192;94,8
193;92,2
194;94,5
195;91,4
196;96,1
197;95,2
198;95,4
199;89,2
200;96,1
201;91,6
202;94,1
203;94,8
204;93,5
205;94,8
206;94,7
207;93,7
208;94,5
209;93,0
210;93,5
211;91,2
212;89,3
213;95,1
214;95,3
215;93,0
216;92,9
217;92,1
218;91,8
219;96,1
220;91,2
221;92,1
222;93,1
223;92,5
224;91,3
225;92,1
226;93,7
227;92,3
228;93,8
229;92,9
230;94,0
231;95,2
232;92,5
233;92,0
234;95,8
235;95,6
236;93,2
237;95,4
238;91,8
239;91,9
240;91,3
241;92,0
242;94,2
243;92,6
244;92,8
245;91,9
246;91,1
247;94,7
248;92,6
249;94,5
250;93,1
251;92,4
252;88,3
253;94,7
254;93,8
255;93,1
256;93,4
257;94,4
258;96,1
259;91,6
260;94,3
261;92,0
262;94,9
263;95,8
264;92,4
265;90,8
266;95,6
267;92,9
268;96,1
269;93,3
270;92,3
271;95,5
272;94,0
273;92,8
274;93,7
275;93,6
276;91,8
277;92,6
278;90,9
279;91,4
280;93,8
281;95,5
282;92,9
283;95,1
284;95,9
285;91,2
286;94,6
287;94,1
288;93,1
289;93,2
290;93,4
291;90,7
292;92,9
293;95,9
294;91,4
295;92,5
296;93,8
297;93,1
298;95,9
299;90,6
300;90,0
301;92,2
302;92,2
303;92,6
304;94,1
305;94,2
306;95,6
307;91,3
308;95,5
309;90,3
310;93,4
311;94,4
312;95,5
313;94,9
314;94,4
315;91,9
316;92,4
317;92,4
318;96,1
319;91,6
320;96,1
321;92,6
322;93,4
323;92,8
324;93,0
325;91,6
326;95,9
327;91,8
328;95,2
329;90,7
330;92,8
331;96,1
332;95,8
333;95,3
334;93,9
335;92,1
336;93,9
337;91,3
338;92,1
339;96,0
340;93,2
341;93,5
342;93,6
343;94,5
344;96,1
345;89,7
346;92,6
347;95,5
348;89,2
349;96,0
350;89,1
351;92,2
352;96,1
353;96,1
354;95,0
355;96,1
356;93,0
357;93,9
358;90,5
359;94,2
360;92,2
361;95,3
362;91,4
363;93,0
364;91,9
365;92,5
366;93,1
367;93,0
368;95,0
369;92,1
370;92,6
371;90,3
372;92,3
373;91,7
374;95,4
375;94,2
376;92,4
377;94,4
378;94,7
379;90,8
380;92,6
381;94,5
382;91,6
383;94,1
384;92,8
385;94,0
386;89,5
387;95,1
388;91,5
389;89,7
390;92,0
391;92,1
392;93,1
393;93,1
394;92,7
395;94,9
396;90,9
397;91,9
398;91,3
399;93,5
400;93,5
401;95,0
402;95,6
403;91,3
404;93,5
405;93,7
406;90,7
407;92,9
408;91,5
409;95,8
410;93,1
411;90,5
412;93,3
413;94,2
414;94,4
415;93,3
416;89,8
417;93,6
418;94,7
419;93,9
420;92,3
421;92,3
422;92,4
423;91,2
424;93,2
425;95,6
426;96,0
427;93,2
428;93,2
429;92,3
430;92,1
431;93,6
432;95,1
433;92,6
434;94,3
435;93,5
436;94,2
437;91,5
438;93,9
439;90,7
440;95,4
441;92,9
442;96,1
443;92,0
444;91,0
445;91,3
446;89,8
447;93,0
448;89,6
449;92,0
450;93,0
451;91,1
452;93,0
453;94,4
454;91,2
455;90,9
456;90,7
457;92,8
458;93,0
459;93,8
460;92,8
461;94,4
462;92,2
463;95,1
464;93,9
