time;watts
0;25,0
1;25,0
2;25,1
3;25,4
4;25,1
5;24,8
6;25,2
7;25,0
8;25,0
9;25,1
10;25,2
11;25,5
12;25,3
13;25,1
14;24,8
15;24,8
16;25,2
17;57,4
18;57,7
19;89,8
20;89,8
21;88,5
22;90,4
23;91,0
24;89,0
25;89,5
26;90,6
27;90,1
28;88,0
29;88,3
30;89,1
31;88,2
32;90,0
33;89,1
34;87,7
35;88,7
36;88,0
37;88,1
38;88,0
39;88,6
40;89,8
41;89,4
42;89,1
43;89,5
44;89,2
45;89,6
46;89,0
47;90,4
48;88,7
49;89,8
50;89,4
51;89,8
52;90,3
53;88,7
54;88,8
55;88,9
56;89,1
57;88,7
58;87,3
59;91,0
60;88,5
61;88,4
62;88,5
63;87,7
64;89,3
65;88,6
66;89,9
67;89,3
68;89,1
69;89,8
70;90,8
71;88,6
72;88,7
73;90,3
74;87,7
75;90,3
76;88,6
77;89,4
78;89,2
79;90,3
80;89,1
81;90,3
82;89,9
83;88,7
84;89,8
85;92,1
86;88,8
87;89,2
88;89,6
89;89,3
90;88,2
91;88,1
92;88,9
93;89,3
94;87,1
95;91,1
96;87,0
97;88,8
98;89,3
99;89,1
100;89,0
101;87,9
102;88,5
103;89,0
104;88,9
105;88,9
106;88,3
107;89,6
108;90,9
109;88,7
110;89,1
111;90,2
112;90,0
113;90,9
114;89,7
115;88,7
116;88,5
117;88,3
118;90,0
119;90,4
120;87,8
121;88,8
122;89,2
123;89,2
124;89,1
125;89,4
126;90,8
127;88,4
128;89,6
129;88,6
130;90,8
131;89,8
132;89,5
133;89,1
134;88,9
135;89,2
136;89,3
137;87,8
138;89,9
139;89,9
140;88,6
141;89,0
142;89,8
143;88,6
144;89,5
145;90,2
146;89,1
147;88,6
148;88,2
149;91,8
150;88,7
151;88,5
152;88,8
153;89,2
154;89,3
155;90,0
156;88,7
157;88,9
158;89,3
159;89,5
160;88,8
161;88,8
162;90,6
163;88,3
164;89,8
165;89,5
166;88,9
167;88,7
168;90,5
169;90,7
170;88,3
171;88,8
172;89,5
173;87,7
174;89,3
175;89,6
176;88,4
177;89,6
178;87,9
179;89,5
180;88,1
181;87,0
182;89,9
183;89,7
184;88,3
185;90,6
186;89,2
187;89,8
188;88,4
189;89,5
190;89,1
191;89,8
192;90,0
193;88,8
194;89,9
195;88,4
196;92,1
197;90,2
198;90,4
199;87,3
200;90,7
201;88,5
202;89,7
203;90,0
204;89,4
205;90,0
206;90,0
207;89,5
208;89,9
209;89,1
210;89,4
211;88,3
212;87,3
213;90,2
214;90,3
215;89,2
216;89,1
217;88,7
218;88,6
219;91,3
220;88,3
221;88,7
222;89,2
223;88,9
224;88,3
225;88,7
226;89,5
227;88,8
228;89,5
229;89,1
230;89,6
231;90,3
232;88,9
233;88,6
234;90,5
235;90,4
236;89,2
237;90,3
238;88,6
239;88,6
240;88,3
241;88,7
242;89,7
243;89,0
244;89,1
245;88,6
246;88,2
247;90,0
248;89,0
249;89,9
250;89,2
251;88,9
252;86,8
253;90,0
254;89,5
255;89,2
256;89,4
257;89,8
