time;watts
0;1,7
1;1,7
2;1,7
3;1,8
4;1,7
5;1,5
6;1,8
7;1,7
8;1,7
9;1,7
10;1,7
11;1,9
12;1,8
13;1,7
14;1,6
15;1,5
16;1,7
17;4,2
18;4,2
19;6,6
20;6,6
21;6,4
22;6,7
23;6,8
24;6,5
25;6,6
26;6,7
27;6,7
28;6,4
29;6,4
30;6,5
31;6,4
32;6,6
33;6,5
34;6,4
35;6,4
36;6,4
37;6,4
38;6,4
39;6,4
40;6,6
41;6,5
42;6,5
43;6,6
44;6,5
45;6,6
46;6,5
47;6,7
48;6,4
49;6,6
50;6,5
51;6,6
52;6,7
53;6,4
54;6,4
55;6,4
56;6,5
57;6,4
58;6,4
59;6,8
60;6,4
61;6,4
62;6,4
63;6,4
64;6,5
65;6,4
66;6,6
67;6,5
68;6,5
69;6,6
70;6,8
71;6,4
72;6,4
73;6,7
74;6,4
75;6,7
76;6,4
77;6,5
78;6,5
79;6,7
80;6,5
81;6,7
82;6,6
83;6,4
84;6,6
85;6,9
86;6,4
87;6,5
88;6,6
89;6,5
90;6,4
91;6,4
92;6,5
93;6,5
94;6,4
95;6,8
96;6,4
97;6,4
98;6,5
99;6,5
100;6,5
101;6,4
102;6,4
103;6,5
104;6,5
105;6,4
106;6,4
107;6,6
108;6,8
109;6,4
110;6,5
111;6,7
112;6,6
113;6,8
114;6,6
115;6,4
116;6,4
117;6,4
118;6,6
119;6,7
120;6,4
121;6,4
122;6,5
123;6,5
124;6,5
125;6,5
126;6,8
127;6,4
128;6,6
129;6,4
130;6,8
131;6,6
132;6,6
133;6,5
134;6,4
135;6,5
136;6,5
137;6,4
138;6,6
139;6,6
140;6,4
141;6,5
142;6,6
143;6,4
144;6,5
145;6,7
146;6,5
147;6,4
148;6,4
149;6,9
150;6,4
151;6,4
152;6,4
153;6,5
154;6,5
155;6,6
156;6,4
157;6,4
158;6,5
159;6,6
160;6,4
161;6,4
162;6,7
163;6,4
164;6,6
165;6,5
166;6,5
167;6,4
168;6,7
169;6,8
170;6,4
171;6,4
172;6,6
173;6,4
174;6,5
175;6,6
176;6,4
177;6,6
178;6,4
179;6,5
180;6,4
181;6,4
182;6,6
183;6,6
184;6,4
185;6,7
186;6,5
187;6,6
188;6,4
189;6,5
190;6,5
191;6,6
192;6,6
193;6,4
194;6,6
195;6,4
196;6,9
197;6,7
198;6,7
199;6,4
200;6,8
201;6,4
202;6,6
203;6,6
204;6,5
205;6,6
206;6,6
207;6,6
208;6,6
209;6,5
210;6,5
211;6,4
212;6,4
213;6,7
214;6,7
215;6,5
216;6,5
217;6,4
218;6,4
219;6,9
220;6,4
221;6,4
222;6,5
223;6,4
224;6,4
225;6,4
226;6,6
227;6,4
228;6,6
229;6,5
230;6,6
231;6,7
232;6,5
233;6,4
234;6,7
235;6,7
236;6,5
237;6,7
238;6,4
239;6,4
240;6,4
241;6,4
242;6,6
243;6,5
244;6,5
245;6,4
246;6,4
247;6,6
248;6,5
249;6,6
250;6,5
251;6,4
252;6,4
253;6,6
254;6,6
255;6,5
256;6,5
257;6,6
258;6,8
259;6,4
260;6,6
261;6,4
262;6,7
263;6,7
264;6,4
265;6,4
266;6,7
267;6,5
268;6,8
269;6,5
270;6,4
271;6,7
272;6,6
273;6,5
274;6,6
275;6,5
276;6,4
277;6,5
278;6,4
279;6,4
280;6,6
281;6,7
282;6,5
283;6,7
284;6,7
285;6,4
286;6,6
287;6,6
288;6,5
289;6,5
290;6,5
291;6,4
292;6,5
293;6,7
294;6,4
295;6,5
296;6,6
297;6,5
298;6,7
299;6,4
300;6,4
301;6,4
302;6,4
303;6,5
304;6,6
305;6,6
306;6,7
307;6,4
308;6,7
309;6,4
310;6,5
311;6,6
312;6,7
313;6,7
314;6,6
315;6,4
316;6,4
317;6,4
318;6,8
319;6,4
320;6,8
321;6,5
322;6,5
323;6,5
324;6,5
325;6,4
326;6,7
327;6,4
328;6,7
329;6,4
330;6,5
331;6,8
332;6,7
333;6,7
334;6,6
335;6,4
336;6,6
337;6,4
338;6,4
339;6,7
340;6,5
341;6,5
342;6,5
343;6,6
344;6,8
345;6,4
346;6,5
347;6,7
348;6,4
349;6,7
350;6,4
351;6,4
352;6,8
353;6,8
354;6,7
355;6,8
356;6,5
357;6,6
358;6,4
359;6,6
360;6,4
361;6,7
362;6,4
363;6,5
364;6,4
365;6,4
366;6,5
367;6,5
368;6,7
369;6,4
370;6,5
371;6,4
372;6,4
373;6,4
374;6,7
375;6,6
376;6,4
377;6,6
378;6,6
379;6,4
380;6,5
381;6,6
382;6,4
383;6,6
384;6,5
385;6,6
386;6,4
387;6,7
388;6,4
389;6,4
390;6,4
391;6,4
392;6,5
393;6,5
394;6,5
395;6,7
396;6,4
397;6,4
398;6,4
399;6,5
400;6,5
401;6,7
402;6,7
403;6,4
404;6,5
405;6,6
406;6,4
407;6,5
408;6,4
409;6,7
410;6,5
411;6,4
412;6,5
413;6,6
414;6,6
415;6,5
416;6,4
417;6,5
418;6,6
419;6,6
420;6,4
421;6,4
422;6,4
423;6,4
424;6,5
425;6,7
426;6,7
427;6,5
428;6,5
429;6,4
430;6,4
431;6,5
432;6,7
433;6,5
434;6,6
435;6,5
436;6,6
437;6,4
438;6,6
439;6,4
440;6,7
441;6,5
442;6,8
443;6,4
444;6,4
445;6,4
446;6,4
447;6,5
448;6,4
449;6,4
450;6,5
451;6,4
452;6,5
453;6,6
454;6,4
455;6,4
456;6,4
457;6,5
458;6,5
459;6,6
460;6,5
461;6,6
462;6,4
463;6,7
464;6,6
465;6,6
466;6,4
467;6,4
468;6,6
469;6,6
470;6,4
471;6,5
472;6,5
473;6,6
474;6,7
475;6,4
476;6,4
477;6,4
478;6,5
479;6,4
480;6,6
481;6,5
482;6,5
483;6,4
484;6,6
485;6,5
486;6,5
487;6,4
488;6,4
489;6,4
490;6,5
491;6,7
492;6,6
493;6,5
494;6,4
495;6,4
496;6,6
497;6,6
498;6,6
499;6,6
500;6,6
501;6,5
502;6,5
503;6,5
504;6,5
505;6,4
506;6,5
507;6,5
508;6,4
509;6,6
510;6,4
