time;watts
0;1,8
1;1,8
2;1,8
3;1,9
4;1,8
5;1,6
6;1,9
7;1,8
8;1,8
9;1,8
10;1,8
11;2,0
12;1,9
13;1,8
14;1,7
15;1,6
16;1,8
17;4,6
18;4,6
19;7,4
20;7,4
21;7,1
22;7,4
23;7,4
24;7,3
25;7,4
26;7,4
27;7,4
28;7,0
29;7,1
30;7,3
31;7,1
32;7,4
33;7,3
34;7,0
35;7,2
36;7,0
37;7,1
38;7,1
39;7,2
40;7,4
41;7,3
42;7,3
43;7,4
44;7,3
45;7,4
46;7,3
47;7,4
48;7,2
49;7,4
50;7,3
51;7,4
52;7,4
53;7,2
54;7,2
55;7,2
56;7,3
57;7,2
58;7,0
59;7,4
60;7,2
61;7,1
62;7,2
63;7,0
64;7,3
65;7,2
66;7,4
67;7,3
68;7,3
69;7,4
70;7,4
71;7,2
72;7,2
73;7,4
74;7,0
75;7,4
76;7,2
77;7,3
78;7,3
79;7,4
80;7,3
81;7,4
82;7,4
83;7,2
84;7,4
85;7,4
86;7,2
87;7,3
88;7,4
89;7,3
90;7,1
91;7,1
92;7,2
93;7,3
94;7,0
95;7,4
96;7,0
97;7,2
98;7,3
99;7,3
100;7,2
101;7,0
102;7,2
103;7,3
104;7,2
105;7,2
106;7,1
107;7,4
108;7,4
109;7,2
110;7,3
111;7,4
112;7,4
113;7,4
114;7,4
115;7,2
116;7,1
117;7,1
118;7,4
119;7,4
120;7,0
121;7,2
122;7,3
123;7,3
124;7,3
125;7,3
126;7,4
127;7,1
128;7,4
129;7,2
130;7,4
131;7,4
132;7,4
133;7,3
134;7,2
135;7,3
136;7,3
137;7,0
138;7,4
139;7,4
140;7,2
141;7,3
142;7,4
143;7,2
144;7,4
145;7,4
146;7,3
147;7,2
148;7,1
149;7,4
150;7,2
151;7,1
152;7,2
153;7,3
154;7,3
155;7,4
156;7,2
157;7,2
158;7,3
159;7,4
160;7,2
161;7,2
162;7,4
163;7,1
164;7,4
165;7,4
166;7,2
167;7,2
168;7,4
169;7,4
170;7,1
171;7,2
172;7,4
173;7,0
174;7,3
175;7,4
176;7,1
177;7,4
178;7,0
179;7,4
180;7,1
181;7,0
182;7,4
183;7,4
184;7,1
185;7,4
186;7,3
187;7,4
188;7,1
189;7,4
190;7,3
191;7,4
192;7,4
193;7,2
194;7,4
195;7,1
196;7,4
197;7,4
198;7,4
199;7,0
200;7,4
201;7,1
202;7,4
203;7,4
204;7,3
205;7,4
206;7,4
207;7,4
208;7,4
209;7,3
210;7,3
211;7,1
212;7,0
213;7,4
214;7,4
215;7,3
216;7,3
217;7,2
218;7,2
219;7,4
220;7,1
221;7,2
222;7,3
223;7,2
224;7,1
225;7,2
226;7,4
227;7,2
228;7,4
229;7,3
230;7,4
231;7,4
232;7,2
233;7,2
234;7,4
235;7,4
236;7,3
237;7,4
238;7,2
239;7,2
240;7,1
241;7,2
242;7,4
243;7,3
244;7,3
245;7,2
246;7,1
247;7,4
248;7,3
249;7,4
250;7,3
251;7,2
252;7,0
253;7,4
254;7,4
255;7,3
256;7,3
257;7,4
258;7,4
259;7,1
260;7,4
261;7,2
262;7,4
263;7,4
264;7,2
265;7,1
266;7,4
267;7,3
268;7,4
269;7,3
270;7,2
271;7,4
272;7,4
273;7,3
274;7,4
275;7,4
276;7,2
277;7,3
278;7,1
279;7,1
280;7,4
281;7,4
282;7,3
283;7,4
284;7,4
285;7,1
286;7,4
287;7,4
288;7,3
289;7,3
290;7,3
291;7,0
292;7,3
293;7,4
294;7,1
295;7,2
296;7,4
297;7,3
298;7,4
299;7,0
300;7,0
301;7,2
302;7,2
303;7,2
304;7,4
305;7,4
306;7,4
307;7,1
308;7,4
309;7,0
310;7,3
311;7,4
312;7,4
313;7,4
314;7,4
315;7,2
316;7,2
317;7,2
318;7,4
319;7,1
320;7,4
321;7,3
322;7,3
323;7,3
324;7,3
325;7,1
326;7,4
327;7,2
328;7,4
329;7,1
330;7,3
331;7,4
332;7,4
333;7,4
334;7,4
335;7,2
336;7,4
337;7,1
338;7,2
339;7,4
340;7,3
341;7,3
342;7,4
343;7,4
344;7,4
345;7,0
346;7,3
347;7,4
348;7,0
349;7,4
350;7,0
351;7,2
352;7,4
353;7,4
354;7,4
355;7,4
356;7,3
357;7,4
358;7,0
359;7,4
360;7,2
361;7,4
362;7,1
363;7,3
364;7,2
365;7,2
366;7,3
367;7,3
368;7,4
369;7,2
370;7,2
371;7,0
372;7,2
373;7,1
374;7,4
375;7,4
376;7,2
377;7,4
378;7,4
379;7,1
380;7,3
381;7,4
382;7,1
383;7,4
384;7,3
385;7,4
386;7,0
387;7,4
388;7,1
389;7,0
390;7,2
391;7,2
392;7,3
393;7,3
394;7,3
395;7,4
396;7,1
397;7,2
398;7,1
399;7,3
400;7,3
401;7,4
402;7,4
403;7,1
404;7,3
405;7,4
406;7,0
407;7,3
408;7,1
409;7,4
410;7,3
411;7,0
412;7,3
413;7,4
414;7,4
415;7,3
416;7,0
417;7,4
418;7,4
419;7,4
420;7,2
421;7,2
422;7,2
423;7,1
424;7,3
425;7,4
426;7,4
427;7,3
428;7,3
429;7,2
430;7,2
431;7,4
432;7,4
433;7,2
434;7,4
435;7,3
436;7,4
437;7,1
438;7,4
439;7,0
440;7,4
441;7,3
442;7,4
443;7,2
444;7,1
445;7,1
446;7,0
447;7,3
448;7,0
449;7,2
450;7,3
451;7,1
452;7,3
453;7,4
454;7,1
455;7,1
456;7,0
457;7,3
458;7,3
459;7,4
460;7,3
461;7,4
462;7,2
463;7,4
464;7,4
465;7,4
466;7,2
467;7,0
468;7,4
469;7,4
470;7,1
471;7,3
472;7,4
473;7,4
474;7,4
475;7,2
476;7,2
477;7,0
478;7,3
479;7,1
480;7,4
481;7,3
482;7,3
483;7,0
484;7,4
485;7,2
486;7,3
487;7,1
488;7,2
489;7,2
490;7,3
491;7,4
492;7,4
493;7,3
494;7,2
495;7,1
496;7,4
497;7,4
498;7,4
499;7,4
500;7,4
501;7,3
502;7,3
503;7,3
504;7,2
505;7,2
506;7,2
507;7,3
508;7,2
509;7,4
510;7,2
511;7,4
512;7,1
513;7,4
514;7,4
515;7,2
516;7,3
517;7,3
518;7,0
519;7,1
520;7,1
521;7,4
522;7,4
523;7,0
524;7,3
525;7,0
526;7,3
527;7,3
528;7,4
529;7,4
530;7,2
531;7,1
532;7,4
533;7,4
534;7,3
535;7,2
536;7,1
537;7,1
538;7,4
539;7,4
540;7,4
541;7,3
542;7,4
543;7,3
544;7,1
545;7,0
546;7,1
547;7,4
548;7,4
549;7,4
550;7,2
551;7,2
552;7,3
553;7,0
554;7,2
555;7,2
556;7,4
557;7,3
558;7,2
559;7,4
560;7,2
561;7,4
562;7,1
563;7,4
564;7,3
565;7,2
566;7,4
567;7,2
568;7,4
569;7,1
570;7,0
571;7,4
572;7,4
573;7,3
574;7,4
575;7,1
576;7,1
577;7,3
578;7,3
579;7,2
580;7,4
581;7,0
582;7,4
583;7,4
584;7,3
585;7,4
586;7,2
587;7,2
588;7,4
589;7,4
590;7,4
591;7,4
592;7,3
593;7,1
594;7,4
595;7,1
596;7,3
597;7,3
598;7,4
599;7,3
600;7,3
601;7,1
602;7,3
603;7,0
604;7,2
605;7,1
606;7,3
607;7,2
608;7,3
609;7,4
610;7,2
611;7,4
612;7,1
613;7,3
614;7,0
615;7,4
616;7,2
617;7,4
618;7,3
619;7,4
620;7,4
621;6,9
622;4,8
623;1,8
624;1,8
625;1,9
626;1,6
627;1,8
628;2,0
629;1,8
630;1,8
631;1,9
632;1,8
633;1,9
634;1,8
635;1,8
636;1,7
637;1,8
638;2,0
639;1,8
640;1,8
