time;watts
0;1,6
1;1,6
2;1,6
3;1,7
4;1,6
5;1,5
6;1,7
7;1,6
8;1,6
9;1,6
10;1,6
11;1,8
12;1,7
13;1,6
14;1,5
15;1,5
16;1,6
17;4,0
18;4,0
19;6,4
20;6,4
21;6,3
22;6,4
23;6,4
24;6,4
25;6,4
26;6,4
27;6,4
28;6,2
29;6,2
30;6,4
31;6,2
32;6,4
33;6,4
34;6,2
35;6,3
36;6,2
37;6,2
38;6,2
39;6,3
40;6,4
41;6,4
42;6,4
43;6,4
44;6,4
45;6,4
46;6,4
47;6,4
48;6,3
49;6,4
50;6,4
51;6,4
52;6,4
53;6,3
54;6,3
55;6,3
56;6,4
57;6,3
58;6,2
59;6,4
60;6,3
61;6,2
62;6,3
63;6,2
64;6,4
65;6,3
66;6,4
67;6,4
68;6,4
69;6,4
70;6,4
71;6,3
72;6,3
73;6,4
74;6,2
75;6,4
76;6,3
77;6,4
78;6,4
79;6,4
80;6,4
81;6,4
82;6,4
83;6,3
84;6,4
85;6,4
86;6,3
87;6,4
88;6,4
89;6,4
90;6,2
91;6,2
92;6,3
93;6,4
94;6,2
95;6,4
96;6,2
97;6,3
98;6,4
99;6,4
100;6,4
101;6,2
102;6,3
103;6,4
104;6,4
105;6,3
106;6,2
107;6,4
108;6,4
109;6,3
110;6,4
111;6,4
112;6,4
113;6,4
114;6,4
115;6,3
116;6,3
117;6,2
118;6,4
119;6,4
120;6,2
121;6,3
122;6,4
123;6,4
124;6,4
125;6,4
126;6,4
127;6,3
128;6,4
129;6,3
130;6,4
131;6,4
132;6,4
133;6,4
134;6,3
135;6,4
136;6,4
137;6,2
138;6,4
139;6,4
140;6,3
141;6,4
142;6,4
143;6,3
144;6,4
145;6,4
146;6,4
147;6,3
148;6,2
149;6,4
150;6,3
151;6,3
152;6,3
153;6,4
154;6,4
155;6,4
156;6,3
157;6,3
158;6,4
159;6,4
160;6,3
161;6,3
162;6,4
163;6,2
164;6,4
165;6,4
166;6,3
167;6,3
168;6,4
169;6,4
170;6,2
171;6,3
172;6,4
173;6,2
174;6,4
175;6,4
176;6,2
177;6,4
178;6,2
179;6,4
180;6,2
181;6,2
182;6,4
183;6,4
184;6,2
185;6,4
186;6,4
187;6,4
188;6,2
189;6,4
190;6,4
191;6,4
192;6,4
193;6,3
194;6,4
195;6,2
196;6,4
197;6,4
198;6,4
199;6,2
200;6,4
201;6,3
202;6,4
203;6,4
204;6,4
205;6,4
206;6,4
207;6,4
208;6,4
209;6,4
210;6,4
211;6,2
212;6,2
213;6,4
214;6,4
215;6,4
216;6,4
217;6,3
218;6,3
219;6,4
220;6,2
221;6,3
222;6,4
223;6,3
224;6,2
225;6,3
226;6,4
227;6,3
228;6,4
229;6,4
230;6,4
231;6,4
232;6,3
233;6,3
234;6,4
235;6,4
236;6,4
237;6,4
238;6,3
239;6,3
240;6,2
241;6,3
242;6,4
243;6,4
244;6,4
245;6,3
246;6,2
247;6,4
248;6,4
249;6,4
250;6,4
251;6,3
252;6,2
253;6,4
254;6,4
255;6,4
256;6,4
257;6,4
258;6,4
259;6,3
260;6,4
261;6,3
262;6,4
263;6,4
264;6,3
265;6,2
266;6,4
267;6,4
268;6,4
269;6,4
270;6,3
271;6,4
272;6,4
273;6,4
274;6,4
275;6,4
276;6,3
277;6,4
278;6,2
279;6,2
280;6,4
281;6,4
282;6,4
283;6,4
284;6,4
285;6,2
286;6,4
287;6,4
288;6,4
289;6,4
290;6,4
291;6,2
292;6,4
293;6,4
294;6,2
295;6,3
296;6,4
297;6,4
298;6,4
299;6,2
300;6,2
301;6,3
302;6,3
303;6,4
304;6,4
305;6,4
306;6,4
307;6,2
308;6,4
309;6,2
310;6,4
311;6,4
312;6,4
313;6,4
314;6,4
315;6,3
316;6,3
317;6,3
318;6,4
319;6,3
320;6,4
321;6,4
322;6,4
323;6,4
324;6,4
325;6,3
326;6,4
327;6,3
328;6,4
329;6,2
330;6,4
331;6,4
332;6,4
333;6,4
334;6,4
335;6,3
336;6,4
337;6,2
338;6,3
339;6,4
340;6,4
341;6,4
342;6,4
343;6,4
344;6,4
345;6,2
346;6,4
347;6,4
348;6,2
349;6,4
350;6,2
351;6,3
352;6,4
353;6,4
354;6,4
355;6,4
356;6,4
357;6,4
358;6,2
359;6,4
360;6,3
361;6,4
362;6,2
363;6,4
364;6,3
365;6,3
366;6,4
367;6,4
368;6,4
369;6,3
370;6,3
371;6,2
372;6,3
373;6,3
374;6,4
375;6,4
376;6,3
377;6,4
378;6,4
379;6,2
380;6,4
381;6,4
382;6,3
383;6,4
384;6,4
385;6,4
386;6,2
387;6,4
388;6,2
389;6,2
390;6,3
391;6,3
392;6,4
393;6,4
394;6,4
395;6,4
396;6,2
397;6,3
398;6,2
399;6,4
400;6,4
401;6,4
402;6,4
403;6,2
404;6,4
405;6,4
406;6,2
407;6,4
408;6,2
409;6,4
410;6,4
411;6,2
412;6,4
413;6,4
414;6,4
415;6,4
416;6,2
417;6,4
418;6,4
419;6,4
420;6,3
421;6,3
422;6,3
423;6,2
424;6,4
425;6,4
426;6,4
427;6,4
428;6,4
429;6,3
430;6,3
431;6,4
432;6,4
433;6,3
434;6,4
435;6,4
436;6,4
437;6,3
438;6,4
439;6,2
440;6,4
441;6,4
442;6,4
443;6,3
444;6,2
445;6,2
446;6,2
447;6,4
448;6,2
449;6,3
450;6,4
451;6,2
452;6,4
453;6,4
454;6,2
455;6,2
