time;watts
0;1,6
1;1,6
2;1,6
3;1,7
4;1,6
5;1,6
6;1,7
7;1,6
8;1,6
9;1,6
10;1,6
11;1,8
12;1,7
13;1,6
14;1,6
15;1,6
16;1,6
17;3,8
18;3,8
19;6,0
20;6,0
21;5,9
22;6,0
23;6,0
24;6,0
25;6,0
26;6,0
27;6,0
28;5,9
29;5,9
30;6,0
31;5,9
32;6,0
33;6,0
34;5,9
35;5,9
36;5,9
37;5,9
38;5,9
39;5,9
40;6,0
41;6,0
42;6,0
43;6,0
44;6,0
45;6,0
46;6,0
47;6,0
48;5,9
49;6,0
50;6,0
51;6,0
52;6,0
53;5,9
54;5,9
55;5,9
56;6,0
57;5,9
58;5,9
59;6,0
60;5,9
61;5,9
62;5,9
63;5,9
64;6,0
65;5,9
66;6,0
67;6,0
68;6,0
69;6,0
70;6,0
71;5,9
72;5,9
73;6,0
74;5,9
75;6,0
76;5,9
77;6,0
78;6,0
79;6,0
80;6,0
81;6,0
82;6,0
83;5,9
84;6,0
85;6,0
86;5,9
87;6,0
88;6,0
89;6,0
90;5,9
91;5,9
92;6,0
93;6,0
94;5,9
95;6,0
96;5,9
97;5,9
98;6,0
99;6,0
100;6,0
101;5,9
102;5,9
103;6,0
104;6,0
105;5,9
106;5,9
107;6,0
108;6,0
109;5,9
110;6,0
111;6,0
112;6,0
113;6,0
114;6,0
115;5,9
116;5,9
117;5,9
118;6,0
119;6,0
120;5,9
121;5,9
122;6,0
123;6,0
124;6,0
125;6,0
126;6,0
127;5,9
128;6,0
129;5,9
130;6,0
131;6,0
132;6,0
133;6,0
134;5,9
135;6,0
136;6,0
137;5,9
138;6,0
139;6,0
140;5,9
141;6,0
142;6,0
143;5,9
144;6,0
145;6,0
146;6,0
147;5,9
148;5,9
149;6,0
150;5,9
151;5,9
152;5,9
153;6,0
154;6,0
155;6,0
156;5,9
157;5,9
158;6,0
159;6,0
160;5,9
161;5,9
162;6,0
163;5,9
164;6,0
165;6,0
166;6,0
167;5,9
168;6,0
169;6,0
170;5,9
171;5,9
172;6,0
173;5,9
174;6,0
175;6,0
176;5,9
177;6,0
178;5,9
179;6,0
180;5,9
181;5,9
182;6,0
183;6,0
184;5,9
185;6,0
186;6,0
187;6,0
188;5,9
189;6,0
190;6,0
191;6,0
192;6,0
193;5,9
194;6,0
195;5,9
196;6,0
197;6,0
198;6,0
199;5,9
200;6,0
201;5,9
202;6,0
203;6,0
204;6,0
205;6,0
206;6,0
207;6,0
208;6,0
209;6,0
210;6,0
211;5,9
212;5,9
213;6,0
214;6,0
215;6,0
216;6,0
217;5,9
218;5,9
219;6,0
220;5,9
221;5,9
222;6,0
223;6,0
224;5,9
225;5,9
226;6,0
227;5,9
228;6,0
229;6,0
230;6,0
231;6,0
232;6,0
233;5,9
234;6,0
235;6,0
236;6,0
237;6,0
238;5,9
239;5,9
240;5,9
241;5,9
242;6,0
243;6,0
244;6,0
245;5,9
246;5,9
247;6,0
248;6,0
249;6,0
250;6,0
251;5,9
252;5,9
253;6,0
254;6,0
255;6,0
256;6,0
257;6,0
258;6,0
259;5,9
260;6,0
261;5,9
262;6,0
263;6,0
264;5,9
265;5,9
266;6,0
267;6,0
268;6,0
269;6,0
270;5,9
271;6,0
272;6,0
273;6,0
274;6,0
275;6,0
276;5,9
277;6,0
278;5,9
279;5,9
280;6,0
281;6,0
282;6,0
283;6,0
284;6,0
285;5,9
286;6,0
287;6,0
288;6,0
289;6,0
290;6,0
291;5,9
292;6,0
293;6,0
294;5,9
295;6,0
296;6,0
297;6,0
298;6,0
299;5,9
300;5,9
301;5,9
302;5,9
303;6,0
304;6,0
305;6,0
306;6,0
307;5,9
308;6,0
309;5,9
310;6,0
311;6,0
312;6,0
313;6,0
314;6,0
315;5,9
316;5,9
317;5,9
318;6,0
319;5,9
320;6,0
321;6,0
322;6,0
323;6,0
324;6,0
325;5,9
326;6,0
327;5,9
328;6,0
329;5,9
330;6,0
331;6,0
332;6,0
333;6,0
334;6,0
335;5,9
336;6,0
337;5,9
338;5,9
339;6,0
340;6,0
341;6,0
342;6,0
343;6,0
344;6,0
345;5,9
346;6,0
347;6,0
348;5,9
349;6,0
350;5,9
351;5,9
352;6,0
353;6,0
354;6,0
355;6,0
356;6,0
357;6,0
358;5,9
359;6,0
360;5,9
361;6,0
362;5,9
363;6,0
364;5,9
365;6,0
366;6,0
367;6,0
368;6,0
369;5,9
370;6,0
371;5,9
372;5,9
373;5,9
374;6,0
375;6,0
376;5,9
377;6,0
378;6,0
379;5,9
380;6,0
381;6,0
382;5,9
383;6,0
384;6,0
385;6,0
386;5,9
387;6,0
388;5,9
389;5,9
390;5,9
391;5,9
392;6,0
393;6,0
394;6,0
395;6,0
396;5,9
397;5,9
398;5,9
399;6,0
400;6,0
401;6,0
402;6,0
403;5,9
404;6,0
405;6,0
406;5,9
407;6,0
408;5,9
409;6,0
410;6,0
411;5,9
412;6,0
413;6,0
414;6,0
415;6,0
416;5,9
417;6,0
418;6,0
419;6,0
420;5,9
421;5,9
422;5,9
423;5,9
424;6,0
425;6,0
426;6,0
427;6,0
428;6,0
429;5,9
430;5,9
431;6,0
432;6,0
433;6,0
434;6,0
435;6,0
436;6,0
437;5,9
438;6,0
439;5,9
440;6,0
441;6,0
442;6,0
443;5,9
444;5,9
445;5,9
446;5,9
447;6,0
448;5,9
449;5,9
450;6,0
451;5,9
452;6,0
453;6,0
454;5,9
455;5,9
