time;watts
0;1,6
1;1,6
2;1,6
3;1,7
4;1,6
5;1,5
6;1,7
7;1,6
8;1,6
9;1,6
10;1,6
11;1,8
12;1,7
13;1,6
14;1,5
15;1,5
16;1,6
17;4,3
18;4,3
19;7,0
20;7,0
21;6,9
22;7,0
23;7,0
24;7,0
25;7,0
26;7,0
27;7,0
28;6,8
29;6,9
30;7,0
31;6,8
32;7,0
33;7,0
34;6,8
35;6,9
36;6,8
37;6,8
38;6,8
39;6,9
40;7,0
41;7,0
42;7,0
43;7,0
44;7,0
45;7,0
46;7,0
47;7,0
48;6,9
49;7,0
50;7,0
51;7,0
52;7,0
53;6,9
54;6,9
55;6,9
56;7,0
57;6,9
58;6,8
59;7,0
60;6,9
61;6,9
62;6,9
63;6,8
64;7,0
65;6,9
66;7,0
67;7,0
68;7,0
69;7,0
70;7,0
71;6,9
72;6,9
73;7,0
74;6,8
75;7,0
76;6,9
77;7,0
78;7,0
79;7,0
80;7,0
81;7,0
82;7,0
83;6,9
84;7,0
85;7,0
86;6,9
87;7,0
88;7,0
89;7,0
90;6,8
91;6,8
92;7,0
93;7,0
94;6,8
95;7,0
96;6,8
97;6,9
98;7,0
99;7,0
100;7,0
101;6,8
102;6,9
103;7,0
104;7,0
105;7,0
106;6,9
107;7,0
108;7,0
109;6,9
110;7,0
111;7,0
112;7,0
113;7,0
114;7,0
115;6,9
116;6,9
117;6,9
118;7,0
119;7,0
120;6,8
121;6,9
122;7,0
123;7,0
124;7,0
125;7,0
126;7,0
127;6,9
128;7,0
129;6,9
130;7,0
131;7,0
132;7,0
133;7,0
134;7,0
135;7,0
136;7,0
137;6,8
138;7,0
139;7,0
140;6,9
141;7,0
142;7,0
143;6,9
144;7,0
145;7,0
146;7,0
147;6,9
148;6,8
149;7,0
150;6,9
151;6,9
152;6,9
153;7,0
154;7,0
155;7,0
156;6,9
157;7,0
158;7,0
159;7,0
160;6,9
161;6,9
162;7,0
163;6,9
164;7,0
165;7,0
166;7,0
167;6,9
168;7,0
169;7,0
170;6,9
171;6,9
172;7,0
173;6,8
174;7,0
175;7,0
176;6,9
177;7,0
178;6,8
179;7,0
180;6,8
181;6,8
182;7,0
183;7,0
184;6,9
185;7,0
186;7,0
187;7,0
188;6,9
189;7,0
190;7,0
191;7,0
192;7,0
193;6,9
194;7,0
195;6,9
196;7,0
197;7,0
198;7,0
199;6,8
200;7,0
201;6,9
202;7,0
203;7,0
204;7,0
205;7,0
206;7,0
207;7,0
208;7,0
209;7,0
210;7,0
211;6,9
212;6,8
213;7,0
214;7,0
215;7,0
216;7,0
217;6,9
218;6,9
219;7,0
220;6,9
221;6,9
222;7,0
223;7,0
224;6,9
225;6,9
226;7,0
227;6,9
228;7,0
229;7,0
230;7,0
231;7,0
232;7,0
233;6,9
234;7,0
235;7,0
236;7,0
237;7,0
238;6,9
239;6,9
240;6,9
241;6,9
242;7,0
243;7,0
244;7,0
245;6,9
246;6,8
247;7,0
248;7,0
249;7,0
250;7,0
251;6,9
252;6,8
253;7,0
254;7,0
255;7,0
256;7,0
257;7,0
258;7,0
259;6,9
260;7,0
261;6,9
262;7,0
263;7,0
264;6,9
265;6,8
266;7,0
267;7,0
268;7,0
269;7,0
270;6,9
271;7,0
272;7,0
273;7,0
274;7,0
275;7,0
276;6,9
277;7,0
278;6,8
279;6,9
280;7,0
281;7,0
282;7,0
283;7,0
284;7,0
285;6,9
286;7,0
287;7,0
288;7,0
289;7,0
290;7,0
291;6,8
292;7,0
293;7,0
294;6,9
295;7,0
296;7,0
297;7,0
298;7,0
299;6,8
300;6,8
301;6,9
302;6,9
303;7,0
304;7,0
305;7,0
306;7,0
307;6,9
308;7,0
309;6,8
310;7,0
311;7,0
312;7,0
313;7,0
314;7,0
315;6,9
316;6,9
317;6,9
318;7,0
319;6,9
320;7,0
321;7,0
322;7,0
323;7,0
324;7,0
325;6,9
326;7,0
327;6,9
328;7,0
329;6,8
330;7,0
331;7,0
332;7,0
333;7,0
334;7,0
335;6,9
336;7,0
337;6,9
338;6,9
339;7,0
340;7,0
341;7,0
342;7,0
343;7,0
344;7,0
345;6,8
346;7,0
347;7,0
348;6,8
349;7,0
350;6,8
351;6,9
352;7,0
353;7,0
354;7,0
355;7,0
356;7,0
357;7,0
358;6,8
359;7,0
360;6,9
361;7,0
362;6,9
363;7,0
364;6,9
365;7,0
366;7,0
367;7,0
368;7,0
369;6,9
370;7,0
371;6,8
372;6,9
373;6,9
374;7,0
375;7,0
376;6,9
377;7,0
378;7,0
379;6,8
380;7,0
381;7,0
382;6,9
383;7,0
384;7,0
385;7,0
386;6,8
387;7,0
388;6,9
389;6,8
390;6,9
391;6,9
392;7,0
393;7,0
394;7,0
395;7,0
396;6,8
397;6,9
398;6,9
399;7,0
400;7,0
401;7,0
402;7,0
403;6,9
404;7,0
405;7,0
406;6,8
407;7,0
408;6,9
409;7,0
410;7,0
411;6,8
412;7,0
413;7,0
414;7,0
415;7,0
416;6,8
417;7,0
418;7,0
419;7,0
420;6,9
421;6,9
422;6,9
423;6,9
424;7,0
425;7,0
426;7,0
427;7,0
428;7,0
429;6,9
430;6,9
431;7,0
432;7,0
433;7,0
434;7,0
435;7,0
436;7,0
437;6,9
438;7,0
439;6,8
440;7,0
441;7,0
442;7,0
443;6,9
444;6,8
445;6,9
446;6,8
447;7,0
448;6,8
449;6,9
450;7,0
451;6,9
452;7,0
453;7,0
454;6,9
455;6,8
