time;watts
0;3,0
1;3,0
2;3,0
3;3,0
4;3,0
5;2,9
6;3,0
7;3,0
8;3,0
9;3,0
10;3,0
11;3,0
12;3,0
13;3,0
14;2,9
15;2,9
16;3,0
17;4,4
18;4,4
19;5,7
20;5,7
21;5,4
22;5,9
23;6,0
24;5,6
25;5,7
26;5,9
27;5,8
28;5,3
29;5,4
30;5,6
31;5,4
32;5,8
33;5,6
34;5,3
35;5,5
36;5,3
37;5,3
38;5,3
39;5,5
40;5,7
41;5,6
42;5,6
43;5,7
44;5,6
45;5,7
46;5,6
47;5,9
48;5,5
49;5,7
50;5,6
51;5,7
52;5,9
53;5,5
54;5,5
55;5,5
56;5,6
57;5,5
58;5,2
59;6,0
60;5,4
61;5,4
62;5,5
63;5,3
64;5,6
65;5,5
66;5,8
67;5,6
68;5,6
69;5,7
70;6,0
71;5,5
72;5,5
73;5,9
74;5,3
75;5,9
76;5,5
77;5,6
78;5,6
79;5,8
80;5,6
81;5,9
82;5,8
83;5,5
84;5,7
85;6,3
86;5,5
87;5,6
88;5,7
89;5,6
90;5,4
91;5,4
92;5,5
93;5,6
94;5,1
95;6,0
96;5,1
97;5,5
98;5,6
99;5,6
100;5,5
101;5,3
102;5,5
103;5,6
104;5,5
105;5,5
106;5,4
107;5,7
108;6,0
109;5,5
110;5,6
111;5,8
112;5,8
113;6,0
114;5,7
115;5,5
116;5,4
117;5,4
118;5,8
119;5,9
120;5,3
121;5,5
122;5,6
123;5,6
124;5,6
125;5,6
126;6,0
127;5,4
128;5,7
129;5,5
130;6,0
131;5,7
132;5,7
133;5,6
134;5,5
135;5,6
136;5,6
137;5,3
138;5,8
139;5,8
140;5,5
141;5,6
142;5,7
143;5,5
144;5,7
145;5,8
146;5,6
147;5,5
148;5,4
149;6,2
150;5,5
151;5,4
152;5,5
153;5,6
154;5,6
155;5,8
156;5,5
157;5,5
158;5,6
159;5,7
160;5,5
161;5,5
162;5,9
163;5,4
164;5,7
165;5,7
166;5,5
167;5,5
168;5,9
169;5,9
170;5,4
171;5,5
172;5,7
173;5,3
174;5,6
175;5,7
176;5,4
177;5,7
178;5,3
179;5,7
180;5,3
181;5,1
182;5,8
183;5,7
184;5,4
185;5,9
186;5,6
187;5,7
188;5,4
189;5,7
190;5,6
191;5,7
192;5,8
193;5,5
194;5,8
195;5,4
196;6,3
197;5,8
198;5,9
199;5,2
200;5,9
201;5,4
202;5,7
203;5,8
204;5,6
205;5,8
206;5,8
207;5,7
208;5,8
209;5,6
210;5,6
211;5,4
212;5,2
213;5,8
214;5,8
215;5,6
216;5,6
217;5,5
218;5,5
219;6,1
220;5,4
221;5,5
222;5,6
223;5,5
224;5,4
225;5,5
226;5,7
227;5,5
228;5,7
229;5,6
230;5,7
231;5,8
232;5,5
233;5,5
234;5,9
235;5,9
236;5,6
237;5,9
238;5,5
239;5,5
240;5,4
241;5,5
242;5,7
243;5,5
244;5,6
245;5,5
246;5,4
247;5,8
248;5,5
249;5,8
250;5,6
251;5,5
252;4,9
253;5,8
254;5,7
255;5,6
256;5,6
257;5,7
258;6,0
259;5,4
260;5,7
261;5,5
262;5,8
263;5,9
264;5,5
265;5,3
266;5,9
267;5,6
268;6,0
269;5,6
270;5,5
271;5,9
272;5,7
273;5,6
274;5,7
275;5,7
276;5,5
277;5,5
278;5,4
279;5,4
280;5,7
281;5,9
282;5,6
283;5,8
284;5,9
285;5,4
286;5,8
287;5,7
288;5,6
289;5,6
290;5,6
291;5,3
292;5,6
293;5,9
294;5,4
295;5,5
296;5,7
297;5,6
298;5,9
299;5,3
300;5,2
301;5,5
302;5,5
303;5,5
304;5,7
305;5,7
306;5,9
307;5,4
308;5,9
309;5,3
310;5,6
311;5,7
312;5,9
313;5,8
314;5,7
315;5,5
316;5,5
317;5,5
318;5,9
319;5,4
320;5,9
321;5,5
322;5,6
323;5,6
324;5,6
325;5,4
326;5,9
327;5,5
328;5,8
329;5,3
330;5,6
331;5,9
332;5,9
333;5,8
334;5,7
335;5,5
336;5,7
337;5,4
338;5,5
339;5,9
340;5,6
341;5,6
342;5,7
343;5,8
344;5,9
345;5,2
346;5,5
347;5,9
348;5,2
349;5,9
350;5,2
351;5,5
352;6,0
353;5,9
354;5,8
355;6,0
356;5,6
357;5,7
358;5,3
359;5,7
360;5,5
361;5,8
362;5,4
363;5,6
364;5,5
365;5,5
366;5,6
367;5,6
368;5,8
369;5,5
370;5,5
371;5,3
372;5,5
373;5,4
374;5,9
375;5,7
376;5,5
377;5,7
378;5,8
379;5,3
380;5,5
381;5,8
382;5,4
383;5,7
384;5,6
385;5,7
386;5,2
387;5,8
388;5,4
389;5,2
390;5,5
391;5,5
392;5,6
393;5,6
394;5,6
395;5,8
396;5,4
397;5,5
398;5,4
399;5,6
400;5,6
401;5,8
402;5,9
403;5,4
404;5,6
405;5,7
406;5,3
407;5,6
408;5,4
409;5,9
410;5,6
411;5,3
412;5,6
413;5,7
414;5,7
415;5,6
416;5,2
417;5,7
418;5,8
419;5,7
420;5,5
421;5,5
422;5,5
423;5,4
424;5,6
425;5,9
426;5,9
427;5,6
428;5,6
429;5,5
430;5,5
431;5,7
432;5,8
433;5,5
434;5,7
435;5,6
436;5,7
437;5,4
438;5,7
439;5,3
440;5,9
441;5,6
442;6,0
443;5,5
444;5,4
445;5,4
446;5,2
447;5,6
448;5,2
449;5,5
450;5,6
451;5,4
452;5,6
453;5,7
454;5,4
455;5,3
456;5,3
457;5,6
458;5,6
459;5,7
460;5,6
461;5,7
462;5,5
463;5,8
464;5,7
465;5,7
466;5,5
467;5,3
468;5,8
469;5,7
470;5,4
471;5,5
472;5,7
473;5,8
474;5,8
475;5,5
476;5,5
477;5,2
478;5,6
479;5,4
480;5,8
481;5,6
482;5,6
483;5,2
484;5,8
485;5,5
486;5,6
487;5,4
488;5,5
489;5,5
490;5,6
491;5,8
492;5,8
493;5,6
494;5,5
495;5,4
496;5,7
497;5,8
498;5,8
499;5,8
500;5,8
501;5,6
502;5,6
503;5,6
504;5,5
505;5,5
506;5,5
507;5,6
508;5,5
509;5,7
510;5,4
511;5,9
512;5,4
513;5,8
514;5,7
515;5,5
516;5,6
517;5,6
518;4,8
519;5,4
520;5,4
521;5,8
522;5,7
523;5,3
524;5,6
525;5,1
526;5,6
527;5,6
528;5,7
529;5,7
530;5,5
531;5,4
532;5,7
533;5,9
534;5,6
535;5,5
536;5,3
537;5,4
538;5,9
539;5,8
540;5,7
541;5,6
542;5,8
543;5,6
544;5,4
545;5,2
546;5,4
547;5,8
548;5,9
549;5,7
550;5,5
551;5,5
