time;watts
0;3,0
1;3,0
2;3,0
3;3,0
4;3,0
5;2,9
6;3,0
7;3,0
8;3,0
9;3,0
10;3,0
11;3,0
12;3,0
13;3,0
14;2,9
15;2,9
16;3,0
17;3,9
18;4,0
19;4,9
20;4,9
21;4,7
22;5,0
23;5,1
24;4,8
25;4,9
26;5,0
27;5,0
28;4,6
29;4,6
30;4,8
31;4,6
32;4,9
33;4,8
34;4,5
35;4,7
36;4,6
37;4,6
38;4,6
39;4,7
40;4,9
41;4,8
42;4,8
43;4,9
44;4,8
45;4,9
46;4,8
47;5,0
48;4,7
49;4,9
50;4,8
51;4,9
52;5,0
53;4,7
54;4,7
55;4,7
56;4,8
57;4,7
58;4,5
59;5,1
60;4,7
61;4,6
62;4,7
63;4,5
64;4,8
65;4,7
66;4,9
67;4,8
68;4,8
69;4,9
70;5,1
71;4,7
72;4,7
73;5,0
74;4,5
75;5,0
76;4,7
77;4,8
78;4,8
79;5,0
80;4,8
81;5,0
82;4,9
83;4,7
84;4,9
85;5,3
86;4,7
87;4,8
88;4,9
89;4,8
90;4,6
91;4,6
92;4,8
93;4,8
94;4,4
95;5,2
96;4,4
97;4,7
98;4,8
99;4,8
100;4,8
101;4,6
102;4,7
103;4,8
104;4,8
105;4,7
106;4,6
107;4,9
108;5,1
109;4,7
110;4,8
111;5,0
112;4,9
113;5,1
114;4,9
115;4,7
116;4,7
117;4,6
118;5,0
119;5,0
120;4,5
121;4,7
122;4,8
123;4,8
124;4,8
125;4,8
126;5,1
127;4,7
128;4,9
129;4,7
130;5,1
131;4,9
132;4,9
133;4,8
134;4,7
135;4,8
136;4,8
137;4,5
138;4,9
139;4,9
140;4,7
141;4,8
142;4,9
143;4,7
144;4,8
145;5,0
146;4,8
147;4,7
148;4,6
149;5,3
150;4,7
151;4,7
152;4,7
153;4,8
154;4,8
155;4,9
156;4,7
157;4,7
158;4,8
159;4,9
160;4,7
161;4,7
162;5,1
163;4,6
164;4,9
165;4,8
166;4,7
167;4,7
168;5,0
169;5,1
170;4,6
171;4,7
172;4,9
173;4,5
174;4,8
175;4,9
176;4,7
177;4,9
178;4,6
179;4,9
180;4,6
181;4,4
182;4,9
183;4,9
184;4,6
185;5,1
186;4,8
187;4,9
188;4,6
189;4,9
190;4,8
191;4,9
192;4,9
193;4,7
194;4,9
195;4,6
196;5,4
197;5,0
198;5,0
199;4,4
200;5,1
201;4,7
202;4,9
203;5,0
204;4,8
205;5,0
206;4,9
207;4,9
208;4,9
209;4,8
210;4,8
211;4,6
212;4,5
213;5,0
214;5,0
215;4,8
216;4,8
217;4,7
218;4,7
219;5,2
220;4,6
221;4,7
222;4,8
223;4,7
224;4,6
225;4,7
226;4,9
227;4,7
228;4,9
229;4,8
230;4,9
231;5,0
232;4,7
233;4,7
234;5,0
235;5,0
236;4,8
237;5,0
238;4,7
239;4,7
240;4,6
241;4,7
242;4,9
243;4,8
244;4,8
245;4,7
246;4,6
247;4,9
248;4,8
249;4,9
250;4,8
251;4,7
252;4,3
253;4,9
254;4,9
255;4,8
256;4,8
257;4,9
258;5,1
259;4,7
260;4,9
261;4,7
262;5,0
263;5,0
264;4,7
265;4,6
266;5,0
267;4,8
268;5,1
269;4,8
270;4,7
271;5,0
272;4,9
273;4,8
274;4,9
275;4,8
276;4,7
277;4,8
278;4,6
279;4,6
280;4,9
281;5,0
282;4,8
283;5,0
284;5,0
285;4,6
286;4,9
287;4,9
288;4,8
289;4,8
290;4,8
291;4,6
292;4,8
293;5,1
294;4,6
295;4,7
296;4,9
297;4,8
298;5,1
299;4,6
300;4,5
301;4,7
302;4,7
303;4,8
304;4,9
305;4,9
306;5,0
307;4,6
308;5,0
309;4,5
310;4,8
311;4,9
312;5,0
313;5,0
314;4,9
315;4,7
316;4,7
317;4,7
318;5,1
319;4,7
320;5,1
321;4,8
322;4,8
323;4,8
324;4,8
325;4,7
326;5,1
327;4,7
328;5,0
329;4,6
330;4,8
331;5,1
332;5,0
333;5,0
334;4,9
335;4,7
336;4,9
337;4,6
338;4,7
339;5,1
340;4,8
341;4,8
342;4,8
343;4,9
344;5,1
345;4,5
346;4,8
347;5,0
348;4,4
349;5,1
350;4,4
351;4,7
352;5,1
353;5,1
354;5,0
355;5,2
356;4,8
357;4,9
358;4,6
359;4,9
360;4,7
361;5,0
362;4,6
363;4,8
364;4,7
365;4,7
366;4,8
367;4,8
368;5,0
369;4,7
370;4,8
371;4,5
372;4,7
373;4,7
374;5,0
375;4,9
376;4,7
377;4,9
378;4,9
379;4,6
380;4,8
381;4,9
382;4,7
383;4,9
384;4,8
385;4,9
386;4,5
387;5,0
388;4,7
389;4,5
390;4,7
391;4,7
392;4,8
393;4,8
394;4,8
395;5,0
396;4,6
397;4,7
398;4,6
399;4,8
400;4,8
401;5,0
402;5,0
403;4,6
404;4,8
405;4,9
406;4,6
407;4,8
408;4,7
409;5,0
410;4,8
411;4,6
412;4,8
413;4,9
414;4,9
415;4,8
416;4,5
417;4,8
418;4,9
419;4,9
420;4,7
421;4,7
422;4,7
423;4,6
424;4,8
425;5,0
426;5,1
427;4,8
428;4,8
429;4,7
430;4,7
431;4,8
432;5,0
433;4,8
434;4,9
435;4,8
436;4,9
437;4,7
438;4,9
439;4,6
440;5,0
441;4,8
442;5,1
443;4,7
444;4,6
445;4,6
446;4,5
447;4,8
448;4,5
449;4,7
450;4,8
451;4,6
452;4,8
453;4,9
454;4,6
455;4,6
456;4,6
457;4,8
458;4,8
459;4,9
460;4,8
461;4,9
462;4,7
463;5,0
464;4,9
465;4,9
466;4,7
467;4,6
468;4,9
469;4,9
470;4,6
471;4,8
472;4,8
473;5,0
474;5,0
475;4,7
476;4,7
477;4,5
478;4,8
479;4,6
480;4,9
481;4,8
482;4,8
483;4,5
484;5,0
485;4,8
486;4,8
487;4,6
488;4,7
489;4,7
490;4,8
491;5,0
492;4,9
493;4,8
494;4,7
495;4,7
496;4,9
497;5,0
498;5,0
499;5,0
500;5,0
501;4,8
502;4,8
503;4,8
504;4,7
505;4,7
506;4,8
507;4,8
508;4,7
509;4,9
510;4,7
511;5,0
512;4,6
513;5,0
514;4,9
515;4,7
516;4,8
517;4,8
518;4,3
519;4,6
520;4,7
521;5,0
522;4,8
523;4,6
524;4,8
525;4,4
526;4,8
527;4,8
528;4,8
529;4,9
530;4,7
531;4,6
532;4,8
533;5,0
534;4,8
535;4,7
536;4,6
537;4,6
538;5,0
539;5,0
540;4,9
541;4,8
542;4,9
543;4,8
544;4,6
545;4,4
546;4,6
547;4,9
548;5,0
549;4,9
550;4,7
551;4,7
