time;watts
0;2,9
1;2,9
2;2,9
3;3,0
4;2,9
5;2,9
6;2,9
7;2,9
8;2,9
9;2,9
10;2,9
11;3,0
12;3,0
13;2,9
14;2,9
15;2,9
16;2,9
17;3,8
18;3,8
19;4,7
20;4,7
21;4,5
22;4,8
23;4,9
24;4,6
25;4,7
26;4,8
27;4,8
28;4,4
29;4,4
30;4,6
31;4,4
32;4,7
33;4,6
34;4,3
35;4,5
36;4,4
37;4,4
38;4,4
39;4,5
40;4,7
41;4,6
42;4,6
43;4,7
44;4,6
45;4,7
46;4,6
47;4,8
48;4,5
49;4,7
50;4,6
51;4,7
52;4,8
53;4,5
54;4,5
55;4,5
56;4,6
57;4,5
58;4,3
59;4,9
60;4,5
61;4,5
62;4,5
63;4,3
64;4,6
65;4,5
66;4,7
67;4,6
68;4,6
69;4,7
70;4,9
71;4,5
72;4,5
73;4,8
74;4,3
75;4,8
76;4,5
77;4,6
78;4,6
79;4,8
80;4,6
81;4,8
82;4,7
83;4,5
84;4,7
85;5,1
86;4,5
87;4,6
88;4,7
89;4,6
90;4,4
91;4,4
92;4,6
93;4,6
94;4,3
95;4,9
96;4,3
97;4,5
98;4,6
99;4,6
100;4,6
101;4,4
102;4,5
103;4,6
104;4,6
105;4,5
106;4,5
107;4,7
108;4,9
109;4,5
110;4,6
111;4,8
112;4,7
113;4,9
114;4,7
115;4,5
116;4,5
117;4,4
118;4,7
119;4,8
120;4,4
121;4,5
122;4,6
123;4,6
124;4,6
125;4,6
126;4,9
127;4,5
128;4,7
129;4,5
130;4,9
131;4,7
132;4,7
133;4,6
134;4,5
135;4,6
136;4,6
137;4,3
138;4,7
139;4,7
140;4,5
141;4,6
142;4,7
143;4,5
144;4,6
145;4,8
146;4,6
147;4,5
148;4,4
149;5,0
150;4,5
151;4,5
152;4,5
153;4,6
154;4,6
155;4,7
156;4,5
157;4,5
158;4,6
159;4,7
160;4,5
161;4,5
162;4,8
163;4,4
164;4,7
165;4,6
166;4,5
167;4,5
168;4,8
169;4,9
170;4,4
171;4,5
172;4,7
173;4,3
174;4,6
175;4,7
176;4,5
177;4,7
178;4,4
179;4,6
180;4,4
181;4,3
182;4,7
183;4,7
184;4,4
185;4,8
186;4,6
187;4,7
188;4,5
189;4,6
190;4,6
191;4,7
192;4,7
193;4,5
194;4,7
195;4,5
196;5,1
197;4,8
198;4,8
199;4,3
200;4,9
201;4,5
202;4,7
203;4,7
204;4,6
205;4,7
206;4,7
207;4,7
208;4,7
209;4,6
210;4,6
211;4,4
212;4,3
213;4,8
214;4,8
215;4,6
216;4,6
217;4,5
218;4,5
219;5,0
220;4,4
221;4,5
222;4,6
223;4,5
224;4,4
225;4,5
226;4,7
227;4,5
228;4,7
229;4,6
230;4,7
231;4,8
232;4,6
233;4,5
234;4,8
235;4,8
236;4,6
237;4,8
238;4,5
239;4,5
240;4,4
241;4,5
242;4,7
243;4,6
244;4,6
245;4,5
246;4,4
247;4,7
248;4,6
249;4,7
250;4,6
251;4,5
252;4,3
253;4,7
254;4,7
255;4,6
256;4,6
257;4,7
258;4,9
259;4,5
260;4,7
261;4,5
262;4,8
263;4,8
264;4,5
265;4,4
266;4,8
267;4,6
268;4,9
269;4,6
270;4,5
271;4,8
272;4,7
273;4,6
274;4,7
275;4,6
276;4,5
277;4,6
278;4,4
279;4,5
280;4,7
281;4,8
282;4,6
283;4,8
284;4,8
285;4,4
286;4,7
287;4,7
288;4,6
289;4,6
290;4,6
291;4,4
292;4,6
293;4,8
294;4,5
295;4,6
296;4,7
297;4,6
298;4,8
299;4,4
300;4,3
301;4,5
302;4,5
303;4,6
304;4,7
305;4,7
306;4,8
307;4,4
308;4,8
309;4,4
310;4,6
311;4,7
312;4,8
313;4,8
314;4,7
315;4,5
316;4,5
317;4,5
318;4,9
319;4,5
320;4,9
321;4,6
322;4,6
323;4,6
324;4,6
325;4,5
326;4,8
327;4,5
328;4,8
329;4,4
330;4,6
331;4,9
332;4,8
333;4,8
334;4,7
335;4,5
336;4,7
337;4,4
338;4,5
339;4,8
340;4,6
341;4,6
342;4,6
343;4,7
344;4,9
345;4,3
346;4,6
347;4,8
348;4,3
349;4,8
350;4,3
351;4,5
352;4,9
353;4,9
354;4,8
355;4,9
356;4,6
357;4,7
358;4,4
359;4,7
360;4,5
361;4,8
362;4,5
363;4,6
364;4,5
365;4,5
366;4,6
367;4,6
368;4,8
369;4,5
370;4,6
371;4,4
372;4,5
373;4,5
374;4,8
375;4,7
376;4,5
377;4,7
378;4,7
379;4,4
380;4,6
381;4,7
382;4,5
383;4,7
384;4,6
385;4,7
386;4,3
387;4,8
388;4,5
389;4,3
390;4,5
391;4,5
392;4,6
393;4,6
394;4,6
395;4,8
396;4,4
397;4,5
398;4,4
399;4,6
400;4,6
401;4,8
402;4,8
403;4,4
404;4,6
405;4,7
406;4,4
407;4,6
408;4,5
409;4,8
410;4,6
411;4,4
412;4,6
413;4,7
414;4,7
415;4,6
416;4,3
417;4,6
418;4,7
419;4,7
420;4,5
421;4,5
422;4,5
423;4,4
424;4,6
425;4,8
426;4,8
427;4,6
428;4,6
429;4,5
430;4,5
431;4,6
432;4,8
433;4,6
434;4,7
435;4,6
436;4,7
437;4,5
438;4,7
439;4,4
440;4,8
441;4,6
442;4,9
443;4,5
444;4,4
445;4,4
446;4,3
447;4,6
448;4,3
449;4,5
450;4,6
451;4,4
452;4,6
453;4,7
454;4,4
455;4,4
456;4,4
457;4,6
458;4,6
459;4,7
460;4,6
461;4,7
462;4,5
463;4,8
464;4,7
465;4,7
466;4,5
467;4,4
468;4,7
469;4,7
470;4,5
471;4,6
472;4,6
473;4,7
474;4,8
475;4,5
476;4,5
477;4,3
478;4,6
479;4,5
480;4,7
481;4,6
482;4,6
483;4,3
484;4,7
485;4,6
486;4,6
487;4,4
488;4,5
489;4,5
490;4,6
491;4,8
492;4,7
493;4,6
494;4,5
495;4,5
496;4,7
497;4,7
498;4,7
499;4,7
500;4,7
501;4,6
502;4,6
503;4,6
504;4,6
505;4,5
506;4,6
507;4,6
508;4,5
509;4,7
510;4,5
511;4,8
512;4,4
513;4,8
514;4,7
515;4,5
516;4,6
517;4,6
518;4,3
519;4,4
520;4,5
521;4,8
522;4,6
523;4,4
524;4,6
525;4,3
526;4,6
527;4,6
528;4,6
529;4,7
530;4,5
531;4,4
532;4,6
533;4,8
534;4,6
535;4,5
536;4,4
537;4,4
538;4,8
539;4,8
540;4,7
541;4,6
542;4,7
543;4,6
544;4,4
545;4,3
546;4,4
547;4,7
548;4,8
549;4,7
550;4,6
551;4,6
552;4,6
553;4,3
554;4,5
555;4,6
556;4,9
557;4,6
558;4,5
559;4,7
560;4,5
561;4,7
562;4,4
563;4,8
564;4,6
565;4,5
566;4,8
567;4,5
568;4,7
569;4,4
570;4,4
571;4,7
572;4,7
573;4,6
574;4,7
575;4,4
576;4,4
577;4,6
578;4,6
579;4,5
580;4,8
581;4,4
582;4,9
583;4,8
584;4,6
585;4,8
586;4,5
587;4,5
588;4,9
589;4,7
590;4,6
591;4,7
592;4,6
593;4,5
594;4,8
595;4,4
596;4,6
597;4,6
598;4,7
599;4,6
600;4,6
601;4,4
602;4,6
603;4,4
604;4,5
605;4,5
606;4,6
607;4,5
608;4,6
609;4,8
610;4,5
611;4,8
612;4,4
613;4,6
614;4,4
615;4,7
616;4,5
617;4,8
618;4,6
619;4,7
620;4,7
621;4,7
622;4,7
623;4,7
624;4,6
625;4,5
626;4,6
627;4,8
628;4,5
629;4,3
630;4,5
631;4,6
632;4,7
633;4,7
634;4,6
635;4,7
636;4,8
637;4,6
638;4,5
639;5,0
640;4,4
641;4,5
642;4,8
643;4,8
644;4,3
645;4,6
646;4,5
647;4,5
648;4,5
649;4,6
650;4,9
651;4,7
652;4,3
653;4,6
654;4,6
655;4,6
656;4,6
657;4,6
658;4,7
659;4,8
660;4,4
661;5,0
662;4,8
663;4,8
664;4,4
665;4,4
666;4,6
667;4,8
668;4,4
669;4,6
670;4,9
671;4,3
672;4,5
673;4,8
674;4,4
675;4,4
676;4,7
677;4,6
678;4,7
679;4,8
680;4,7
681;4,7
682;4,6
683;4,6
684;4,4
685;4,7
686;4,6
687;4,7
688;4,5
689;4,4
690;4,4
691;4,7
692;4,8
693;4,5
694;4,4
695;4,4
696;4,7
697;4,5
698;4,4
699;4,5
700;4,8
701;4,4
702;4,7
703;4,6
704;4,5
705;4,8
706;4,5
707;4,5
708;4,8
709;4,8
710;4,5
711;4,3
712;4,4
713;4,6
714;4,6
715;4,6
716;4,5
717;4,7
718;4,6
719;4,7
720;4,9
721;4,5
722;4,3
723;4,4
724;4,8
725;4,6
726;4,6
727;4,6
728;4,6
729;4,4
730;4,4
731;4,3
732;4,7
733;4,8
734;4,5
735;4,5
736;4,7
737;4,7
738;4,5
739;4,8
740;4,7
741;4,5
742;4,6
743;4,5
744;4,9
745;4,5
746;4,4
747;4,5
748;4,5
749;4,7
750;4,7
751;4,6
752;4,3
753;4,6
754;4,5
755;4,4
756;4,5
757;4,6
758;4,4
759;4,8
760;4,4
761;4,4
762;4,7
763;4,8
764;4,7
765;4,5
766;4,6
767;4,5
768;4,8
769;4,6
770;4,6
771;4,7
772;4,4
773;4,5
774;5,0
775;4,9
776;4,7
777;4,5
778;4,8
779;4,8
780;4,4
781;4,6
782;4,5
783;4,6
784;4,8
785;4,3
786;4,6
787;4,8
788;4,4
789;4,8
790;4,3
791;4,6
792;4,7
793;4,5
794;4,6
795;4,5
796;4,8
797;4,5
798;4,7
799;4,5
800;4,5
801;4,8
802;4,8
803;4,6
804;4,7
805;4,7
806;4,5
807;4,8
808;4,4
809;4,6
810;4,6
811;4,7
812;4,5
813;4,4
814;4,6
815;4,9
816;4,8
817;4,7
818;4,5
819;4,3
820;4,4
821;4,7
822;4,8
823;4,3
824;4,6
825;4,6
826;4,4
827;4,6
828;4,8
829;4,4
830;4,4
831;4,7
832;4,4
833;4,7
834;4,4
835;4,7
836;4,7
837;4,7
838;4,7
839;4,6
840;4,5
841;4,4
842;4,8
843;4,4
844;4,7
845;4,5
846;4,5
847;4,8
848;4,6
849;4,3
850;4,7
851;4,6
852;4,4
853;4,4
854;4,8
855;4,6
856;4,5
857;4,6
858;4,4
859;4,4
860;4,4
861;4,7
862;4,6
863;4,6
864;4,6
865;4,5
866;4,5
867;4,7
868;4,4
869;4,6
870;4,6
871;4,5
872;4,9
873;4,7
874;4,5
875;4,5
876;4,7
877;4,6
878;4,5
879;4,6
880;4,6
881;4,6
882;4,7
883;4,3
884;4,6
885;4,5
886;4,5
887;4,6
888;4,4
889;4,5
890;4,5
891;4,7
892;4,7
893;4,5
894;4,5
895;4,7
896;4,6
897;4,8
898;4,3
899;4,4
900;4,5
901;5,0
902;4,5
903;4,5
904;4,4
905;4,5
906;4,6
907;4,6
908;4,5
909;4,5
910;4,7
911;4,5
912;4,7
913;4,4
914;4,5
915;4,8
916;4,4
917;4,4
918;4,6
919;4,4
920;4,7
921;4,4
922;4,8
923;4,5
924;4,5
925;4,7
926;4,4
927;4,5
928;4,7
929;4,7
930;4,6
931;4,5
932;4,7
933;4,7
934;4,8
935;4,6
936;4,8
937;4,5
938;4,6
939;4,9
940;4,3
941;4,6
942;4,6
943;4,5
944;4,9
945;4,9
946;4,8
947;4,9
948;4,8
949;4,4
