time;watts
0;2,9
1;2,9
2;2,9
3;3,0
4;2,9
5;2,9
6;2,9
7;2,9
8;2,9
9;2,9
10;2,9
11;3,1
12;3,0
13;2,9
14;2,9
15;2,9
16;2,9
17;3,8
18;3,8
19;4,6
20;4,6
21;4,4
22;4,7
23;4,8
24;4,5
25;4,6
26;4,8
27;4,7
28;4,3
29;4,3
30;4,5
31;4,3
32;4,7
33;4,5
34;4,3
35;4,4
36;4,3
37;4,3
38;4,3
39;4,4
40;4,6
41;4,5
42;4,5
43;4,6
44;4,5
45;4,6
46;4,5
47;4,7
48;4,4
49;4,6
50;4,5
51;4,6
52;4,7
53;4,4
54;4,4
55;4,4
56;4,5
57;4,4
58;4,3
59;4,8
60;4,4
61;4,3
62;4,4
63;4,3
64;4,5
65;4,4
66;4,6
67;4,5
68;4,5
69;4,6
70;4,8
71;4,4
72;4,4
73;4,7
74;4,3
75;4,7
76;4,4
77;4,5
78;4,5
79;4,7
80;4,5
81;4,7
82;4,6
83;4,4
84;4,6
85;5,1
86;4,4
87;4,5
88;4,6
89;4,5
90;4,3
91;4,3
92;4,4
93;4,5
94;4,3
95;4,9
96;4,3
97;4,4
98;4,5
99;4,5
100;4,5
101;4,3
102;4,4
103;4,5
104;4,4
105;4,4
106;4,3
107;4,6
108;4,8
109;4,4
110;4,5
111;4,7
112;4,7
113;4,8
114;4,6
115;4,4
116;4,4
117;4,3
118;4,7
119;4,7
120;4,3
121;4,4
122;4,5
123;4,5
124;4,5
125;4,5
126;4,8
127;4,4
128;4,6
129;4,4
130;4,8
131;4,6
132;4,6
133;4,5
134;4,4
135;4,5
136;4,5
137;4,3
138;4,6
139;4,6
140;4,4
141;4,5
142;4,6
143;4,4
144;4,5
145;4,7
146;4,5
147;4,4
148;4,3
149;5,0
150;4,4
151;4,4
152;4,4
153;4,5
154;4,5
155;4,7
156;4,4
157;4,4
158;4,5
159;4,6
160;4,4
161;4,4
162;4,8
163;4,3
164;4,6
165;4,6
166;4,4
167;4,4
168;4,8
169;4,8
170;4,3
171;4,4
172;4,6
173;4,3
174;4,5
175;4,6
176;4,3
177;4,6
178;4,3
179;4,6
180;4,3
181;4,3
182;4,6
183;4,6
184;4,3
185;4,8
186;4,5
187;4,6
188;4,3
189;4,6
190;4,5
191;4,6
192;4,7
193;4,4
194;4,6
195;4,3
196;5,1
197;4,7
198;4,7
199;4,3
200;4,8
201;4,4
202;4,6
203;4,7
204;4,5
205;4,7
206;4,7
207;4,6
208;4,6
209;4,5
210;4,5
211;4,3
212;4,3
213;4,7
214;4,7
215;4,5
216;4,5
217;4,4
218;4,4
219;4,9
220;4,3
221;4,4
222;4,5
223;4,4
224;4,3
225;4,4
226;4,6
227;4,4
228;4,6
229;4,5
230;4,6
231;4,7
232;4,4
233;4,4
234;4,8
235;4,7
236;4,5
237;4,7
238;4,4
239;4,4
240;4,3
241;4,4
242;4,6
243;4,5
244;4,5
245;4,4
246;4,3
247;4,7
248;4,5
249;4,6
250;4,5
251;4,4
252;4,3
253;4,7
254;4,6
255;4,5
256;4,5
257;4,6
258;4,8
259;4,4
260;4,6
261;4,4
262;4,7
263;4,8
264;4,4
265;4,3
266;4,7
267;4,5
268;4,8
269;4,5
270;4,4
271;4,7
272;4,6
273;4,5
274;4,6
275;4,6
276;4,4
277;4,5
278;4,3
279;4,3
280;4,6
281;4,7
282;4,5
283;4,7
284;4,8
285;4,3
286;4,6
287;4,6
288;4,5
289;4,5
290;4,5
291;4,3
292;4,5
293;4,8
294;4,3
295;4,4
296;4,6
297;4,5
298;4,8
299;4,3
300;4,3
301;4,4
302;4,4
303;4,5
304;4,6
305;4,6
306;4,7
307;4,3
308;4,7
309;4,3
310;4,5
311;4,6
312;4,7
313;4,7
314;4,6
315;4,4
316;4,4
317;4,4
318;4,8
319;4,4
320;4,8
321;4,5
322;4,5
323;4,5
324;4,5
325;4,3
326;4,8
327;4,4
328;4,7
329;4,3
330;4,5
331;4,8
332;4,8
333;4,7
334;4,6
335;4,4
336;4,6
337;4,3
338;4,4
339;4,8
340;4,5
341;4,5
342;4,6
343;4,6
344;4,8
345;4,3
346;4,5
347;4,7
348;4,3
349;4,8
350;4,3
351;4,4
352;4,8
353;4,8
354;4,7
355;4,9
356;4,5
357;4,6
358;4,3
359;4,6
360;4,4
361;4,7
362;4,3
363;4,5
364;4,4
365;4,4
366;4,5
367;4,5
368;4,7
369;4,4
370;4,4
371;4,3
372;4,4
373;4,4
374;4,7
375;4,6
376;4,4
377;4,6
378;4,7
379;4,3
380;4,5
381;4,6
382;4,4
383;4,6
384;4,5
385;4,6
386;4,3
387;4,7
388;4,3
389;4,3
390;4,4
391;4,4
392;4,5
393;4,5
394;4,5
395;4,7
396;4,3
397;4,4
398;4,3
399;4,5
400;4,5
401;4,7
402;4,7
403;4,3
404;4,5
405;4,6
406;4,3
407;4,5
408;4,3
409;4,8
410;4,5
411;4,3
412;4,5
413;4,6
414;4,6
415;4,5
416;4,3
417;4,6
418;4,7
419;4,6
420;4,4
421;4,4
422;4,4
423;4,3
424;4,5
425;4,7
426;4,8
427;4,5
428;4,5
429;4,4
430;4,4
431;4,5
432;4,7
433;4,4
434;4,6
435;4,5
436;4,6
437;4,3
438;4,6
439;4,3
440;4,7
441;4,5
442;4,8
443;4,4
444;4,3
445;4,3
446;4,3
447;4,5
448;4,3
449;4,4
450;4,5
451;4,3
452;4,5
453;4,6
454;4,3
455;4,3
456;4,3
457;4,5
458;4,5
459;4,6
460;4,5
461;4,6
462;4,4
463;4,7
464;4,6
465;4,6
466;4,4
467;4,3
468;4,7
469;4,6
470;4,3
471;4,5
472;4,5
473;4,7
474;4,7
475;4,4
476;4,4
477;4,3
478;4,5
479;4,3
480;4,7
481;4,5
482;4,5
483;4,3
484;4,7
485;4,4
486;4,5
487;4,3
488;4,4
489;4,4
490;4,5
491;4,7
492;4,6
493;4,5
494;4,4
495;4,3
496;4,6
497;4,7
498;4,7
499;4,7
500;4,7
501;4,5
502;4,5
503;4,5
504;4,4
505;4,4
506;4,4
507;4,5
508;4,4
509;4,6
510;4,4
511;4,8
512;4,3
513;4,7
514;4,6
515;4,4
516;4,5
517;4,5
518;4,3
519;4,3
520;4,4
521;4,7
522;4,5
523;4,3
524;4,5
525;4,3
526;4,5
527;4,5
528;4,6
529;4,6
530;4,4
531;4,3
532;4,6
533;4,8
534;4,5
535;4,4
536;4,3
537;4,3
538;4,7
539;4,7
540;4,6
541;4,5
542;4,6
543;4,5
544;4,3
545;4,3
546;4,3
547;4,7
548;4,7
549;4,6
550;4,4
551;4,4
552;4,5
553;4,3
554;4,4
555;4,4
556;4,8
557;4,5
558;4,4
559;4,6
560;4,4
561;4,6
562;4,3
563;4,8
564;4,5
565;4,4
566;4,7
567;4,4
568;4,6
569;4,3
570;4,3
571;4,6
572;4,6
573;4,5
574;4,6
575;4,3
576;4,3
577;4,5
578;4,5
579;4,4
580;4,7
581;4,3
582;4,8
583;4,7
584;4,5
585;4,7
586;4,4
587;4,4
588;4,8
589;4,6
590;4,5
591;4,6
592;4,5
593;4,4
594;4,7
595;4,3
596;4,5
597;4,5
598;4,6
599;4,5
600;4,5
601;4,3
602;4,5
603;4,3
604;4,4
605;4,3
606;4,5
607;4,4
608;4,5
609;4,8
610;4,4
611;4,7
612;4,3
613;4,5
614;4,3
615;4,6
616;4,4
617;4,7
618;4,5
619;4,6
620;4,6
621;4,6
622;4,7
623;4,6
624;4,4
625;3,8
626;2,9
627;3,0
628;3,1
629;2,9
630;2,9
631;3,0
632;2,9
633;3,0
634;2,9
635;2,9
636;2,9
637;2,9
638;3,1
639;2,9
640;2,9
641;2,9
642;3,0
643;2,9
